player,key,status,skin_frac,cheek_r,cheek_g,cheek_b,cheek_lum,crown_r,crown_g,crown_b,crown_lum,mous_delta,chin_delta,jaw_delta,hair_above
Paulson Adebo,paulson adebo,ok,0.105,142,68,41,86.9,17,15,14,15.5,39.8,72.6,69.5,0.54
Quincy Adeboyejo,quincy adeboyejo,ok,0.128,105,61,46,72.4,19,19,19,19.0,43.8,46.9,54.8,0.787
Hakeem Adeniji,hakeem adeniji,ok,0.091,102,71,68,79.9,24,24,23,23.6,56.9,54.9,58.3,0.482
Victor Adeyanju,victor adeyanju,no face,0.0,,,,,,,,,,,,
Xavier Adibi,xavier adibi,no face,0.0,,,,,,,,,,,,
Jude Adjei-Barimah,jude adjei barimah,no face,0.0,,,,,,,,,,,,
Spencer Adkins,spencer adkins,no face,0.0,,,,,,,,,,,,
Daniel Adongo,daniel adongo,no face,0.0,,,,,,,,,,,,
Al Afalava,al afalava,no face,0.0,,,,,,,,,,,,
Nelson Agholor,nelson agholor,ok,0.114,127,96,85,104.0,22,16,16,17.8,50.9,93.2,95.2,0.161
McTelvin Agim,mctelvin agim,ok,0.096,114,73,64,84.2,11,10,10,10.3,-4.4,67.7,74.9,0.939
Jamal Agnew,jamal agnew,ok,0.133,168,114,93,128.2,8,6,5,6.5,120.6,53.8,48.5,1.0
Roberto Aguayo,roberto aguayo,ok,0.189,212,147,117,163.0,34,29,28,30.4,25.3,77.7,88.6,0.675
C.J. Ah You,cj ah you,no face,0.0,,,,,,,,,,,,
Chidi Ahanotu,chidi ahanotu,no face,0.0,,,,,,,,,,,,
Salvon Ahmed,salvon ahmed,ok,0.127,168,114,89,127.3,5,6,7,5.8,116.7,-9.8,27.5,0.659
Danny Aiken,danny aiken,no face,0.0,,,,,,,,,,,,
Kamar Aiken,kamar aiken,no face,0.0,,,,,,,,,,,,
Sam Aiken,sam aiken,no face,0.0,,,,,,,,,,,,
Walt Aikens,walt aikens,ok,0.204,146,102,86,113.3,27,22,21,23.4,69.8,37.6,43.0,0.606
Erik Ainge,erik ainge,no face,0.0,,,,,,,,,,,,
Victor Aiyewa,victor aiyewa,no face,0.0,,,,,,,,,,,,
Brandon Aiyuk,brandon aiyuk,ok,0.109,91,56,40,64.9,14,13,13,13.3,53.3,-22.2,0.7,1.0
Jay Ajayi,jay ajayi,ok,0.314,95,66,53,73.2,35,34,31,33.7,-2.5,,-24.7,0.323
Seyi Ajirotutu,seyi ajirotutu,no face,0.0,,,,,,,,,,,,
Cam Akers,cam akers,ok,0.097,152,99,74,112.0,30,27,26,27.8,0.1,100.4,101.4,0.35
David Akers,david akers,ok,0.271,190,155,139,163.6,20,18,18,18.6,-6.7,70.9,72.4,0.371
Landen Akers,landen akers,ok,0.215,236,181,167,195.8,132,102,84,108.9,117.5,27.4,30.0,0.051
Tommy Akingbesote,tommy akingbesote,ok,0.068,162,100,93,117.7,20,19,21,19.5,84.1,92.7,94.3,0.423
Freedom Akinmoladun,freedom akinmoladun,ok,0.154,179,121,100,135.9,38,33,31,34.3,79.0,46.0,57.7,0.14
Jordan Akins,jordan akins,ok,0.142,105,64,53,75.3,23,17,15,18.6,-32.5,-57.8,11.9,0.052
Azeez Al-Shaair,azeez al shaair,ok,0.131,151,83,57,100.4,12,11,11,11.3,38.7,58.4,82.5,0.519
Anthony Alabi,anthony alabi,no face,0.0,,,,,,,,,,,,
Ikaika Alama-Francis,ikaika alama francis,no face,0.0,,,,,,,,,,,,
Branden Albert,branden albert,no face,0.0,,,,,,,,,,,,
Alex Albright,alex albright,no face,0.0,,,,,,,,,,,,
Bryson Albright,bryson albright,ok,0.235,183,138,114,148.7,59,43,30,46.3,96.1,-30.8,15.6,0.054
Ethan Albright,ethan albright,no face,0.0,,,,,,,,,,,,
Chas Alecxih,chas alecxih,no face,0.0,,,,,,,,,,,,
Alvester Alexander,alvester alexander,no face,0.0,,,,,,,,,,,,
Brent Alexander,brent alexander,no face,0.0,,,,,,,,,,,,
Danario Alexander,danario alexander,no face,0.0,,,,,,,,,,,,
Darius Alexander,darius alexander,ok,0.096,191,129,106,144.9,18,18,17,17.9,123.6,121.1,101.7,1.0
Dominique Alexander,dominique alexander,no face,0.0,,,,,,,,,,,,
D.J. Alexander,dj alexander,ok,0.204,220,146,102,163.1,28,20,17,22.0,85.5,45.8,91.6,0.369
Eric Alexander,eric alexander,no face,0.0,,,,,,,,,,,,
Frank Alexander,frank alexander,no face,0.0,,,,,,,,,,,,
Gerald Alexander,gerald alexander,no face,0.0,,,,,,,,,,,,
Jaire Alexander,jaire alexander,ok,0.133,198,140,110,153.9,28,26,23,26.0,54.0,109.9,88.5,0.611
Kevin Alexander,kevin alexander,no face,0.0,,,,,,,,,,,,
Lorenzo Alexander,lorenzo alexander,ok,0.157,205,138,102,153.9,112,85,70,91.2,99.1,13.9,32.6,0.005
Mackensie Alexander,mackensie alexander,ok,0.167,132,81,58,93.7,19,14,14,15.5,27.4,36.6,38.6,0.557
Maurice Alexander,maurice alexander,ok,0.165,169,103,74,119.4,16,13,13,13.9,86.7,26.6,43.9,0.67
Roc Alexander,roc alexander,no face,0.0,,,,,,,,,,,,
P.J. Alexander,pj alexander,no face,0.0,,,,,,,,,,,,
Rufus Alexander,rufus alexander,no face,0.0,,,,,,,,,,,,
Kwon Alexander,kwon alexander,ok,0.115,176,103,79,121.9,41,17,18,24.3,28.3,104.9,86.6,0.669
Shaun Alexander,shaun alexander,no face,0.0,,,,,,,,,,,,
Stephen Alexander,stephen alexander,no face,0.0,,,,,,,,,,,,
Vadal Alexander,vadal alexander,ok,0.167,218,149,113,165.5,34,28,24,29.3,97.9,123.9,125.7,0.151
Rich Alexis,rich alexis,no face,0.0,,,,,,,,,,,,
Dominic Alford,dominic alford,no face,0.0,,,,,,,,,,,,
Jay Alford,jay alford,no face,0.0,,,,,,,,,,,,
Mario Alford,mario alford,no face,0.0,,,,,,,,,,,,
Robert Alford,robert alford,ok,0.143,207,142,115,158.4,21,20,20,20.3,120.6,86.9,61.9,0.856
Charles Ali,charles ali,no face,0.0,,,,,,,,,,,,
Rasheen Ali,rasheen ali,ok,0.104,160,118,94,127.8,16,16,16,16.0,69.9,35.8,73.4,0.977
Mo Alie-Cox,mo alie cox,ok,0.111,138,96,86,107.2,7,9,15,9.1,35.3,61.6,89.6,0.561
Erick All,erick all,ok,0.123,238,174,150,190.3,38,33,30,34.2,21.2,46.7,73.4,0.684
Michael Allan,michael allan,no face,0.0,,,,,,,,,,,,
Nick Allegretti,nick allegretti,ok,0.139,242,190,158,201.9,33,31,28,31.3,148.3,2.9,22.7,0.308
Andy Alleman,andy alleman,no face,0.0,,,,,,,,,,,,
Anthony Allen,anthony allen,no face,0.0,,,,,,,,,,,,
Antonio Allen,antonio allen,no face,0.0,,,,,,,,,,,,
Armando Allen,armando allen,no face,0.0,,,,,,,,,,,,
Asher Allen,asher allen,no face,0.0,,,,,,,,,,,,
Beau Allen,beau allen,ok,0.208,220,163,148,178.3,105,94,92,97.1,31.4,-19.1,29.7,0.026
Braelon Allen,braelon allen,ok,0.077,164,109,90,123.2,10,10,10,10.0,47.9,108.7,112.2,0.881
Brandon Allen,brandon allen,ok,0.124,226,157,141,175.8,37,34,31,34.6,32.8,128.7,140.1,0.558
Brian Allen,brian allen,no face,0.0,,,,,,,,,,,,
Chase Allen,chase allen,ok,0.172,170,129,114,139.5,78,56,44,61.2,-21.8,-32.9,-20.6,0.082
Cortez Allen,cortez allen,no face,0.0,,,,,,,,,,,,
Dakota Allen,dakota allen,ok,0.255,132,81,54,93.2,113,106,100,107.4,-52.9,-24.2,-1.3,0.168
David Allen,david allen,no face,0.0,,,,,,,,,,,,
Davis Allen,davis allen,ok,0.171,196,142,125,156.2,81,55,44,61.5,4.2,85.6,36.5,0.026
Dwayne Allen,dwayne allen,ok,0.162,156,107,88,119.5,27,21,20,22.7,42.7,61.2,65.1,0.53
Ian Allen,ian allen,no face,0.0,,,,,,,,,,,,
Jake Allen,jake allen,no face,0.0,,,,,,,,,,,,
Jack Allen,jack allen,no face,0.0,,,,,,,,,,,,
James Allen,james allen,no face,0.0,,,,,,,,,,,,
Jared Allen,jared allen,no face,0.0,,,,,,,,,,,,
Jason Allen,jason allen,no face,0.0,,,,,,,,,,,,
Javorius Allen,javorius allen,ok,0.131,170,109,79,123.8,15,15,15,15.0,86.9,106.5,103.4,0.584
Jeff Allen,jeff allen,ok,0.109,140,71,48,89.0,18,14,11,14.9,72.1,-146.5,-144.2,0.329
Jonathan Allen,jonathan allen,ok,0.122,188,125,97,140.6,27,24,22,24.7,93.9,78.0,107.9,0.781
Josh Allen,josh allen,ok,0.288,51,24,20,31.6,19,18,15,18.0,,,,0.0
Keenan Allen,keenan allen,ok,0.112,180,132,108,143.6,165,135,123,142.6,55.4,113.6,120.7,0.007
Kenderick Allen,kenderick allen,no face,0.0,,,,,,,,,,,,
Kyle Allen,kyle allen,ok,0.043,169,126,125,138.7,12,10,8,10.4,61.5,-18.6,7.2,0.364
Larry Allen,larry allen,no face,0.06,,,,,,,,,,,,
LeQuint Allen Jr.,lequint allen,ok,0.113,155,103,84,116.4,16,14,16,14.8,56.7,63.8,50.8,0.485
Marcus Allen,marcus allen,no face,0.04,,,,,,,,,,,,
Nate Allen,nate allen,no face,0.0,,,,,,,,,,,,
Ricardo Allen,ricardo allen,ok,0.147,237,172,138,187.5,28,26,24,26.4,90.2,36.7,54.6,0.963
Russell Allen,russell allen,no face,0.0,,,,,,,,,,,,
Ryan Allen,ryan allen,ok,0.205,213,165,140,176.5,104,79,61,84.4,21.0,-2.1,13.5,0.096
Will Allen,will allen,no face,0.0,,,,,,,,,,,,
Zach Allen,zach allen,no face,0.0,,,,,,,,,,,,
Tyler Allgeier,tyler allgeier,ok,0.142,215,165,146,177.7,15,13,13,13.6,146.9,61.0,51.4,1.0
Aundrae Allison,aundrae allison,no face,0.0,,,,,,,,,,,,
Geronimo Allison,geronimo allison,ok,0.161,179,149,144,157.4,24,24,24,24.0,61.8,124.0,128.6,0.741
Colin Allred,colin allred,no face,0.0,,,,,,,,,,,,
Kiko Alonso,kiko alonso,ok,0.157,154,102,66,113.4,68,42,20,47.2,-36.4,-4.8,7.0,0.099
Jon Alston,jon alston,no face,0.0,,,,,,,,,,,,
Richard Alston,richard alston,no face,0.0,,,,,,,,,,,,
Mike Alstott,mike alstott,no face,0.0,,,,,,,,,,,,
Joe Alt,joe alt,ok,0.133,201,157,143,168.6,46,35,34,38.2,-21.0,53.8,44.8,0.176
Tyson Alualu,tyson alualu,ok,0.128,234,162,132,180.1,30,30,30,30.0,147.3,32.2,91.8,0.77
Ugo Amadi,ugo amadi,ok,0.104,150,104,86,115.6,18,18,21,18.3,84.5,46.4,42.4,0.671
Eugene Amano,eugene amano,no face,0.0,,,,,,,,,,,,
Jace Amaro,jace amaro,ok,0.163,211,134,107,153.9,21,17,12,17.6,59.1,18.3,87.3,0.499
Ken Amato,ken amato,no face,0.0,,,,,,,,,,,,
Jonathon Amaya,jonathon amaya,no face,0.0,,,,,,,,,,,,
Ashley Ambrose,ashley ambrose,no face,0.0,,,,,,,,,,,,
Kiran Amegadjie,kiran amegadjie,ok,0.115,215,156,130,171.0,6,5,5,5.3,109.8,17.5,74.5,0.32
Danny Amendola,danny amendola,ok,0.226,169,119,95,131.2,83,64,54,68.5,-0.1,49.5,18.3,0.157
David Amerson,david amerson,ok,0.129,172,82,50,105.3,15,12,9,12.3,92.3,22.8,40.8,0.435
Kofi Amichia,kofi amichia,ok,0.126,83,42,31,53.0,27,18,16,20.5,29.2,38.5,36.1,0.086
Matt Ammendola,matt ammendola,ok,0.141,118,83,67,91.6,95,91,87,91.7,3.6,1.1,15.6,0.276
Adrian Amos,adrian amos,ok,0.092,115,68,47,79.7,16,12,8,12.7,22.4,71.4,75.3,0.797
Trey Amos,trey amos,ok,0.133,159,100,79,115.2,14,13,11,13.1,99.2,57.0,56.2,0.373
Prince Amukamara,prince amukamara,ok,0.107,99,63,50,72.3,26,23,22,23.8,44.3,63.6,57.3,0.414
Bradlee Anae,bradlee anae,ok,0.128,192,114,73,132.9,8,5,3,5.7,102.0,-1.2,5.0,1.0
Tremayne Anchrum,tremayne anchrum,ok,0.13,162,103,82,118.4,26,23,22,23.8,57.7,96.1,83.9,0.418
Morten Andersen,morten andersen,no face,0.112,,,,,,,,,,,,
Troy Andersen,troy andersen,ok,0.14,210,149,121,164.0,15,12,10,12.7,64.6,20.6,16.3,0.803
Abdullah Anderson,abdullah anderson,ok,0.149,214,166,140,177.4,53,45,40,46.8,84.2,150.8,147.6,0.128
Andre' Anderson,andre anderson,no face,0.0,,,,,,,,,,,,
Bryan Anderson,bryan anderson,no face,0.0,,,,,,,,,,,,
Calvin Anderson,calvin anderson,ok,0.112,136,92,80,103.9,23,23,26,23.3,-7.9,89.3,83.0,0.329
Charlie Anderson,charlie anderson,no face,0.0,,,,,,,,,,,,
Colt Anderson,colt anderson,no face,0.0,,,,,,,,,,,,
C.J. Anderson,cj anderson,ok,0.122,186,125,95,139.8,32,31,30,31.2,117.8,52.0,108.6,0.428
Courtney Anderson,courtney anderson,no face,0.0,,,,,,,,,,,,
Damien Anderson,damien anderson,no face,0.0,,,,,,,,,,,,
David Anderson,david anderson,no face,0.0,,,,,,,,,,,,
Deon Anderson,deon anderson,no face,0.0,,,,,,,,,,,,
Derek Anderson,derek anderson,no face,0.0,,,,,,,,,,,,
Dres Anderson,dres anderson,no face,0.0,,,,,,,,,,,,
Dwight Anderson,dwight anderson,no face,0.0,,,,,,,,,,,,
Gary Anderson,gary anderson,no face,0.0,,,,,,,,,,,,
Henry Anderson,henry anderson,ok,0.153,225,173,160,187.1,84,72,70,75.1,5.0,82.1,27.5,0.007
Jack Anderson,jack anderson,ok,0.156,191,140,122,153.2,74,56,42,59.8,-22.0,24.9,17.7,0.037
Jamaal Anderson,jamaal anderson,no face,0.0,,,,,,,,,,,,
James Anderson,james anderson,no face,0.0,,,,,,,,,,,,
Jonathan Anderson,jonathan anderson,ok,0.166,200,142,102,154.8,185,160,133,164.4,-40.5,-17.8,1.9,0.036
Joe Anderson,joe anderson,no face,0.0,,,,,,,,,,,,
Justin Anderson,justin anderson,no face,0.0,,,,,,,,,,,,
Mark Anderson,mark anderson,no face,0.0,,,,,,,,,,,,
Marques Anderson,marques anderson,no face,0.0,,,,,,,,,,,,
Mike Anderson,mike anderson,no face,0.0,,,,,,,,,,,,
Ryan Anderson,ryan anderson,ok,0.136,206,136,98,152.6,28,20,17,22.0,108.0,135.1,136.0,0.183
Richie Anderson,richie anderson,no face,0.0,,,,,,,,,,,,
Rodney Anderson,rodney anderson,ok,0.232,231,167,133,182.3,56,45,40,47.7,40.5,50.6,54.4,0.095
Rory Anderson,rory anderson,no face,0.0,,,,,,,,,,,,
Scotty Anderson,scotty anderson,no face,0.0,,,,,,,,,,,,
Spencer Anderson,spencer anderson,ok,0.116,187,127,101,142.0,17,16,17,16.4,-11.9,120.6,80.7,0.861
Stephen Anderson,stephen anderson,ok,0.209,178,108,86,126.6,32,25,21,26.6,11.2,-4.1,22.3,0.253
Tim Anderson,tim anderson,no face,0.0,,,,,,,,,,,,
Tycen Anderson,tycen anderson,ok,0.158,165,103,72,118.0,39,16,5,21.6,100.2,11.6,10.3,0.086
Bennie Anderson,bennie anderson,no face,0.0,,,,,,,,,,,,
Vince Anderson,vince anderson,no face,0.0,,,,,,,,,,,,
Will Anderson Jr.,will anderson,ok,0.106,96,59,44,68.3,19,16,16,16.9,58.7,-19.0,4.6,1.0
Willie Anderson,willie anderson,no face,0.0,,,,,,,,,,,,
Zaire Anderson,zaire anderson,ok,0.139,130,68,47,84.1,25,17,14,19.1,69.2,25.9,24.6,0.33
Zayne Anderson,zayne anderson,ok,0.178,212,156,136,170.6,120,104,95,107.8,-14.2,54.8,15.4,0.061
David Andrews,david andrews,ok,0.115,141,95,76,106.6,106,95,88,97.5,16.3,75.6,76.2,0.015
Jake Andrews,jake andrews,ok,0.145,229,150,127,171.0,31,19,15,22.1,137.9,3.1,55.6,0.32
Josh Andrews,josh andrews,ok,0.149,173,110,78,125.2,12,10,8,10.4,77.0,32.7,40.9,0.578
Mark Andrews,mark andrews,ok,0.145,208,135,118,154.9,13,8,7,9.4,116.7,-13.9,-4.1,0.322
Shawn Andrews,shawn andrews,ok,0.219,206,146,122,161.4,27,15,18,18.9,34.4,52.0,91.5,0.578
Stacy Andrews,stacy andrews,no face,0.0,,,,,,,,,,,,
Willie Andrews,willie andrews,no face,0.0,,,,,,,,,,,,
Shane Andrus,shane andrus,no face,0.0,,,,,,,,,,,,
Joe Andruzzi,joe andruzzi,no face,0.0,,,,,,,,,,,,
Bryan Anger,bryan anger,ok,0.161,172,117,96,131.1,139,99,84,109.2,-12.0,81.4,84.7,0.051
Pat Angerer,pat angerer,no face,0.0,,,,,,,,,,,,
Richard Angulo,richard angulo,no face,0.0,,,,,,,,,,,,
Eli Ankou,eli ankou,ok,0.108,198,136,110,151.6,24,22,22,22.6,27.0,44.8,52.9,0.786
Ezekiel Ansah,ezekiel ansah,ok,0.163,126,78,58,90.2,16,15,14,15.2,-27.5,0.2,14.7,0.603
Andre Anthony,andre anthony,ok,0.151,139,77,56,93.1,17,14,14,14.9,-17.7,60.0,22.2,0.718
Daijahn Anthony,daijahn anthony,ok,0.13,188,112,72,130.3,22,18,14,18.7,16.1,-36.6,8.8,0.259
Marc Anthony,marc anthony,no face,0.0,,,,,,,,,,,,
Stephone Anthony,stephone anthony,ok,0.158,125,81,57,91.4,17,18,14,17.2,19.9,47.5,42.9,0.742
Felix Anudike-Uzomah,felix anudike uzomah,ok,0.084,135,65,40,83.1,19,23,19,21.3,-81.4,-153.0,-147.3,0.375
Chigbo Anunoby,chigbo anunoby,no face,0.0,,,,,,,,,,,,
Alex Anzalone,alex anzalone,ok,0.23,193,165,136,170.1,152,143,137,144.9,99.1,97.1,38.9,0.002
Troy Apke,troy apke,ok,0.161,222,164,144,179.5,69,52,40,55.7,-13.2,63.8,-3.7,0.029
Eli Apple,eli apple,ok,0.128,156,98,67,111.8,26,24,23,24.5,-14.7,80.4,70.3,0.546
Antwan Applewhite,antwan applewhite,no face,0.0,,,,,,,,,,,,
Matt Araiza,matt araiza,ok,0.132,223,136,117,159.8,16,9,7,10.9,87.7,-49.1,-41.2,0.55
J.J. Arcega-Whiteside,jj arcega whiteside,ok,0.163,222,170,136,181.7,24,23,18,22.7,63.0,95.4,66.5,0.82
Dri Archer,dri archer,no face,0.0,,,,,,,,,,,,
Brandon Archer,brandon archer,no face,0.0,,,,,,,,,,,,
Daniel Archibong,daniel archibong,ok,0.146,228,159,131,176.4,24,21,19,21.7,12.7,130.1,113.1,0.526
Adam Archuleta,adam archuleta,no face,0.0,,,,,,,,,,,,
A.J. Arcuri,aj arcuri,ok,0.15,200,146,123,159.5,61,45,37,48.9,-11.2,22.1,19.1,0.032
Javier Arenas,javier arenas,no face,0.0,,,,,,,,,,,,
David Arkin,david arkin,no face,0.0,,,,,,,,,,,,
Alex Armah,alex armah,ok,0.106,147,113,96,121.2,27,26,25,26.2,76.4,48.0,33.2,1.0
Thurston Armbrister,thurston armbrister,ok,0.167,152,96,65,109.7,45,34,25,36.0,5.5,1.5,10.9,0.094
Jalyn Armour-Davis,jalyn armour davis,ok,0.115,112,75,54,83.7,15,14,14,14.3,36.0,62.9,61.9,1.0
Arik Armstead,arik armstead,ok,0.133,175,124,102,136.7,21,20,24,20.8,39.1,2.3,24.0,0.994
Ryquell Armstead,ryquell armstead,ok,0.163,151,100,74,112.3,37,31,31,32.8,99.9,23.8,47.9,0.462
Terron Armstead,terron armstead,ok,0.103,117,81,74,91.0,17,13,17,14.7,80.1,83.1,84.2,0.294
Anthony Armstrong,anthony armstrong,no face,0.0,,,,,,,,,,,,
Ray-Ray Armstrong,ray ray armstrong,ok,0.255,86,48,31,57.4,22,16,12,17.3,-59.8,-37.8,-40.0,0.281
Calvin Armstrong,calvin armstrong,no face,0.0,,,,,,,,,,,,
Cornell Armstrong,cornell armstrong,ok,0.135,188,136,106,148.1,42,39,36,39.6,23.0,78.2,55.5,0.338
Derick Armstrong,derick armstrong,no face,0.0,,,,,,,,,,,,
Dorance Armstrong,dorance armstrong,ok,0.133,179,118,93,133.4,13,11,10,11.5,58.6,49.8,70.2,0.346
Damon Arnette,damon arnette,ok,0.096,66,41,26,46.8,30,28,33,29.2,-47.9,-12.0,-43.5,0.752
Brian Arnfelt,brian arnfelt,no face,0.0,,,,,,,,,,,,
Dan Arnold,dan arnold,ok,0.16,232,184,160,195.6,31,20,14,22.6,69.3,180.6,178.4,0.25
Grayland Arnold,grayland arnold,ok,0.139,178,125,96,137.5,39,38,37,38.2,24.8,57.3,56.5,0.632
Terrion Arnold,terrion arnold,ok,0.103,129,79,67,92.6,15,15,15,15.0,4.7,56.3,44.7,1.0
Stanley Arnoux,stanley arnoux,no face,0.0,,,,,,,,,,,,
Devin Aromashodu,devin aromashodu,no face,0.0,,,,,,,,,,,,
Adrian Arrington,adrian arrington,no face,0.0,,,,,,,,,,,,
J.J. Arrington,jj arrington,no face,0.0,,,,,,,,,,,,
Kyle Arrington,kyle arrington,no face,0.0,,,,,,,,,,,,
LaVar Arrington,lavar arrington,no face,0.0,,,,,,,,,,,,
Elijah Arroyo,elijah arroyo,ok,0.134,205,151,120,163.6,10,8,7,8.5,112.7,9.9,33.1,0.778
Cameron Artis-Payne,cameron artis payne,ok,0.186,153,90,69,106.4,21,13,14,15.5,40.0,90.9,59.4,0.466
Ade Aruna,ade aruna,ok,0.199,79,50,35,57.0,32,25,23,26.9,-80.8,-53.1,-44.6,0.425
George Asafo-Adjei,george asafo adjei,no face,0.0,,,,,,,,,,,,
Brian Asamoah II,brian asamoah,ok,0.109,91,56,41,64.8,22,19,17,19.7,19.6,51.2,39.2,0.688
Jon Asamoah,jon asamoah,no face,0.0,,,,,,,,,,,,
Larry Asante,larry asante,no face,0.0,,,,,,,,,,,,
Richard Ash,richard ash,ok,0.166,153,82,49,99.5,18,14,8,14.5,73.3,51.1,72.3,0.626
Tom Ashworth,tom ashworth,no face,0.0,,,,,,,,,,,,
Devin Asiasi,devin asiasi,ok,0.184,180,125,100,138.8,39,32,33,34.2,28.9,7.3,36.3,0.377
Isaac Asiata,isaac asiata,ok,0.15,161,104,78,118.1,22,18,16,19.0,104.1,-5.0,27.0,0.361
