name,TGID,pos,skin,fam,variant,hairfam,appearance
Mike Tomczak,1,QB,0,1,a,3,"['Head1a', 'Eyes1e', 'Hair3a', 'Beard3g', 'Eyebrows3b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Mike Hartenstine,1,DE,1,3,c,1,"['Head3c', 'Eyes1b', 'Hair1e', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Henry Waechter,1,DE,1,4,b,1,"['Head4b', 'Eyes1d', 'Hair1h', 'Beard1g', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Kurt Becker,1,OG,0,3,b,1,"['Head3b', 'Eyes1d', 'Hair1h', 'Beard1d', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Jim Morrissey,1,OLB,0,3,a,1,"['Head3a', 'Eyes1a', 'Hair1d', 'Beard1d', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Wilbur Marshall,1,OLB,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1f', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Keith Van Horne,1,OT,0,1,b,2,"['Head1b', 'Eyes1c', 'Hair2h', 'Beard2f2', 'Eyebrows2a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Dave Duerson,1,S,1,3,a,4,"['Head3a', 'Eyes1d', 'Hair4c', 'Beard4d', 'Eyebrows4b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Todd Bell,1,S,1,3,a,1,"['Head3a', 'Eyes1c', 'Hair1j', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Tim Wrightman,1,TE,1,3,a,3,"['Head3a', 'Eyes1c', 'Hair3h', 'Beard3b', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Pat Dunsmore,1,TE,1,3,a,1,"['Head3a', 'Eyes1e', 'Hair1c', 'Beard1e', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Clay Pickering,1,WR,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1j', 'Beard1f1', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Lew Barnes,1,WR,1,4,a,1,"['Head4a', 'Eyes1e', 'Hair1b', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Ken Margerum,1,WR,1,4,a,1,"['Head4a', 'Eyes1c', 'Hair1h', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Keith Ortego,1,WR,1,3,a,1,"['Head3a', 'Eyes1c', 'Hair1b', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Dennis Gentry,1,WR,1,3,a,3,"['Head3a', 'Eyes1e', 'Hair3h', 'Beard3b', 'Eyebrows3b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Mark Bortz,1,OG,0,3,b,1,"['Head3b', 'Eyes1c', 'Hair1r2', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Walter Payton,1,RB,1,3,c,1,"['Head3c', 'Eyes1c', 'Hair1j', 'Beard1d', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Emery Moorehead,1,TE,0,1,c,2,"['Head1c', 'Eyes1d', 'Hair2j', 'Beard2b', 'Eyebrows2a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Jimbo Covert,1,OT,0,1,b,3,"['Head1b', 'Eyes1d', 'Hair3a', 'Beard3a', 'Eyebrows3a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Tom Thayer,1,OG,0,1,b,3,"['Head1b', 'Eyes1a', 'Hair3g', 'Beard3b', 'Eyebrows3a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Richard Dent,1,DE,1,5,b,1,"['Head5b', 'Eyes1d', 'Hair1k', 'Beard1g', 'Eyebrows1a', 'Nose5a', 'Mouth5a', 'Glasses1e', 'Clothes1']"
Mike Baab,5,C,0,2,b,3,"['Head2b', 'Eyes1e', 'Hair3l', 'Beard3e', 'Eyebrows3b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes2']"
Vestee Jackson,1,CB,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1b', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Mark Johnson,2,C,0,1,b,3,"['Head1b', 'Eyes1b', 'Hair3h', 'Beard3g', 'Eyebrows3b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
John Harty,15,DT,1,4,b,1,"['Head4b', 'Eyes1e', 'Hair1e', 'Beard1d', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Steve Mott,19,C,0,1,b,3,"['Head1b', 'Eyes1e', 'Hair3h', 'Beard3a', 'Eyebrows3b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Mark Walen,11,DT,1,4,b,1,"['Head4b', 'Eyes1c', 'Hair1j', 'Beard1b', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Matt Suhey,1,RB,1,5,a,1,"['Head5a', 'Eyes1a', 'Hair1c', 'Beard1e', 'Eyebrows1b', 'Nose5a', 'Mouth5a', 'Glasses1e', 'Clothes1']"
Maurice  Douglass,1,S,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1e', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Greg Hill,9,S,0,1,a,5,"['Head1a', 'Eyes1e', 'Hair5d', 'Beard5b', 'Eyebrows5b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Lionel James,8,RB,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1a', 'Beard1d', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Robert Lavette,11,RB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1s', 'Beard1a', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Jeff Bostic,26,C,0,1,b,3,"['Head1b', 'Eyes1b', 'Hair3d', 'Beard3b', 'Eyebrows3a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
David Frye,12,OLB,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1h', 'Beard1b', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Ty Allert,8,OLB,1,3,a,3,"['Head3a', 'Eyes1d', 'Hair3d', 'Beard3d', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Buddy Curry,14,MLB,1,3,a,1,"['Head3a', 'Eyes1d', 'Hair1a', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Carl Zander,2,MLB,0,3,a,3,"['Head3a', 'Eyes1e', 'Hair3h', 'Beard3f2', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Van Hughes,7,DE,1,4,b,1,"['Head4b', 'Eyes1c', 'Hair1h', 'Beard1g', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Dino Hackett,9,MLB,0,3,a,1,"['Head3a', 'Eyes1d', 'Hair1b', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Ron Rivera,1,OLB,2,3,c,1,"['Head3c', 'Eyes1d', 'Hair1o', 'Beard1c', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Keith Bostic,30,S,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1b', 'Beard1a', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Vann McElroy,23,S,0,3,a,1,"['Head3a', 'Eyes1c', 'Hair1e', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
K.D. Dunn,6,TE,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1b', 'Beard1g', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Gary Clark,26,WR,1,4,a,1,"['Head4a', 'Eyes1c', 'Hair1l', 'Beard1d', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Billy Johnson,14,WR,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1s', 'Beard1f1', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Willie Gault,1,WR,1,4,a,1,"['Head4a', 'Eyes1c', 'Hair1n', 'Beard1b', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Roy Green,7,WR,1,4,a,1,"['Head4a', 'Eyes1c', 'Hair1r1', 'Beard1b', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Earnest Byner,5,RB,1,3,a,2,"['Head3a', 'Eyes1a', 'Hair2h', 'Beard2b', 'Eyebrows2a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Ted Watts,32,CB,1,5,c,1,"['Head5c', 'Eyes1c', 'Hair1k', 'Beard1b', 'Eyebrows1a', 'Nose5a', 'Mouth5a', 'Glasses1e', 'Clothes1']"
Isaac Holt,31,CB,1,4,a,3,"['Head4a', 'Eyes1d', 'Hair3i', 'Beard3a', 'Eyebrows3b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Chris Doleman,31,DE,1,3,b,1,"['Head3b', 'Eyes1e', 'Hair1a', 'Beard1a', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Ron Pitts,3,CB,0,3,a,1,"['Head3a', 'Eyes1e', 'Hair1b', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Ken Huff,26,C,1,4,d,1,"['Head4d', 'Eyes1c', 'Hair1m', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Donovan Rose,12,CB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1d', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Stanley Morgan,22,WR,1,3,c,3,"['Head3c', 'Eyes1b', 'Hair3a', 'Beard3g', 'Eyebrows3b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Steve Largent,28,WR,0,1,c,2,"['Head1c', 'Eyes1d', 'Hair2k', 'Beard2a', 'Eyebrows2b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Phil McConkey,16,WR,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1b', 'Beard1b', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Stanley Wilson,2,RB,1,4,a,1,"['Head4a', 'Eyes1c', 'Hair1j', 'Beard1b', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Bart Oates,16,C,0,2,b,3,"['Head2b', 'Eyes1b', 'Hair3d', 'Beard3f1', 'Eyebrows3b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Mark Collins,16,CB,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1d', 'Beard1e', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Todd Fowler,11,RB,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1s', 'Beard1e', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Reyna Thompson,12,S,1,3,a,1,"['Head3a', 'Eyes1a', 'Hair1e', 'Beard1d', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Terry Kinard,16,S,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1h', 'Beard1g', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
William Andrews,14,RB,1,3,c,3,"['Head3c', 'Eyes1b', 'Hair3h', 'Beard3e', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Owen Gill,10,RB,1,3,a,1,"['Head3a', 'Eyes1a', 'Hair1q', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Doug Flutie,1,QB,0,3,a,1,"['Head3a', 'Eyes1d', 'Hair1m', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Jim Stuckey,15,DE,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1m', 'Beard1a', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Jody Schulz,13,OLB,0,3,a,1,"['Head3a', 'Eyes1d', 'Hair1h', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Reggie Williams,2,OLB,1,4,c,1,"['Head4c', 'Eyes1c', 'Hair1f', 'Beard1f1', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
William Graham,19,S,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1k', 'Beard1c', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Orson Mobley,4,TE,1,4,a,1,"['Head4a', 'Eyes1e', 'Hair1k', 'Beard1f2', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Dokie Williams,23,WR,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1s', 'Beard1c', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Sean McNanie,3,DE,1,4,b,1,"['Head4b', 'Eyes1b', 'Hair1a', 'Beard1a', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Lamonte Hunley,10,OLB,0,3,a,1,"['Head3a', 'Eyes1b', 'Hair1l', 'Beard1c', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Otis Wilson,1,OLB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1f', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Andy Hawkins,8,MLB,1,3,a,1,"['Head3a', 'Eyes1a', 'Hair1l', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Keith Willis,29,DE,1,4,b,1,"['Head4b', 'Eyes1a', 'Hair1r2', 'Beard1g', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Dave Rimington,2,C,0,1,b,3,"['Head1b', 'Eyes1d', 'Hair3a', 'Beard3a', 'Eyebrows3a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Thomas Benson,8,MLB,0,3,a,1,"['Head3a', 'Eyes1e', 'Hair1c', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
George Lilja,5,C,0,2,b,1,"['Head2b', 'Eyes1b', 'Hair1h', 'Beard1g', 'Eyebrows1a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes2']"
Ray Horton,2,CB,1,3,a,2,"['Head3a', 'Eyes1d', 'Hair2k', 'Beard2d', 'Eyebrows2a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Mark Harper,5,CB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1a', 'Beard1b', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Steve Korte,27,C,0,1,b,1,"['Head1b', 'Eyes1d', 'Hair1a', 'Beard1g', 'Eyebrows1a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Carl Hairston,5,DE,1,4,d,1,"['Head4d', 'Eyes1a', 'Hair1h', 'Beard1e', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Sam Washington,2,CB,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1r1', 'Beard1d', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Frank Minnifield,5,CB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1d', 'Beard1a', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Joe Fields,18,C,0,1,c,1,"['Head1c', 'Eyes1b', 'Hair1c', 'Beard1b', 'Eyebrows1a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
John Simmons,2,CB,1,3,a,1,"['Head3a', 'Eyes1e', 'Hair1a', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Phil Smith,13,WR,1,4,a,1,"['Head4a', 'Eyes1c', 'Hair1j', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Drew Hill,30,WR,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1b', 'Beard1b', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Gerald Carter,6,WR,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1r1', 'Beard1d', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Tom Rafferty,11,C,0,2,d,1,"['Head2d', 'Eyes1a', 'Hair1h', 'Beard1g', 'Eyebrows1a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Matt Darwin,13,C,0,3,b,1,"['Head3b', 'Eyes1d', 'Hair1m', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Nathan Wonsley,6,RB,1,2,a,3,"['Head2a', 'Eyes1e', 'Hair3c', 'Beard3f1', 'Eyebrows3b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Lewis Billups,2,CB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1o', 'Beard1a', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Keith Millard,31,DT,1,4,b,1,"['Head4b', 'Eyes1d', 'Hair1h', 'Beard1g', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Tim Krumrie,2,DT,0,3,b,4,"['Head3b', 'Eyes1d', 'Hair4a', 'Beard4g', 'Eyebrows4b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Broderick Thompson,11,C,0,1,b,3,"['Head1b', 'Eyes1c', 'Hair3h', 'Beard3b', 'Eyebrows3b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Mark Cannon,20,C,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1e', 'Beard1d', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Tony Paige,18,RB,1,3,a,1,"['Head3a', 'Eyes1e', 'Hair1r2', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Rick Woods,29,CB,1,4,a,1,"['Head4a', 'Eyes1c', 'Hair1l', 'Beard1g', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Wayne Grant,2,DT,1,3,b,1,"['Head3b', 'Eyes1e', 'Hair1h', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Jeff Shaw,2,DT,1,3,b,1,"['Head3b', 'Eyes1d', 'Hair1b', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Ottis Anderson,7,RB,1,3,a,1,"['Head3a', 'Eyes1e', 'Hair1d', 'Beard1d', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Don Mosebar,23,C,0,3,b,1,"['Head3b', 'Eyes1b', 'Hair1b', 'Beard1d', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Craig Ellis,12,RB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1h', 'Beard1f2', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Dee Hardison,8,DE,1,4,d,1,"['Head4d', 'Eyes1a', 'Hair1a', 'Beard1f2', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Brian Johnston,16,C,0,3,b,1,"['Head3b', 'Eyes1c', 'Hair1d', 'Beard1d', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Larry Braziel,5,CB,1,3,c,3,"['Head3c', 'Eyes1e', 'Hair3d', 'Beard3g', 'Eyebrows3b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
D.D. Hoggard,5,CB,1,3,a,1,"['Head3a', 'Eyes1e', 'Hair1s', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
