name,TGID,POVR,PAGE,PYRP,length
Owen Gill,10,71,24,1,3
Doug Flutie,1,73,23,0,4
Jim Stuckey,15,80,28,6,4
Jody Schulz,13,73,26,2,2
Reggie Williams,2,87,32,10,1
William Graham,19,75,27,4,1
Orson Mobley,4,79,23,0,3
Dokie Williams,23,82,26,3,1
Sean McNanie,3,78,25,2,1
Lamonte Hunley,10,70,23,1,3
Otis Wilson,1,86,29,6,4
Andy Hawkins,8,76,28,6,2
Keith Willis,29,82,27,4,1
Dave Rimington,2,85,26,3,1
Thomas Benson,8,79,25,2,2
George Lilja,5,75,28,4,4
Ray Horton,2,78,26,3,1
Mark Harper,5,75,25,0,3
Steve Korte,27,82,26,3,3
Carl Hairston,5,82,34,10,1
Sam Washington,2,68,26,4,2
Frank Minnifield,5,88,26,3,1
Joe Fields,18,82,32,11,1
John Simmons,2,75,27,5,2
Phil Smith,13,64,26,2,2
Drew Hill,30,88,29,7,4
Gerald Carter,6,81,29,6,2
Tom Rafferty,11,86,32,10,4
Matt Darwin,13,78,23,0,4
Nathan Wonsley,6,73,23,0,4
Lewis Billups,2,81,22,0,3
Keith Millard,31,87,24,1,2
Tim Krumrie,2,88,26,3,2
Broderick Thompson,11,69,26,1,1
Mark Cannon,20,76,24,2,2
Tony Paige,18,80,23,2,2
Rick Woods,29,79,26,4,1
Wayne Grant,2,67,23,0,4
Jeff Shaw,2,67,24,0,3
Ottis Anderson,7,83,29,7,2
Don Mosebar,23,89,25,3,1
Craig Ellis,12,66,25,0,2
Dee Hardison,8,77,30,8,1
Brian Johnston,16,71,23,0,4
Larry Braziel,5,72,31,7,2
D.D. Hoggard,5,74,25,1,3
Larry Kinnebrew,2,86,27,3,1
Robert Jackson,2,77,27,4,2
Bobby Kemp,2,82,27,5,1
David Hill,24,80,32,10,2
Walter Murray,10,68,23,0,2
Stanford Jennings,2,70,24,2,2
Hanford Dixon,5,91,28,5,2
Charles Alexander,2,71,29,6,1
Glenn Hyde,28,77,35,10,1
Bobby Butler,14,83,27,5,3
Eddie Lee Ivery,20,81,29,7,1
Elvis Patterson,16,84,25,2,2
Jim Breech,2,93,30,7,1
Kerry Glenn,18,76,24,1,3
Steve Wilson,4,78,29,7,1
Tony Casillas,14,84,22,0,3
Pat Franklin,6,70,23,0,4
Victor Scott,11,75,24,2,2
John Harris,31,86,30,8,2
Vai Sikahema,7,69,24,0,4
Mike Waters,13,67,24,0,4
Cornell Gowdy,11,72,22,0,2
Eddie Edwards,2,81,32,9,1
Garry Cobb,13,83,29,7,2
Lance Mehl,18,87,28,6,1
Alex Moyer,12,70,22,1,1
Rick Dennison,4,76,28,4,1
Bob Golic,5,90,29,6,4
Kiki DeAyala,2,74,24,0,4
Mike Douglass,8,77,31,8,1
Charles Baker,7,83,28,6,5
Webster Slaughter,5,78,21,0,5
Don Warren,26,84,30,7,1
Jerry Butler,3,83,28,6,1
Randy Grimes,6,82,26,3,1
Emanuel King,2,78,23,1,3
Tim Stone,2,68,25,0,3
Reggie Langhorne,5,79,23,1,3
Joe Walter,2,75,23,1,4
Joe Kelly,2,76,21,0,3
Ed Brady,2,75,24,2,2
Johnny Hector,18,78,25,3,2
Jeff Hayes,2,77,27,4,1
Dwight Wheeler,23,73,31,6,1
Mark Lee,20,83,28,6,1
Boomer Esiason,2,85,25,2,1
Chris Sheffield,29,72,23,0,4
Gerald Willhite,4,86,27,4,2
Eric Williams,29,79,26,3,1
Tony Baker,14,72,22,0,4
Chris Smith,9,73,23,0,3
Doug Gaynor,2,64,24,0,4
Mike Webster,29,94,34,12,1
Ken Anderson,2,80,37,15,2
Jim Skow,2,76,23,0,4
Mike Hammerstein,2,73,23,0,5
Roynell Young,13,84,28,6,2
Jim Fahnhorst,15,79,27,2,3
Larry Williams,5,80,23,0,3
Randy Scott,20,81,27,5,1
Barney Bussey,2,78,24,0,4
Curtis Dickey,5,78,29,6,3
David Douglas,2,74,23,0,4
Max Montoya,2,89,30,7,1
Ozzie Newsome,5,87,30,8,6
Bill Johnson,2,82,25,1,2
Paul Farren,5,84,25,3,4
E.J. Jones,17,73,24,1,3
Darrell Green,26,90,26,3,4
Kenny Daniel,10,70,26,1,1
Ken McAlister,9,75,26,3,1
Anthony Dickerson,21,78,29,6,1
Tony Lilly,4,75,24,2,2
Dan Fike,5,87,25,1,3
Ricky Hunley,4,79,24,2,2
Ray Bentley,3,79,25,1,3
Paul Hanna,5,68,26,0,4
Levi Thompson,25,74,30,8,1
Leon White,2,75,22,0,3
Ron Simpkins,2,74,28,5,1
Brian Blados,2,85,24,2,2
David Fulcher,2,81,21,0,4
Terry Taylor,28,83,25,2,3
Jimmy Turner,2,74,27,3,1
Eric Kattus,2,73,23,0,3
M.L. Harris,2,64,32,6,2
Eddie Brown,2,83,23,1,3
Mike Martin,2,71,25,3,1
Joe Cribbs,15,78,28,6,1
Steve Kreider,2,73,28,7,1
Cris Collinsworth,2,87,27,5,4
Tim McGee,2,78,22,0,4
Kevin Mack,5,89,24,1,4
Wayne Radloff,14,80,25,1,3
Gerry Feehery,13,72,26,3,1
Dave Puzzoli,5,76,25,3,1
Chris Rockins,5,76,24,2,2
Jeff Smith,9,72,24,1,3
Anthony Toney,13,75,23,0,4
Carl Byrum,3,71,23,0,4
Robert Brown,20,80,26,4,1
Ron Davenport,12,79,23,1,1
Bruce Kozerski,2,86,24,2,2
Bruce Reimers,2,78,25,2,1
Jeff Leiding,10,69,24,0,4
August Curley,19,74,26,3,1
Jim Jeffcoat,11,87,25,3,1
Kenny Easley,28,91,27,5,2
James Brooks,2,86,27,5,1
Rodney Holman,2,87,26,4,1
Steve Courson,6,69,30,8,2
Anthony Munoz,2,97,28,6,3
Johnny Davis,5,66,30,8,1
Ross Browner,2,80,32,8,2
Byron Hunt,16,76,27,5,1
Louis Breeden,2,86,32,8,2
Kent Hull,3,83,25,1,3
Jackie Walker,6,72,23,0,4
John Offerdahl,12,86,22,0,3
Kevin Walker,6,73,24,0,3
Tim Vogler,3,78,29,7,1
Rodney Bellinger,3,72,25,2,1
Kevin Williams,3,70,24,1,3
Rod Hill,3,77,27,3,1
Charles Romes,3,83,31,9,1
Guy Bingham,18,75,28,6,3
Don Smith,3,81,29,7,4
Jerry Boyarsky,3,76,27,5,1
Fred Smerlas,3,86,29,7,1
Kevin Brooks,11,75,23,1,3
Ricky Moore,3,70,23,0,4
Tate Randle,10,75,27,4,4
Mark Kelso,3,79,23,0,3
Steve Freeman,3,82,33,11,1
Ronnie Harmon,3,78,22,0,4
Greg Bell,3,78,24,2,2
Craig Swoope,6,78,22,0,4
Fred Quillan,15,87,30,8,1
Scott Norwood,3,86,26,1,3
Dean Prater,3,72,27,4,1
Mark Traynowicz,3,71,23,1,1
James Gabrish,15,72,23,0,4
Everson Walls,11,89,26,5,3
George Cumby,3,76,30,6,1
Leo Barker,2,81,26,2,1
Tony Furjanic,3,73,22,0,3
Lucius Sanford,3,81,30,8,2
Ken Jones,3,78,33,10,1
Justin Cross,3,72,27,4,1
George Greene,20,78,24,1,2
Don Griffin,15,79,22,0,5
Guy Frazier,3,74,27,5,1
Eugene Marve,3,84,26,4,1
John Kidd,3,89,25,2,3
Manny Hendrix,11,71,22,0,2
Jim Kelly,3,84,26,2,2
Johnny Holloway,11,72,22,0,4
Clint Burrell,5,73,30,5,1
Dwight Stephenson,12,95,28,6,3
Frank Reich,3,74,24,1,3
Mark Pike,3,71,23,0,4
Anthony Griggs,5,75,26,4,1
E.J. Junior,7,84,26,5,3
Mike Hamby,3,71,23,0,4
Dale Hellestrae,3,72,24,1,3
Hal Garner,3,75,24,1,2
Darryl Talley,3,84,26,3,1
Joe Devlin,3,81,32,9,3
Martin Bayless,3,79,23,2,1
Dwight Drane,3,75,24,1,3
Eugene Lockhart,11,80,25,2,2
Eddie Johnson,5,82,27,5,2
Butch Rolle,3,67,22,0,4
Gary Wilkins,3,72,22,0,4
Eric Richardson,3,68,24,1,2
Doug Smith,24,92,29,2,2
Ron Fellows,11,84,28,5,1
Walter Broughton,3,64,23,0,4
Jimmy Teal,3,67,25,1,1
Felix Wright,5,82,27,1,3
Andre Reed,3,83,22,1,3
Randy White,11,87,33,11,2
Chris Burkett,3,75,24,1,2
Major Everett,5,75,26,3,1
Jim Richter,3,86,28,6,2
Tom Turnure,19,74,29,6,2
Herman Fontenot,5,72,23,1,1
Robb Riddick,3,79,29,3,2
Pete Metzelaars,3,83,27,4,2
Will Wolford,3,83,22,0,3
Elbert Foules,13,77,25,3,1
Leonard Burton,3,71,22,0,4
Bruce Smith,3,89,23,1,2
Derrick Burroughs,3,83,25,1,3
Bobby Watkins,19,77,26,4,1
Billy Bryan,4,83,31,9,1
Mike Renfro,11,81,31,8,3
Mitch Geier,4,67,24,0,4
Daniel Hunter,4,74,24,1,3
Mark Haynes,4,85,28,6,5
Mike Harden,4,82,28,6,3
Sam Clancy,5,80,28,2,2
Greg Kragen,4,80,24,1,2
Rubin Carter,4,76,33,11,2
Tony Colorito,4,72,22,0,5
Gene Lang,4,79,24,2,3
Glen Titensor,11,83,28,5,3
Ray Noble,4,67,23,0,3
Steve Foley,4,85,33,10,1
Steve Sewell,4,74,23,0,4
Ken Bell,4,66,21,0,4
Rich Karlis,4,93,27,4,2
Freddie Gilbert,4,75,24,0,4
Mike Freeman,4,74,25,1,3
Tony Dorsett,11,87,32,9,3
Darren Comeaux,4,75,26,4,1
Jim Ryan,4,82,29,6,1
Dan Remsberg,4,72,24,0,3
Winford Hood,4,74,24,2,2
Karl Mecklenburg,4,88,26,3,1
Ty Bryant,4,69,31,9,2
Mike Horan,4,84,27,2,2
John Elway,4,87,25,3,3
Gary Kubiak,4,74,24,3,1
Barney Chavous,4,66,35,13,1
Simon Fletcher,4,80,24,1,2
Mark Cooper,4,74,26,3,1
Ken Woodard,4,78,26,4,1
Dave Dalby,25,79,35,14,1
Tom Jackson,4,82,35,13,3
Ken Lanier,4,84,27,5,1
Dennis Smith,4,90,27,5,4
Randy Robbins,4,75,24,2,2
Bobby Micho,4,70,24,1,3
Joey Hackett,4,66,28,0,4
Mark Jackson,4,79,23,0,6
Joe Thomas,4,66,24,0,1
Clint Sampson,4,74,25,3,1
Vance Johnson,4,81,23,1,4
Steve Watson,4,85,29,7,2
Ralph Malone,5,70,22,0,4
Keith Bishop,4,90,29,5,3
Sammy Winder,4,82,26,4,4
Clarence Kay,4,81,25,2,2
Dave Studdard,4,83,31,7,1
Paul Howard,4,84,36,12,1
Rulon Jones,4,91,28,6,1
Louis Wright,4,84,33,11,1
Mike Haynes,23,90,33,10,2
Robert Jackson,5,69,35,11,1
Scott Nicolas,5,73,26,4,1
Clay Matthews,5,86,30,8,3
Lester Hayes,23,88,31,9,1
Cody Risien,5,89,29,7,6
Ray Ellis,5,82,27,5,4
Al Gross,5,77,25,3,1
Travis Tucker,5,72,23,1,3
Harry Holt,5,76,28,3,1
Clarence Weathers,5,75,24,3,1
Terry Greer,5,68,28,0,3
Gerald McNeil,5,66,24,0,4
Brian Brennan,5,81,24,2,2
Matt Bahr,5,90,30,7,3
Reggie Camp,5,82,25,3,1
Jeff Wiska,5,70,27,0,4
Brad Van Pelt,5,77,35,13,2
Sean Farrell,6,82,26,4,4
Chip Banks,5,87,27,4,2
Bill Contz,5,75,24,3,1
Rickey Bolden,5,75,26,2,2
Curtis Weathers,5,70,30,7,3
Mike Johnson,5,80,24,0,3
Jeff Gossett,5,88,29,5,2
Bernie Kosar,5,82,22,1,4
Doug Cosbie,11,86,30,7,1
Gary Danielson,5,74,35,9,1
Mike Pagel,5,75,26,4,3
Mark Tuinei,11,83,26,3,1
Vito McKeever,6,78,21,0,4
Bobby Futrell,6,74,24,0,4
Ivory Sully,6,78,29,7,1
Don Anderson,25,73,23,1,3
Rod Jones,6,74,22,0,4
David Logan,6,79,30,7,1
Kevin House,6,78,28,6,1
Phil Freeman,6,70,24,1,2
Rick Mallory,6,71,26,1,2
Crawford Ker,11,80,24,1,4
Don Smerek,11,75,29,5,1
James Wilder,6,84,28,5,1
Jimmy Giles,6,83,32,9,2
Rob Taylor,6,79,26,0,5
Karl Morgan,6,72,25,2,2
Kevin Kellin,6,75,27,0,5
Ron Springs,6,83,30,7,1
Ricky Easmon,6,70,23,1,3
Craig Curry,6,78,25,2,2
Larry Lee,12,74,27,5,1
Greg Allen,6,66,23,1,3
Bobby Howard,6,69,22,0,3
Steve DeBerg,6,81,32,8,1
John Cannon,6,78,26,4,2
Tyrone Keys,6,73,27,3,1
Greg Robinson,6,66,23,0,2
Ervin Randle,6,77,24,1,2
Chris Washington,6,79,24,2,3
Joel Hilgenberg,27,79,24,2,2
Marvin Powell,6,76,31,9,2
Jeremiah Castille,6,74,25,3,1
Mike Prior,6,72,22,1,3
Calvin Magee,6,79,23,1,3
Jerry Bell,6,71,27,4,1
David Williams,6,64,23,0,4
Willie Gillespie,6,62,24,0,3
Leonard Harris,6,69,26,0,3
Donald Igwebuike,6,81,26,1,2
Bob Nelson,6,73,27,0,4
George Yarno,6,80,29,4,1
Kevin Murphy,6,73,23,0,4
Keith Browner,6,78,24,2,2
William Gay,19,81,31,8,2
J.D. Maarvleveld,6,68,25,0,4
Ron Heller,6,80,24,2,2
Scot Brantley,6,79,28,6,1
Jeff Davis,6,79,26,4,1
Frank Garcia,6,81,29,5,2
Dexter Manley,26,92,27,5,1
Steve Young,6,85,25,2,2
Alan Risher,6,67,25,1,2
Randy Clark,7,82,24,6,1
Gene Chilton,7,72,22,0,2
John Dutton,11,83,35,12,2
Bobby Johnson,7,76,26,3,1
Timmy Newsome,11,86,28,6,1
Tommy Haynes,11,66,23,0,3
Jeff Griffin,7,73,28,5,1
Michael Downs,11,83,27,5,1
Carl Carter,7,75,22,0,4
Cedric Mack,7,81,26,3,2
Herschel Walker,11,83,24,1,3
Jay Pennison,30,79,24,0,4
David Galloway,7,80,27,4,1
Elois Grooms,7,69,33,11,1
Mark Duda,7,76,25,3,1
Earl Ferrell,7,85,28,4,1
Wayne Smith,7,76,29,6,1
Lonnie Young,7,80,23,1,2
Darryl Clack,11,66,23,0,4
Ron Wolfley,7,71,23,1,3
Bobby Humphrey,18,76,25,2,2
Broderick Sargent,7,69,24,0,3
John Lee,7,78,22,0,5
Bob Clasby,7,79,25,0,4
Kurt Ploeger,11,70,24,0,4
Rick DiBernardo,7,72,22,0,4
Bob Otto,11,71,23,0,4
Rick Bryan,14,88,24,2,2
Freddie Joe Nunn,7,81,24,1,3
Tootie Robbins,7,77,28,4,1
Don McNeal,12,78,28,6,1
Mike Ruether,7,73,23,0,4
Tom Howard,7,70,32,9,1
Anthony Bell,7,76,22,0,3
Terry Long,29,81,27,2,3
Greg Cater,7,84,29,4,1
Brian Baldinger,11,75,26,3,1
Neil Lomax,7,87,27,5,2
Kent Austin,7,64,23,0,3
Cliff Stoudt,7,75,31,8,1
Gary Dulin,7,74,29,0,4
Stafford Mays,7,76,28,6,4
Doug Dawson,7,75,24,2,2
Niko Noga,7,79,24,2,2
David Waymer,27,83,28,6,1
Ron Monaco,7,71,23,0,4
Lance Smith,7,79,23,1,2
Chuck Commiskey,27,80,28,0,5
Leonard Smith,7,87,26,3,1
Dennis Thurman,7,78,30,8,1
Jay Novacek,7,81,23,1,3
Greg LeFluer,7,72,28,5,3
Troy Johnson,7,70,23,0,4
Scott Holman,7,65,23,0,2
Chas Fox,7,65,22,0,3
J.T. Smith,7,88,31,8,1
Garth Jax,11,72,23,0,3
Pat Tilley,7,80,33,10,2
Derek Kennard,7,80,24,0,4
George Little,12,77,23,1,3
Brad Benson,16,89,30,8,1
Ray Brown,7,76,23,0,4
Stump Mitchell,7,78,27,5,1
Doug Marsh,7,82,28,6,1
Paul Lankford,12,82,28,4,1
Luis Sharpe,7,88,26,4,1
Joe Bostic,7,84,29,7,2
Al Baker,7,84,29,8,3
Lionel Washington,7,82,25,3,1
Ken Taylor,8,80,23,1,3
Jim Leonard,8,75,28,6,1
Leslie O'Neal,8,85,22,0,3
Don Macek,8,82,32,10,1
Danny Walters,8,78,25,3,1
Kellen Winslow,8,89,28,7,3
Jim Lachey,8,86,23,1,4
Dennis McKnight,8,82,32,10,1
David Martin,8,70,27,0,4
John Hendy,8,74,28,1,3
Wayne Davis,8,80,23,1,3
Blaise Winter,8,75,24,1,2
Curtis Pardridge,8,66,22,0,1
Timmy Ware,8,66,24,0,3
Charlie Joiner,8,85,38,18,1
Wes Chandler,8,84,30,8,2
James Fitzpatrick,8,75,22,0,3
Gary Anderson,8,79,25,1,2
Chuck Ehin,8,80,25,3,2
Jeff Rohrer,11,79,28,4,3
Terry Unrein,8,72,23,0,4
Tim Spencer,8,81,25,1,2
Kevin Wyatt,8,71,22,0,2
Gill Byrd,8,85,25,3,1
Buford McGee,8,73,26,2,1
Curtis Adams,8,68,24,1,2
Dan Fouts,8,83,35,13,1
Bruce Mathison,8,75,27,3,1
Mark Herrmann,8,76,27,4,1
Earl Wilson,8,73,28,1,3
Fred Robinson,8,73,24,2,2
Curt DiGiacomo,8,70,22,0,4
Phil Pozderac,11,84,26,4,3
Derrie Nelson,8,72,28,3,1
Woodrow Lowe,8,83,31,10,4
Bill Bates,11,81,25,3,1
Jeff Walker,8,71,23,0,4
Jeffery Dale,8,78,23,1,3
Miles McPherson,8,69,26,5,1
Pete Holohan,8,83,27,5,5
Eric Sievers,8,76,28,5,2
Trumaine Johnson,8,75,25,2,2
Rolf Benirschke,8,92,31,9,2
Lee Williams,8,89,23,2,3
Sam Claphan,8,81,29,5,1
Andy Demmin,8,67,22,0,1
Billy Ray Smith,8,87,25,3,1
Tom Jelesky,13,77,25,1,3
Ken Dallafior,8,75,27,1,3
Gary Kowalski,8,79,26,2,1
Ron Baker,13,82,31,8,3
Mark Fellows,8,71,23,1,2
Gary Plummer,8,81,26,0,4
Bob Rush,17,80,31,9,1
Vince Albritton,11,72,24,2,2
Ralf Mojsienjenko,8,78,23,1,3
Tom Baugh,9,72,22,0,3
Bryan Millard,28,84,25,2,2
Adam Lingner,9,70,25,3,2
Garcia Lane,9,68,24,1,2
J.C. Pearson,9,75,23,0,4
Sherman Cocroft,9,78,25,1,3
Kevin Ross,9,88,24,2,2
Bill Maas,9,87,24,2,1
Gary Baldinger,9,74,22,0,4
Leonard Griffin,9,73,23,0,3
Mike Pruitt,9,80,32,10,4
Angelo James,9,71,24,0,4
Deron Cherry,9,91,27,5,5
Herman Heard,9,78,24,2,2
Jim Wilks,27,81,28,5,1
Bruce King,9,71,23,1,3
Rich Umphrey,17,73,27,4,2
Nick Lowery,9,99,30,7,1
Art Still,9,92,30,8,5
Brian Jozwiak,9,72,23,0,4
Gary Spani,9,78,30,8,4
Louis Cooper,9,79,23,1,3
John Alt,9,82,24,2,2
Rich Baldinger,9,77,26,4,2
Sam Seale,23,75,23,2,2
Whitney Paul,9,74,32,10,1
Scott Radecic,9,75,24,2,2
Lewis Colbert,9,73,23,0,4
Bill Kenney,9,82,31,6,1
Frank Seurer,9,65,24,0,3
Jeff Van Note,14,79,40,17,1
Todd Blackledge,9,77,25,3,3
Eric Holle,9,75,26,2,2
Kit Lathrop,9,74,30,2,2
Jim Rourke,9,75,29,6,1
Thorton Chandler,11,75,23,0,4
David Croudip,14,74,28,2,2
Aaron Pearson,9,73,22,0,3
Tim Cofield,9,78,23,0,4
Dave Lutz,9,82,26,3,1
Arthur Cox,14,82,25,3,1
Lloyd Burruss,9,91,28,5,1
Mark Robinson,9,75,23,2,1
Fred Cornwell,11,64,25,2,1
Walt Arnold,9,76,28,6,1
Mike Kenn,14,84,30,8,1
Paul Coffman,9,79,30,8,1
Emile Harry,9,73,23,0,4
Anthony Hancock,9,73,26,4,1
Bill Fralic,14,90,23,1,3
Carlos Carson,9,85,27,6,2
Dennis Woodberry,14,71,22,0,4
Stephone Paige,9,84,24,3,2
Henry Marshall,9,82,32,10,1
Rick Donnally,9,82,27,4,1
Brad Budde,9,81,29,6,1
Boyce Green,9,78,26,3,1
Jonathan Hayes,9,80,24,1,3
Irv Eatman,9,79,25,0,3
Mark Adickes,9,80,25,0,4
Pete Koch,9,80,24,2,1
Albert Lewis,9,90,25,3,1
Eugene Daniel,10,80,25,2,2
Ray Donaldson,10,93,28,6,1
Jon Hand,10,82,22,0,4
Mike Sherrard,11,78,23,0,3
Don Bailey,10,70,25,2,1
Pat Ballage,10,70,22,0,4
Gordon Banks,11,70,28,6,1
Pat Beach,10,79,26,2,2
Chris Hinton,10,88,25,3,2
Ron Solt,10,86,24,2,5
Jeff Bryant,28,84,26,4,1
Preston Davis,10,74,24,2,2
Dexter Clinkscale,10,80,28,5,4
Leonard Coleman,10,76,24,1,2
John Haines,10,70,24,1,3
Oliver Williams,10,66,25,1,3
Will Grant,21,79,32,8,2
Jeff Fuller,15,78,24,2,2
Robbie Martin,10,68,27,5,1
Bill Brooks,10,80,22,0,3
Matt Bouza,10,81,28,5,1
Karl Powe,11,73,24,1,2
Ron Caron,10,71,24,1,3
Randy McMillan,10,81,27,5,1
Willie Broughton,10,77,22,1,3
Scott Kellar,10,72,22,0,4
Albert Bentley,10,85,26,1,2
John Holt,10,76,27,5,1
Dwight Hicks,10,84,30,7,1
Jim Romano,30,69,27,4,1
Dan Turk,29,77,24,1,3
George Wonsley,10,73,25,2,1
Hubie Oliver,10,75,28,4,1
Gary Hogeboom,10,81,28,6,5
Blair Kiel,10,68,24,1,1
Jack Trudeau,10,78,24,0,4
Randy Cross,15,89,32,10,2
Harvey Armstrong,10,74,26,3,1
Scott Virkus,10,69,27,3,1
Mark Kirchner,10,71,26,2,2
Tony Hill,11,85,30,9,1
Barry Krauss,10,78,29,7,1
Duane Bickett,10,81,23,1,2
Kevin Call,10,78,24,2,3
Nesby Glasgow,10,79,29,6,2
Victor Jackson,10,70,28,0,4
Mark Boyer,10,77,23,1,3
Tim Sherwin,10,75,28,5,1
Duane Galloway,19,79,24,1,3
Wayne Capers,10,74,25,3,1
Dean Biasucci,10,90,28,1,3
Donnell Thompson,10,81,27,5,1
Ben Utt,10,79,27,4,4
Orlando Lowry,10,72,25,1,3
Johnie Cooks,10,82,27,4,1
Karl Baldschwiler,10,72,30,8,2
Bob Brotzki,10,70,23,0,3
Dave Ahrens,10,79,27,5,1
Cliff Odom,10,80,28,5,3
Ron Stark,10,92,27,4,1
Rafael Septian,11,94,33,9,2
Too Tall Jones,11,89,35,12,5
Nate Newton,11,84,25,0,3
Mike Kelley,25,77,24,1,3
Jesse Penn,11,73,24,1,2
Mike Hegman,11,82,33,10,1
Howard Richards,11,76,27,5,1
Jim Cooper,11,79,31,9,1
Steve DeOssie,11,77,24,2,2
Brian Salonen,11,66,25,2,2
Mike Saxon,11,85,24,1,3
Danny White,11,84,34,10,3
Reggie Collier,11,65,25,0,4
Donald Brown,12,71,22,0,4
Steve Pelluer,11,75,24,2,2
Mike Smith,12,70,23,1,1
William Judson,12,81,27,4,1
Bob Baumhower,12,80,31,9,4
Mark Duper,12,85,27,4,1
Tony Slaton,24,72,25,1,3
Roy Foster,12,92,26,4,1
Jeff Toews,12,69,28,7,1
Lorenzo Hampton,12,80,24,1,3
Casey Merrill,27,76,29,6,3
John Swain,29,76,27,5,1
Bruce Hardy,12,86,30,8,2
Jon Giesler,12,88,29,7,1
Ronnie Lee,12,83,29,6,1
Mike Charles,12,77,23,3,1
Ronnie O'Bard,17,71,28,1,2
Greg Brown,13,84,29,5,2
Johnnie Poe,27,80,27,5,2
Brian Sochia,12,75,25,3,1
Steve Brown,30,82,26,3,1
Woody Bennett,12,81,31,7,1
Bud Brown,12,75,25,2,2
Carl Lee,31,82,25,3,1
Lyle Blackwood,12,81,35,13,1
Tony Nathan,12,79,29,6,1
Joe Carter,12,74,24,2,2
Doug Betters,12,81,30,7,1
Mack Moore,12,76,27,1,2
Brenard Wilson,13,79,31,7,1
Tom Toth,12,70,24,0,4
Larry Kolic,12,74,23,0,4
Hugh Green,12,82,27,5,4
Cleveland Green,12,84,28,7,2
Glenn Blackwood,12,80,29,6,1
Mike Kozlowski,12,76,30,6,3
Dan Johnson,12,77,26,3,1
Mark Lewis,20,69,25,1,1
Nat Moore,12,79,34,12,3
Jim Jensen,12,75,27,5,2
James Pruitt,12,72,22,0,3
Mark Clayton,12,86,25,3,1
Chris Godfrey,16,87,28,3,1
Fuad Reveiz,12,89,23,1,3
T.J. Turner,12,75,23,0,4
Jay Brophy,12,74,26,2,2
