name,TGID,pos,POVR,PAGE,PYRP,length,salary,guarantee
Chris Doleman,31,DE,85,24,1,3,5271000.0,2183000.0
Ron Pitts,3,CB,75,23,0,4,911000.0,148000.0
Ken Huff,26,C,69,33,11,2,1411000.0,0.0
Donovan Rose,12,CB,73,29,1,2,1253000.0,0.0
Stanley Morgan,22,WR,91,31,9,1,7728000.0,0.0
Steve Largent,28,WR,90,32,10,2,11459000.0,2610000.0
Phil McConkey,16,WR,71,29,2,2,568000.0,163000.0
Stanley Wilson,2,RB,75,25,2,3,732000.0,415000.0
Bart Oates,16,C,87,27,1,3,1971000.0,120000.0
Mark Collins,16,CB,80,22,0,5,1235000.0,670000.0
Todd Fowler,11,RB,73,24,1,3,1465000.0,0.0
Reyna Thompson,12,S,72,23,0,3,911000.0,242000.0
Terry Kinard,16,S,83,26,3,1,1310000.0,0.0
William Andrews,14,RB,80,30,5,2,1745000.0,584000.0
Owen Gill,10,RB,71,24,1,3,781000.0,0.0
Doug Flutie,1,QB,73,23,0,4,866000.0,56000.0
Jim Stuckey,15,DE,80,28,6,4,1228000.0,0.0
Jody Schulz,13,OLB,73,26,2,2,1072000.0,0.0
Reggie Williams,2,OLB,87,32,10,1,14423000.0,3259000.0
William Graham,19,S,75,27,4,1,912000.0,0.0
Orson Mobley,4,TE,79,23,0,3,1022000.0,186000.0
Dokie Williams,23,WR,82,26,3,1,1167000.0,0.0
Sean McNanie,3,DE,78,25,2,1,822000.0,0.0
Lamonte Hunley,10,OLB,70,23,1,3,638000.0,305000.0
Otis Wilson,1,OLB,86,29,6,4,16618000.0,3168000.0
Andy Hawkins,8,MLB,76,28,6,2,1545000.0,1465000.0
Keith Willis,29,DE,82,27,4,1,5496000.0,583000.0
Dave Rimington,2,C,85,26,3,1,1378000.0,0.0
Thomas Benson,8,MLB,79,25,2,2,6364000.0,1724000.0
George Lilja,5,C,75,28,4,4,2592000.0,0.0
Ray Horton,2,CB,78,26,3,1,832000.0,0.0
Mark Harper,5,CB,75,25,0,3,649000.0,305000.0
Steve Korte,27,C,82,26,3,3,1004000.0,147000.0
Carl Hairston,5,DE,82,34,10,1,2678000.0,40000.0
Sam Washington,2,CB,68,26,4,2,167000.0,123000.0
Frank Minnifield,5,CB,88,26,3,1,1384000.0,0.0
Joe Fields,18,C,82,32,11,1,1597000.0,0.0
John Simmons,2,CB,75,27,5,2,1077000.0,791000.0
Phil Smith,13,WR,64,26,2,2,937000.0,0.0
Drew Hill,30,WR,88,29,7,4,9985000.0,1414000.0
Gerald Carter,6,WR,81,29,6,2,6763000.0,3959000.0
Tom Rafferty,11,C,86,32,10,4,10759000.0,5139000.0
Matt Darwin,13,C,78,23,0,4,3606000.0,1624000.0
Nathan Wonsley,6,RB,73,23,0,4,1072000.0,102000.0
Lewis Billups,2,CB,81,22,0,3,1464000.0,0.0
Keith Millard,31,DT,87,24,1,2,1547000.0,0.0
Tim Krumrie,2,DT,88,26,3,2,1458000.0,0.0
Broderick Thompson,11,C,69,26,1,1,1077000.0,119000.0
Mark Cannon,20,C,76,24,2,2,781000.0,0.0
Tony Paige,18,RB,80,23,2,2,7288000.0,3691000.0
Rick Woods,29,CB,79,26,4,1,937000.0,0.0
Wayne Grant,2,DT,67,23,0,4,845000.0,46000.0
Jeff Shaw,2,DT,67,24,0,3,132000.0,0.0
Ottis Anderson,7,RB,83,29,7,2,2710000.0,0.0
Don Mosebar,23,C,89,25,3,1,2989000.0,944000.0
Craig Ellis,12,RB,66,25,0,2,744000.0,156000.0
Dee Hardison,8,DE,77,30,8,1,706000.0,33000.0
Brian Johnston,16,C,71,23,0,4,1834000.0,0.0
Larry Braziel,5,CB,72,31,7,2,781000.0,218000.0
D.D. Hoggard,5,CB,74,25,1,3,879000.0,0.0
Larry Kinnebrew,2,RB,86,27,3,1,2341000.0,1803000.0
Robert Jackson,2,S,77,27,4,2,1177000.0,0.0
Bobby Kemp,2,S,82,27,5,1,4897000.0,577000.0
David Hill,24,TE,80,32,10,2,4666000.0,0.0
Walter Murray,10,WR,68,23,0,2,675000.0,197000.0
Stanford Jennings,2,RB,70,24,2,2,715000.0,473000.0
Hanford Dixon,5,CB,91,28,5,2,12687000.0,5482000.0
Charles Alexander,2,RB,71,29,6,1,821000.0,206000.0
Glenn Hyde,28,C,77,35,10,1,903000.0,24000.0
Bobby Butler,14,CB,83,27,5,3,1676000.0,0.0
Eddie Lee Ivery,20,RB,81,29,7,1,1239000.0,389000.0
Elvis Patterson,16,CB,84,25,2,2,4957000.0,0.0
Jim Breech,2,K,93,30,7,1,10432000.0,3066000.0
Kerry Glenn,18,CB,76,24,1,3,639000.0,305000.0
Steve Wilson,4,CB,78,29,7,1,2089000.0,237000.0
Tony Casillas,14,DT,84,22,0,3,4142000.0,4460000.0
Pat Franklin,6,RB,70,23,0,4,1085000.0,211000.0
Victor Scott,11,S,75,24,2,2,1014000.0,0.0
John Harris,31,S,86,30,11,1,2458000.0,438000.0
Vai Sikahema,7,RB,69,24,0,4,652000.0,357000.0
Mike Waters,13,RB,67,24,0,4,853000.0,43000.0
Cornell Gowdy,11,CB,72,22,0,2,273000.0,170000.0
Eddie Edwards,2,DE,81,32,9,1,1295000.0,184000.0
Garry Cobb,13,OLB,83,29,7,2,1757000.0,1739000.0
Lance Mehl,18,MLB,87,28,6,1,2143000.0,0.0
Alex Moyer,12,MLB,70,22,1,1,824000.0,0.0
Rick Dennison,4,MLB,76,28,4,1,947000.0,48000.0
Bob Golic,5,DT,90,29,6,4,11202000.0,6575000.0
Kiki DeAyala,2,OLB,74,24,0,4,586000.0,312000.0
Mike Douglass,8,OLB,77,31,8,1,1195000.0,77000.0
Charles Baker,7,OLB,83,28,6,5,2177000.0,0.0
Webster Slaughter,5,WR,78,21,0,5,5791000.0,9757000.0
Don Warren,26,TE,84,30,7,1,1829000.0,0.0
Jerry Butler,3,WR,83,28,6,1,10813000.0,4351000.0
Randy Grimes,6,C,82,26,3,1,4571000.0,1927000.0
Emanuel King,2,OLB,78,23,1,3,1022000.0,186000.0
Tim Stone,2,OT,68,25,0,3,1232000.0,39000.0
Reggie Langhorne,5,WR,79,23,1,3,853000.0,0.0
Joe Walter,2,OT,75,23,1,4,929000.0,2336000.0
Joe Kelly,2,MLB,76,21,0,3,3394000.0,1260000.0
Ed Brady,2,MLB,75,24,2,2,1745000.0,584000.0
Johnny Hector,18,RB,78,25,3,2,957000.0,0.0
Jeff Hayes,2,P,77,27,4,1,912000.0,0.0
Dwight Wheeler,23,C,73,31,6,1,1346000.0,121000.0
Mark Lee,20,CB,83,28,6,1,15468000.0,0.0
Boomer Esiason,2,QB,85,25,2,1,26357000.0,0.0
Chris Sheffield,29,CB,72,23,0,4,993000.0,0.0
Gerald Willhite,4,RB,86,27,4,2,2477000.0,766000.0
Eric Williams,29,S,79,26,3,1,4177000.0,0.0
Tony Baker,14,RB,72,22,0,4,911000.0,148000.0
Chris Smith,9,RB,73,23,0,3,576000.0,269000.0
Doug Gaynor,2,QB,64,24,0,4,575000.0,310000.0
Mike Webster,29,C,94,34,12,1,8915000.0,648000.0
Ken Anderson,2,QB,80,37,15,2,1254000.0,0.0
Jim Skow,2,DE,76,23,0,4,1251000.0,20000.0
Mike Hammerstein,2,DE,73,23,0,5,746000.0,647000.0
Roynell Young,13,CB,84,28,6,2,1473000.0,0.0
Jim Fahnhorst,15,MLB,79,27,2,3,1312000.0,0.0
Larry Williams,5,OG,80,23,0,3,1740000.0,0.0
Randy Scott,20,MLB,81,27,5,1,5755000.0,0.0
Barney Bussey,2,S,78,24,0,4,843000.0,39000.0
Curtis Dickey,5,RB,78,29,6,3,817000.0,3000.0
David Douglas,2,OG,74,23,0,4,724000.0,0.0
Max Montoya,2,OG,89,30,7,1,2557000.0,1692000.0
Ozzie Newsome,5,TE,87,30,8,6,1071000.0,292000.0
Bill Johnson,2,RB,82,25,1,2,1022000.0,39000.0
Paul Farren,5,OT,84,25,3,4,7344000.0,5639000.0
E.J. Jones,17,RB,73,24,1,3,732000.0,415000.0
Darrell Green,26,CB,90,26,3,4,2758000.0,710000.0
Kenny Daniel,10,S,70,26,1,1,282000.0,0.0
Ken McAlister,9,OLB,75,26,3,1,716000.0,71000.0
Anthony Dickerson,21,OLB,78,29,6,1,1172000.0,0.0
Tony Lilly,4,S,75,24,2,2,670000.0,273000.0
Dan Fike,5,OG,87,25,1,3,10554000.0,3463000.0
Ricky Hunley,4,MLB,79,24,2,2,1027000.0,0.0
Ray Bentley,3,MLB,79,25,1,3,4635000.0,4665000.0
Paul Hanna,5,DT,68,26,0,4,65000.0,812000.0
Levi Thompson,25,C,74,30,8,1,1173000.0,120000.0
Leon White,2,OLB,75,22,0,3,1227000.0,53000.0
Ron Simpkins,2,OLB,74,28,5,1,1510000.0,0.0
Brian Blados,2,OT,85,24,2,2,1734000.0,1001000.0
David Fulcher,2,S,81,21,0,4,3407000.0,174000.0
Terry Taylor,28,CB,83,25,2,3,10579000.0,7799000.0
Jimmy Turner,2,S,74,27,3,1,934000.0,0.0
Eric Kattus,2,TE,73,23,0,3,722000.0,140000.0
M.L. Harris,2,TE,64,32,6,2,568000.0,163000.0
Eddie Brown,2,WR,83,23,1,3,1572000.0,0.0
Mike Martin,2,WR,71,25,3,1,1599000.0,531000.0
Joe Cribbs,15,RB,78,28,6,1,922000.0,0.0
Steve Kreider,2,WR,73,28,7,1,1022000.0,258000.0
Cris Collinsworth,2,WR,87,27,5,4,20765000.0,3311000.0
Tim McGee,2,WR,78,22,0,4,2229000.0,122000.0
Kevin Mack,5,RB,89,24,1,4,2089000.0,121000.0
Wayne Radloff,14,C,80,25,1,3,1312000.0,0.0
Gerry Feehery,13,C,72,26,3,1,819000.0,0.0
Dave Puzzoli,5,DT,76,25,3,1,1954000.0,0.0
Chris Rockins,5,S,76,24,2,2,851000.0,817000.0
Jeff Smith,9,RB,72,24,1,3,1172000.0,0.0
Anthony Toney,13,RB,75,23,0,4,1380000.0,0.0
Carl Byrum,3,RB,71,23,0,4,1022000.0,0.0
Robert Brown,20,DE,80,26,4,1,2930000.0,1956000.0
Ron Davenport,12,RB,79,23,1,1,4262000.0,4012000.0
Bruce Kozerski,2,OG,86,24,2,2,8913000.0,3424000.0
Bruce Reimers,2,OG,78,25,2,1,1527000.0,1817000.0
Jeff Leiding,10,MLB,69,24,0,4,656000.0,292000.0
August Curley,19,OLB,74,26,3,1,730000.0,200000.0
Jim Jeffcoat,11,DE,87,25,3,1,11920000.0,0.0
Kenny Easley,28,S,91,27,5,2,2083000.0,0.0
James Brooks,2,RB,86,27,5,1,3868000.0,1479000.0
Rodney Holman,2,TE,87,26,4,1,7671000.0,1402000.0
Steve Courson,6,C,69,30,8,2,1022000.0,39000.0
Anthony Munoz,2,OT,97,28,6,3,29578000.0,0.0
Johnny Davis,5,RB,66,30,8,1,115000.0,0.0
Ross Browner,2,DE,80,32,8,2,3844000.0,1338000.0
Byron Hunt,16,OLB,76,27,5,1,810000.0,0.0
Louis Breeden,2,CB,86,32,8,2,1420000.0,578000.0
Kent Hull,3,C,83,25,1,3,5954000.0,1296000.0
Jackie Walker,6,MLB,72,23,0,4,623000.0,111000.0
John Offerdahl,12,MLB,86,22,0,3,4480000.0,2868000.0
Kevin Walker,6,CB,73,24,0,3,677000.0,246000.0
Tim Vogler,3,C,78,29,7,1,4340000.0,0.0
Rodney Bellinger,3,CB,72,25,2,1,218000.0,0.0
Kevin Williams,3,CB,70,24,1,3,435000.0,0.0
Rod Hill,3,CB,77,27,3,1,869000.0,0.0
Charles Romes,3,CB,83,31,9,1,2139000.0,0.0
Guy Bingham,18,C,75,28,6,3,2198000.0,0.0
Don Smith,3,DT,81,29,7,4,1572000.0,4064000.0
Jerry Boyarsky,3,DT,76,27,5,1,2363000.0,302000.0
Fred Smerlas,3,DT,86,29,7,1,3807000.0,0.0
Kevin Brooks,11,OLB,75,23,1,3,623000.0,446000.0
Ricky Moore,3,RB,70,23,0,4,1178000.0,236000.0
Tate Randle,10,S,75,27,4,4,456000.0,701000.0
Mark Kelso,3,S,79,23,0,3,5344000.0,4212000.0
Steve Freeman,3,S,82,33,11,1,1801000.0,0.0
Ronnie Harmon,3,RB,78,22,0,4,1270000.0,5317000.0
Greg Bell,3,RB,78,24,2,2,1022000.0,39000.0
Craig Swoope,6,S,78,22,0,4,1022000.0,0.0
Fred Quillan,15,C,87,30,8,1,6557000.0,0.0
Scott Norwood,3,K,86,26,1,3,1022000.0,186000.0
Dean Prater,3,DE,72,27,4,1,435000.0,0.0
Mark Traynowicz,3,OG,71,23,1,1,927000.0,0.0
James Gabrish,15,C,72,23,0,4,405000.0,298000.0
Everson Walls,11,CB,89,26,5,3,1312000.0,0.0
George Cumby,3,MLB,76,30,6,1,971000.0,0.0
Leo Barker,2,MLB,81,26,2,1,9212000.0,1704000.0
Tony Furjanic,3,OLB,73,22,0,3,1079000.0,0.0
Lucius Sanford,3,OLB,81,30,8,2,2053000.0,2911000.0
Ken Jones,3,OT,78,33,10,1,970000.0,0.0
Justin Cross,3,OT,72,27,4,1,811000.0,0.0
George Greene,20,S,78,24,1,2,1022000.0,39000.0
Don Griffin,15,S,79,22,0,5,853000.0,586000.0
Guy Frazier,3,MLB,74,27,5,1,1049000.0,209000.0
Eugene Marve,3,MLB,84,26,4,1,1077000.0,119000.0
John Kidd,3,P,89,25,2,3,2625000.0,157000.0
Manny Hendrix,11,CB,71,22,0,2,1172000.0,857000.0
Jim Kelly,3,QB,84,26,2,2,21772000.0,0.0
Johnny Holloway,11,CB,72,22,0,4,535000.0,396000.0
Clint Burrell,5,S,73,30,5,1,769000.0,0.0
Dwight Stephenson,12,C,95,28,6,3,3683000.0,1473000.0
Frank Reich,3,QB,74,24,1,3,5925000.0,793000.0
Mark Pike,3,DE,71,23,0,4,1022000.0,0.0
Anthony Griggs,5,MLB,75,26,4,1,1228000.0,0.0
E.J. Junior,7,MLB,84,26,5,3,8653000.0,997000.0
Mike Hamby,3,DE,71,23,0,4,556000.0,196000.0
Dale Hellestrae,3,OG,72,24,1,3,1239000.0,0.0
Hal Garner,3,OLB,75,24,1,2,876000.0,0.0
Darryl Talley,3,OLB,84,26,3,1,10471000.0,1239000.0
Joe Devlin,3,OT,81,32,9,3,2050000.0,0.0
Martin Bayless,3,S,79,23,2,1,1228000.0,0.0
Dwight Drane,3,S,75,24,1,3,788000.0,1128000.0
Eugene Lockhart,11,MLB,80,25,2,2,1268000.0,0.0
Eddie Johnson,5,MLB,82,27,5,2,4029000.0,358000.0
Butch Rolle,3,TE,67,22,0,4,1037000.0,0.0
Gary Wilkins,3,TE,72,22,0,4,586000.0,312000.0
Eric Richardson,3,WR,68,24,1,2,167000.0,123000.0
Doug Smith,24,C,92,29,8,2,22065000.0,14679000.0
Ron Fellows,11,CB,84,28,5,1,4614000.0,3672000.0
Walter Broughton,3,WR,64,23,0,4,759000.0,26000.0
Jimmy Teal,3,WR,67,25,1,1,781000.0,0.0
Felix Wright,5,S,82,27,1,3,6097000.0,1683000.0
Andre Reed,3,WR,83,22,1,3,3225000.0,435000.0
Randy White,11,DT,87,33,11,2,4643000.0,8829000.0
Chris Burkett,3,WR,75,24,1,2,3958000.0,2453000.0
Major Everett,5,RB,75,26,3,1,1839000.0,922000.0
Jim Richter,3,OG,86,28,6,2,5155000.0,689000.0
Tom Turnure,19,C,74,29,6,2,1039000.0,0.0
Herman Fontenot,5,RB,72,23,1,1,858000.0,150000.0
Robb Riddick,3,RB,79,29,3,2,4507000.0,0.0
Pete Metzelaars,3,TE,83,27,4,2,1674000.0,1551000.0
Will Wolford,3,OT,83,22,0,3,8961000.0,4482000.0
Elbert Foules,13,CB,77,25,3,1,896000.0,0.0
Leonard Burton,3,OG,71,22,0,4,274000.0,446000.0
Bruce Smith,3,DE,89,23,1,2,3967000.0,3536000.0
Derrick Burroughs,3,CB,83,25,1,3,1738000.0,646000.0
Bobby Watkins,19,CB,77,26,4,1,1509000.0,78000.0
Billy Bryan,4,C,83,31,9,1,9086000.0,1702000.0
Mike Renfro,11,WR,81,31,8,3,4064000.0,1360000.0
Mitch Geier,4,C,67,24,0,4,750000.0,32000.0
Daniel Hunter,4,CB,74,24,1,3,1113000.0,0.0
Mark Haynes,4,CB,85,28,6,5,1745000.0,1137000.0
Mike Harden,4,CB,82,28,6,3,2868000.0,0.0
Sam Clancy,5,DE,80,28,2,2,845000.0,360000.0
Greg Kragen,4,DT,80,24,1,2,1231000.0,118000.0
Rubin Carter,4,DT,76,33,11,2,2053000.0,1107000.0
Tony Colorito,4,DT,72,22,0,5,398000.0,700000.0
Gene Lang,4,RB,79,24,2,3,911000.0,242000.0
Glen Titensor,11,OG,83,28,5,3,5460000.0,2121000.0
Ray Noble,4,S,67,23,0,3,103000.0,649000.0
Steve Foley,4,S,85,33,10,1,8432000.0,0.0
Steve Sewell,4,RB,74,23,0,4,713000.0,53000.0
Ken Bell,4,RB,66,21,0,4,1022000.0,0.0
Rich Karlis,4,K,93,27,4,2,6571000.0,1104000.0
Freddie Gilbert,4,DE,75,24,0,4,1139000.0,226000.0
Mike Freeman,4,OG,74,25,1,3,1803000.0,0.0
Tony Dorsett,11,RB,87,32,9,3,8785000.0,2108000.0
Darren Comeaux,4,OLB,75,26,4,1,993000.0,0.0
Jim Ryan,4,OLB,82,29,6,1,7487000.0,1210000.0
Dan Remsberg,4,OT,72,24,0,3,662000.0,139000.0
Winford Hood,4,OT,74,24,2,2,923000.0,0.0
Karl Mecklenburg,4,MLB,88,26,3,1,12115000.0,3181000.0
Ty Bryant,4,MLB,69,31,9,2,781000.0,218000.0
Mike Horan,4,P,84,27,2,2,1948000.0,974000.0
John Elway,4,QB,87,25,3,3,34367000.0,0.0
Gary Kubiak,4,QB,74,24,3,1,458000.0,0.0
Barney Chavous,4,DE,66,35,13,1,273000.0,0.0
Simon Fletcher,4,DE,80,24,1,2,2037000.0,594000.0
Mark Cooper,4,OG,74,26,3,1,818000.0,0.0
Ken Woodard,4,OLB,78,26,4,1,1631000.0,122000.0
Dave Dalby,25,C,79,35,14,1,4794000.0,471000.0
Tom Jackson,4,OLB,82,35,13,3,1667000.0,0.0
Ken Lanier,4,OT,84,27,5,1,2424000.0,124000.0
Dennis Smith,4,S,90,27,5,4,3232000.0,3505000.0
Randy Robbins,4,S,75,24,2,2,730000.0,0.0
Bobby Micho,4,TE,70,24,1,3,848000.0,0.0
Joey Hackett,4,TE,66,28,0,4,732000.0,1562000.0
Mark Jackson,4,WR,79,23,0,6,873000.0,712000.0
Joe Thomas,4,WR,66,24,0,1,924000.0,0.0
Clint Sampson,4,WR,74,25,3,1,781000.0,0.0
Vance Johnson,4,WR,81,23,1,4,6166000.0,1305000.0
Steve Watson,4,WR,85,29,7,2,2829000.0,0.0
Ralph Malone,5,DE,70,22,0,4,105000.0,797000.0
Keith Bishop,4,OG,90,29,5,3,4539000.0,3444000.0
Sammy Winder,4,RB,82,26,4,4,6267000.0,2370000.0
Clarence Kay,4,TE,81,25,2,2,4089000.0,467000.0
Dave Studdard,4,OT,83,31,7,1,4165000.0,765000.0
Paul Howard,4,OG,84,36,12,1,2658000.0,0.0
Rulon Jones,4,DE,91,28,6,1,6341000.0,0.0
Louis Wright,4,CB,84,33,11,1,7700000.0,1349000.0
Mike Haynes,23,CB,90,33,10,2,31079000.0,0.0
Robert Jackson,5,OG,69,35,11,1,1100000.0,0.0
Scott Nicolas,5,OLB,73,26,4,1,1262000.0,0.0
Clay Matthews,5,OLB,86,30,8,3,8884000.0,2514000.0
Lester Hayes,23,CB,88,31,9,1,17155000.0,6353000.0
Cody Risien,5,OT,89,29,7,6,3643000.0,4381000.0
Ray Ellis,5,S,82,27,5,4,7292000.0,842000.0
Al Gross,5,S,77,25,3,1,1551000.0,695000.0
Travis Tucker,5,TE,72,23,1,3,755000.0,0.0
Harry Holt,5,TE,76,28,3,1,1146000.0,0.0
Clarence Weathers,5,WR,75,24,3,1,1521000.0,0.0
Terry Greer,5,WR,68,28,0,3,521000.0,484000.0
Gerald McNeil,5,WR,66,24,0,4,146000.0,0.0
Brian Brennan,5,WR,81,24,2,2,1059000.0,0.0
Matt Bahr,5,K,90,30,7,3,2038000.0,0.0
Reggie Camp,5,DE,82,25,3,1,4907000.0,2712000.0
Jeff Wiska,5,OG,70,27,0,4,655000.0,357000.0
Brad Van Pelt,5,OLB,77,35,13,2,764000.0,176000.0
Sean Farrell,6,OG,82,26,4,4,3756000.0,1312000.0
Chip Banks,5,OLB,87,27,4,2,4707000.0,2329000.0
Bill Contz,5,OT,75,24,3,1,1022000.0,258000.0
Rickey Bolden,5,OT,75,26,2,2,650000.0,212000.0
Curtis Weathers,5,MLB,70,30,7,3,629000.0,300000.0
Mike Johnson,5,MLB,80,24,0,3,6133000.0,7830000.0
Jeff Gossett,5,P,88,29,5,2,2161000.0,608000.0
Bernie Kosar,5,QB,82,22,1,4,12521000.0,6039000.0
Doug Cosbie,11,TE,86,30,7,1,11180000.0,4740000.0
Gary Danielson,5,QB,74,35,9,1,899000.0,0.0
Mike Pagel,5,QB,75,26,4,3,2932000.0,123000.0
Mark Tuinei,11,OT,83,26,3,1,2145000.0,1731000.0
Vito McKeever,6,CB,78,21,0,4,799000.0,1396000.0
Bobby Futrell,6,CB,74,24,0,4,790000.0,0.0
Ivory Sully,6,CB,78,29,7,1,911000.0,203000.0
Don Anderson,25,CB,73,23,1,3,635000.0,1063000.0
Rod Jones,6,CB,74,22,0,4,1599000.0,421000.0
David Logan,6,DT,79,30,7,1,6542000.0,610000.0
Kevin House,6,WR,78,28,6,1,2191000.0,243000.0
Phil Freeman,6,WR,70,24,1,2,1140000.0,0.0
Rick Mallory,6,OG,71,26,1,2,872000.0,0.0
Crawford Ker,11,OG,80,24,1,4,2616000.0,0.0
Don Smerek,11,DT,75,29,5,1,2621000.0,240000.0
James Wilder,6,RB,84,28,5,1,6581000.0,3720000.0
Jimmy Giles,6,TE,83,32,9,2,2477000.0,766000.0
Rob Taylor,6,OT,79,26,0,5,1250000.0,670000.0
Karl Morgan,6,DT,72,25,2,2,519000.0,1093000.0
Kevin Kellin,6,DT,75,27,0,5,964000.0,488000.0
Ron Springs,6,RB,83,30,7,1,1155000.0,0.0
Ricky Easmon,6,S,70,23,1,3,1131000.0,0.0
Craig Curry,6,S,78,25,2,2,3007000.0,2229000.0
Larry Lee,12,C,74,27,5,1,1022000.0,258000.0
Greg Allen,6,RB,66,23,1,3,488000.0,386000.0
Bobby Howard,6,RB,69,22,0,3,633000.0,805000.0
Steve DeBerg,6,QB,81,32,8,1,1966000.0,2257000.0
John Cannon,6,DE,78,26,4,2,940000.0,0.0
Tyrone Keys,6,DE,73,27,3,1,335000.0,0.0
Greg Robinson,6,OG,66,23,0,2,52000.0,257000.0
