Team,Position,Name,OverallRating,JerseyNum,Archetype,_Description,SpeedRating,AccelerationRating,StrengthRating,AgilityRating,AwarenessRating,CatchingRating,CarryingRating,ThrowPowerRating,KickPowerRating,KickAccuracyRating,RunBlockRating,PassBlockRating,TackleRating,BreakTackleRating,JumpingRating,KickReturnRating,InjuryRating,StaminaRating,ToughnessRating,TruckingRating,ChangeOfDirectionRating,BCVisionRating,StiffArmRating,SpinMoveRating,JukeMoveRating,ImpactBlockingRating,RunBlockPowerRating,RunBlockFinesseRating,PassBlockPowerRating,PassBlockFinesseRating,LeadBlockRating,BreakSackRating,ThrowUnderPressureRating,PowerMovesRating,FinesseMovesRating,BlockSheddingRating,PursuitRating,PlayRecognitionRating,ManCoverageRating,ZoneCoverageRating,RunningStyleRating,SpectacularCatchRating,CatchInTrafficRating,ShortRouteRunningRating,MediumRouteRunningRating,DeepRouteRunningRating,HitPowerRating,PressRating,ReleaseRating,ThrowAccuracyShortRating,ThrowAccuracyMidRating,ThrowAccuracyDeepRating,PlayActionRating,ThrowOnTheRunRating,Height,Weight,Age,PLYR_BIRTHDATE,YearsPro,College,_TotalSalary,_SigningBonus,PLYR_HANDEDNESS,PLYR_PORTRAIT,PLYR_ASSETNAME
49ers,K,Eddy Pineiro,77,18,KP_Power,,75,77,42,59,64,18,20,26,93,87,16,17,26,5,47,10,85,80,83,10,51,10,10,10,10,16,16,16,17,17,16,15,16,10,10,24,29,17,11,17,Default Stride Awkward,15,15,15,15,15,13,10,15,32,15,12,15,15,71,190,30,34955,8,Florida ,9040000,5670000,Right,9024,PineiroEddy_13428
49ers,LEDG,Nick Bosa,94,97,DE_PowerRusher,,80,90,94,87,93,45,38,25,17,17,45,45,89,21,81,10,82,87,90,31,72,30,34,32,38,87,45,45,44,45,18,12,14,94,96,91,95,91,30,42,Long Stride Loose,23,27,17,10,6,84,31,16,6,6,6,6,6,76,266,28,35726,7,Ohio State ,84320000,86750000,Right,9390,BosaNick_20565
49ers,LEDG,Romello Height,75,94,DE_SmallerSpeedRusher,,84,89,81,79,74,39,45,17,24,20,45,45,83,40,90,16,80,80,82,35,71,45,42,44,42,80,45,45,45,45,23,17,15,72,75,78,79,72,39,45,Long Stride Loose,15,15,17,15,10,82,47,15,14,27,11,13,24,75,239,25,36994,0,Texas Tech ,5500000,17640000,Right,11207,HeightRomello_1861
49ers,LEDG,Sam Okuayinonu,68,91,DE_PowerRusher,,79,84,83,67,63,35,27,21,36,31,40,35,77,24,85,10,88,69,82,35,63,15,21,15,19,79,35,35,30,30,23,12,8,75,66,71,77,62,29,35,Short Stride Awkward,32,20,10,5,3,77,20,12,7,6,5,6,7,73,269,28,35916,4,Maryland ,1600000,670000,Right,4797,OkuayinonuSam_22661
49ers,LG,Connor Colby,67,75,G_Power,,69,73,83,66,72,32,28,17,16,19,74,68,28,10,71,10,89,87,87,26,61,11,12,10,26,79,74,74,69,67,77,11,10,10,10,20,25,30,10,10,Long Stride Awkward,13,11,15,6,6,34,10,15,6,6,6,6,6,78,309,23,37637,1,Iowa ,4190000,80000,Right,10520,ColbyConnor_15158
49ers,LG,Carver Willis,67,74,G_Agile,,69,66,83,63,58,28,25,25,10,12,77,72,27,14,67,10,84,86,89,29,57,17,12,10,10,81,71,77,72,73,79,32,24,10,10,22,21,21,11,12,Long Stride Awkward,26,28,24,20,14,40,10,24,35,32,28,26,25,77,303,24,37366,0,Washington ,4370000,1040000,Right,11210,WillisCarver_16316
49ers,LG,Nick Zakelj,63,63,G_Agile,,67,82,85,59,70,37,35,17,17,14,63,67,35,27,71,10,92,85,84,32,56,33,38,22,25,78,61,66,64,70,79,12,14,37,32,40,41,33,10,10,Long Stride Awkward,32,25,30,26,22,39,10,31,6,6,6,6,6,78,316,27,36333,4,Fordham ,1080000,0,Right,2064,ZakeljNick_22111
49ers,LS,Jon Weeks,69,46,LS_Power,,69,71,69,68,68,64,65,40,29,18,47,55,67,20,54,10,94,70,84,33,60,33,22,21,21,55,40,35,50,40,40,15,14,59,55,66,65,55,26,34,Default,44,47,41,36,31,67,21,21,12,12,12,12,12,70,242,40,31460,16,Baylor ,1300000,180000,Right,6149,WeeksJon_10577
49ers,LT,Trent Williams,96,71,OT_Power,,78,75,95,71,97,20,40,12,11,10,96,92,39,7,83,10,88,91,98,10,58,10,10,10,10,99,95,96,95,90,99,12,14,10,10,32,33,19,10,14,Default Stride Awkward,51,15,15,5,5,60,10,15,6,6,6,6,6,77,320,38,32343,16,Oklahoma ,4190000,65800000,Right,3231,WilliamsTrent_9800
49ers,LT,Vederian Lowe,66,76,OT_Power,,64,74,82,56,78,50,24,19,12,11,71,75,29,13,65,10,93,81,82,28,53,27,31,22,20,84,71,75,70,68,73,10,6,24,21,33,31,25,8,9,Default Stride Awkward,16,20,32,15,5,37,10,13,6,6,6,6,6,78,320,27,36267,4,Illinois ,3000000,4590000,Right,1814,LoweVederian_22427
49ers,LT,Austen Pleasants,65,62,OT_Power,,62,65,84,49,68,24,23,11,11,12,71,71,23,15,66,10,86,81,81,21,50,15,15,10,10,81,71,69,73,70,77,13,10,12,10,24,21,14,11,10,Long Stride Awkward,17,19,15,5,5,25,10,12,6,6,6,6,6,79,330,29,35664,4,Ohio ,1070000,0,Right,11081,PleasantsAusten_4712
49ers,MIKE,Fred Warner,97,54,MLB_FieldGeneral,,87,91,80,82,99,78,63,14,13,10,45,45,91,21,94,10,95,97,93,46,81,56,34,53,59,81,45,45,45,45,23,12,10,52,62,79,99,99,77,86,Short Stride Bread Loaf,60,60,15,5,5,85,58,20,6,6,6,6,6,75,230,29,35388,8,BYU ,58350000,65460000,Left,9101,WarnerFred_13203
49ers,MIKE,Tatum Bethune,70,48,MLB_FieldGeneral,,81,87,67,83,73,67,55,20,16,14,42,30,81,40,75,45,92,82,85,50,76,58,50,58,64,68,35,35,25,25,34,24,13,54,64,67,82,73,63,69,Default Stride Loose,60,55,15,10,10,80,63,23,31,23,21,11,22,72,227,25,36941,2,Florida State ,4010000,80000,Right,10013,BethuneTatum_14922
49ers,MIKE,Jaden Dugger,67,53,MLB_FieldGeneral,,86,89,71,83,67,61,56,11,17,18,48,62,79,33,83,12,86,87,87,43,72,51,45,48,46,73,67,54,43,45,27,16,10,55,61,66,82,66,65,60,Long Stride Loose,64,58,45,43,41,78,47,33,6,6,6,6,6,77,242,22,38043,0,UL Lafayette ,4370000,480000,Right,11205,DuggerJaden_16324
49ers,MIKE,Garret Wallow,62,49,MLB_FieldGeneral,,83,84,69,79,68,47,53,24,30,26,44,42,78,29,79,25,91,82,84,33,64,45,34,35,41,69,45,45,43,42,15,12,10,52,56,63,76,67,60,58,Default Stride Awkward,39,36,20,10,6,75,48,25,6,6,6,6,6,74,230,27,36185,5,TCU ,1210000,20000,Right,1238,WallowGarret_21683
49ers,P,Corliss Waitman,76,7,KP_Power,,70,68,46,64,61,50,53,45,94,80,21,16,35,27,68,10,88,83,77,38,47,28,19,24,28,24,17,17,16,16,21,33,25,10,10,15,30,15,12,15,Default Stride Awkward,37,22,15,15,15,44,10,15,41,36,31,25,29,74,210,31,34901,6,South Alabama ,1210000,70000,Left,2658,WaitmanCorliss_22019
49ers,QB,Brock Purdy,85,13,QB_FieldGeneral,,79,89,63,81,86,24,64,87,22,21,19,13,25,66,70,10,89,90,85,51,77,81,30,62,66,24,12,16,10,14,18,77,91,10,10,18,28,14,10,12,Default,15,12,12,11,10,13,10,13,91,95,85,88,88,73,220,26,36521,4,Iowa State ,168340000,87860000,Right,1899,PurdyBrock_22383
49ers,QB,Mac Jones,75,10,QB_FieldGeneral,,84,81,60,80,78,28,65,86,41,29,32,14,18,36,75,10,90,82,91,50,74,73,34,43,52,19,20,23,14,14,32,54,82,10,10,20,20,16,10,14,Default,15,15,15,14,12,13,10,15,88,87,78,83,79,75,220,27,36043,5,Alabama ,2570000,2510000,Right,1371,JonesMac_21763
49ers,QB,Kurtis Rourke,63,14,QB_FieldGeneral,,76,78,67,75,67,49,59,90,25,30,23,24,35,57,70,23,82,87,81,45,72,69,35,51,52,30,33,33,35,34,28,61,71,28,30,30,24,48,20,21,Long Stride Default,18,17,18,18,17,30,17,27,80,75,71,75,74,76,220,25,36824,1,Indiana ,3720000,120000,Right,10713,RourkeKurtis_14802
49ers,REDG,Mykel Williams,77,98,DE_RunStopper,,81,89,86,82,76,41,43,8,23,21,50,52,81,31,79,30,86,82,84,35,71,34,38,35,39,88,52,49,53,51,52,18,21,77,71,80,83,76,18,26,Long Stride Loose,15,15,20,15,10,83,27,22,11,18,7,25,21,77,267,22,38167,1,Georgia ,4190000,19980000,Right,10782,WilliamsMykel_15199
49ers,REDG,Keion White,73,56,DE_PowerRusher,,82,81,85,75,66,61,65,20,15,15,50,47,84,51,82,34,85,82,81,54,66,56,52,44,51,86,50,50,47,47,49,21,9,76,68,74,84,64,32,41,Long Stride Loose,66,58,53,49,41,85,41,51,7,6,5,8,15,77,285,27,36180,3,Georgia Tech ,5110000,1980000,Right,2474,WhiteKeion_22937
49ers,REDG,Cam Sample,71,96,DE_RunStopper,,77,80,78,69,70,35,36,27,30,30,45,45,84,15,86,6,88,80,82,25,64,25,28,27,35,83,45,45,45,45,18,12,10,75,67,76,82,73,38,47,Default Stride Loose,24,24,14,6,3,80,36,13,6,6,6,6,6,75,272,26,36423,5,Tulane ,1030000,230000,Right,929,SampleCam_21687
49ers,REDG,Quinton Bell,66,58,DE_SmallerSpeedRusher,,88,89,75,75,58,66,57,24,18,14,45,45,75,29,89,10,87,75,85,46,65,48,23,58,65,77,45,45,45,45,17,12,10,59,67,66,78,56,52,60,Long Stride Loose,54,51,50,44,37,80,38,50,6,6,6,6,6,76,253,30,35194,8,P. View AM ,1080000,0,Right,105,BellQuinton_20743
49ers,RG,Dominick Puni,82,77,G_Power,,61,64,91,68,80,44,43,24,19,21,86,77,46,31,74,5,91,89,88,33,63,32,34,23,24,84,87,86,81,74,91,19,11,33,31,42,39,38,9,9,Default Stride Awkward,21,22,22,21,15,53,7,19,22,21,13,13,12,77,313,26,36580,2,Kansas ,4570000,1120000,Right,10217,PuniDominick_14713
49ers,RG,Robert Jones,70,65,G_Power,,64,67,88,48,80,24,37,15,22,20,73,71,32,32,76,10,89,77,83,34,52,40,32,15,20,84,72,74,72,70,80,12,13,15,10,35,27,10,10,11,Long Stride Awkward,12,10,10,5,5,42,10,12,6,6,6,6,6,76,325,27,36188,5,Mid Tenn St. ,1300000,360000,Right,933,JonesRobert_21644
49ers,RT,Colton McKivitz,81,68,OT_Agile,,71,67,84,54,85,35,32,30,25,25,89,81,34,6,66,10,91,88,88,25,47,10,35,10,10,82,86,91,79,83,84,12,10,26,18,33,31,31,12,15,Long Stride Awkward,15,15,15,5,5,30,10,15,6,6,6,6,6,78,301,30,35286,6,West Virginia ,11350000,22860000,Right,453,McKivitzColton_21115
49ers,RT,Enrique Cruz Jr.,68,69,OT_Power,,74,76,85,62,69,20,26,11,10,12,73,72,35,18,72,10,85,85,87,25,55,14,11,10,10,79,71,76,77,72,77,12,12,40,41,33,35,19,15,14,Long Stride Awkward,14,17,14,5,5,41,10,15,6,6,6,6,6,78,313,23,37837,0,Kansas ,4370000,360000,Left,11204,CruzJrEnrique_16406
49ers,RT,Brandon Parker,67,60,OT_Agile,,60,62,84,54,78,22,21,22,17,12,75,67,31,10,71,10,88,86,93,30,40,15,14,10,12,82,72,78,66,70,84,12,15,18,13,30,30,16,13,15,Long Stride Awkward,15,15,12,5,5,30,10,12,6,6,6,6,6,80,320,30,34993,8,N.C. AT ,1210000,0,Right,9014,ParkerBrandon_13425
49ers,SAM,Jalen Graham,65,41,OLB_RunStopper,,84,90,65,75,67,66,50,54,20,15,25,25,77,45,77,39,89,84,86,45,73,60,54,55,63,66,25,25,25,25,25,52,34,39,46,61,82,68,49,65,Default Stride Bread Loaf,63,58,30,24,19,79,55,32,48,45,41,30,46,75,220,25,36902,3,Purdue ,1140000,0,Right,2174,GrahamJalen_23057
49ers,SS,Ji'Ayir Brown,74,27,S_RunSupport,,86,91,64,85,72,80,63,30,20,15,35,35,70,62,85,59,93,88,87,55,84,75,52,66,72,63,35,35,35,35,17,15,16,51,61,62,76,73,72,75,Default Stride Loose,70,71,30,20,15,87,71,20,15,10,10,15,15,71,202,26,36550,3,Penn State ,6500000,1070000,Right,1874,BrownJiAyir_23058
49ers,SS,Marques Sigle,73,36,S_Zone,,92,92,64,84,70,68,60,24,19,15,35,35,75,52,90,43,90,87,88,44,81,64,42,56,62,54,35,35,35,35,25,14,12,36,37,50,76,67,68,72,Default Stride Loose,60,57,34,29,25,77,67,32,6,6,6,6,6,71,199,24,37455,1,Kansas State ,4190000,400000,Right,10726,SigleMarques_15350
49ers,SS,Siran Neal,66,33,S_Hybrid,,90,85,60,80,64,67,63,21,18,15,35,35,68,35,92,25,94,86,92,49,79,67,38,60,65,63,35,35,35,35,15,15,14,41,48,60,72,65,64,70,Default,64,56,40,35,28,80,76,30,6,6,6,6,6,72,206,32,34550,8,Jacksonville State ,2600000,780000,Right,9000,NealSiran_13323
49ers,TE,George Kittle,96,85,TE_Possession,,87,86,82,83,96,94,75,30,19,22,77,62,34,78,90,31,85,94,98,84,76,92,83,64,82,78,76,71,62,58,65,18,14,20,18,31,36,35,15,24,Default Stride Loose,89,89,82,78,74,38,20,81,20,15,10,10,10,76,250,32,34251,9,Iowa ,27500000,66700000,Right,8622,KittleGeorge_12836
49ers,TE,Jake Tonges,72,88,TE_VerticalThreat,,86,88,73,81,77,83,75,36,20,22,59,58,35,50,86,40,92,77,75,65,72,71,55,64,68,56,54,58,57,55,61,40,32,15,17,29,38,26,15,20,Default,79,77,69,65,61,38,15,67,37,33,29,34,35,76,240,27,36349,4,California ,2400000,2260000,Right,10469,TongesJake_22619
49ers,TE,Luke Farrell,64,89,TE_Possession,,77,79,77,78,63,78,75,25,24,19,64,61,45,53,84,15,90,82,88,65,72,62,65,47,55,67,64,60,60,62,55,15,10,17,12,44,43,18,12,17,Long Stride High and Tight,72,75,62,56,49,44,19,65,15,10,6,6,10,77,250,28,35717,5,Ohio State ,4210000,5860000,Right,939,FarrellLuke_21808
49ers,TE,Brayden Willis,63,9,TE_Possession,,84,85,76,79,47,77,70,58,47,30,67,61,46,69,83,19,90,83,83,68,74,75,64,57,62,71,66,64,61,58,60,62,43,37,27,40,40,30,12,20,Long Stride Default,76,77,58,53,48,40,15,58,60,56,50,52,58,76,240,26,36475,3,Oklahoma ,1140000,0,Right,2479,WillisBrayden_22848
49ers,WILL,Dre Greenlaw,87,57,OLB_PassCoverage,,85,86,72,80,93,71,55,20,18,12,45,45,92,37,80,10,86,89,84,46,73,53,30,47,51,77,45,45,45,45,27,12,15,55,61,71,94,92,73,77,Default Stride Awkward,55,35,33,25,20,90,47,28,6,6,6,6,6,72,230,29,35575,7,Arkansas ,2600000,950000,Left,9480,GreenlawDre_20475
49ers,WILL,Nick Martin,71,45,OLB_RunStopper,,88,93,74,79,73,60,68,22,23,21,45,45,78,43,90,10,87,87,88,47,82,57,51,55,61,73,45,45,45,45,29,22,12,55,61,70,82,71,58,63,Default Stride Loose,54,52,29,26,23,76,48,27,6,6,6,6,6,72,221,23,37542,1,Oklahoma St. ,4920000,1550000,Right,10647,MartinNick_15274
49ers,WILL,Luke Gifford,66,51,OLB_RunStopper,,85,84,75,81,63,65,63,44,17,18,45,45,79,48,84,14,84,85,83,34,73,54,45,57,67,78,45,45,45,45,24,22,26,57,64,67,78,63,55,60,Long Stride Loose,35,33,19,12,7,80,43,19,39,33,26,25,31,75,243,31,34939,7,Nebraska ,3560000,1040000,Right,298,GiffordLuke_20836
49ers,WR,Mike Evans,91,5,WR_Physical,,89,88,78,80,90,93,80,35,25,24,60,45,39,82,97,55,87,93,94,72,81,89,84,75,83,63,38,35,25,23,49,22,20,10,10,35,25,15,40,27,Default Stride Loose,96,97,89,86,85,15,20,90,25,20,15,10,15,77,231,33,34202,12,Texas AM ,4500000,16760000,Right,6407,EvansMike_10857
49ers,WR,Ricky Pearsall,80,1,WR_Slot,49ers IR,92,91,61,92,79,90,74,52,23,22,45,31,24,72,94,79,81,86,90,42,91,81,51,70,76,42,17,24,21,19,25,30,36,11,11,24,30,17,16,20,Default,87,89,79,78,76,15,16,73,47,47,39,31,40,73,191,25,36778,2,Florida ,6580000,5930000,Right,10206,PearsallRicky_14657
49ers,WR,Christian Kirk,78,3,WR_Playmaker,,90,92,65,87,79,89,73,47,18,14,44,34,30,72,85,84,87,89,91,46,85,85,74,79,88,43,32,28,30,26,22,23,24,10,10,23,33,20,15,19,Short Stride Loose,86,83,80,78,77,24,17,77,39,30,34,16,34,71,200,29,35387,8,Texas AM ,1610000,1350000,Right,8963,KirkChristian_13186
49ers,WR,Brandon Aiyuk,77,11,WR_Playmaker,49ers IR,90,91,65,89,69,90,72,33,19,13,45,36,49,80,93,79,87,81,87,62,88,89,69,82,85,45,25,29,19,14,29,28,23,29,34,50,58,38,48,53,Default Stride Loose,87,86,76,75,76,50,43,82,25,20,15,10,24,72,200,28,35871,6,Arizona St. ,59660000,54140000,Right,71,AiyukBrandon_21069
49ers,WR,Deebo Samuel Sr,77,19,WR_Playmaker,,89,88,80,87,76,82,71,44,15,12,50,38,46,85,89,85,88,90,90,83,87,94,88,84,91,46,23,18,21,16,25,30,25,11,11,43,48,34,21,29,Default,86,87,75,74,71,39,16,78,32,27,21,23,34,72,215,30,35079,7,South Carolina ,3500000,0,Right,9618,SamuelDeebo_20348
