name,pos,age,height,weight,jersey,source_save,years_pro_read,Speed,Agility,PassArmStrength,Stamina,KickPower,Durability,Strength,Jumping,Coverage,RunRoute,Tackle
Cris Collinsworth,WR,,77,192,128,1981-1982SAVEGAME.DAT,1,84,80,15,84,14,85,54,76,6,93,15
Jeff Schuh,OLB,,75,230,216,1981-1982SAVEGAME.DAT,1,69,76,10,79,13,47,67,88,51,23,61
Everson Walls,CB,,73,193,192,1981-1982SAVEGAME.DAT,1,92,93,9,77,20,78,45,90,94,10,61
Don Smerek,DE,,78,260,224,1981-1982SAVEGAME.DAT,1,71,72,11,54,26,69,42,75,29,17,74
Ron Fellows,FS,,73,178,216,1981-1982SAVEGAME.DAT,1,85,81,11,75,26,73,34,77,52,7,50
Glen Titensor,G,,74,270,248,1981-1982SAVEGAME.DAT,1,41,42,11,80,19,78,61,52,15,34,37
Angelo King,ILB,,73,224,200,1981-1982SAVEGAME.DAT,1,74,74,11,72,19,74,57,74,62,15,78
Danny Spradlin,OLB,,73,235,184,1981-1982SAVEGAME.DAT,1,71,71,11,72,19,79,55,72,59,15,71
Joe Nobody,C,,75,255,240,1981-1982SAVEGAME.DAT,1,68,40,12,72,25,95,61,58,14,30,27
Michael Downs,FS,,74,205,208,1981-1982SAVEGAME.DAT,1,86,86,12,72,19,73,34,82,82,8,65
Steve Wright,T,,78,271,72,1981-1982SAVEGAME.DAT,1,44,54,10,68,17,87,59,52,15,35,37
Howard Richards,G,,77,268,49,1981-1982SAVEGAME.DAT,1,41,40,12,68,25,75,56,58,14,21,27
Doug Donley,WR,,72,178,152,1981-1982SAVEGAME.DAT,1,76,73,18,48,14,70,33,67,33,59,32
Steve Trimble,CB,,70,181,40,1981-1982SAVEGAME.DAT,1,83,84,12,60,17,64,45,75,63,8,45
Rick Parros,FB,,71,200,192,1981-1982SAVEGAME.DAT,1,81,81,8,64,19,66,50,75,46,60,28
Dennis Smith,FS,,75,200,136,1981-1982SAVEGAME.DAT,1,82,81,9,70,13,43,43,75,63,39,65
Steve Busick,OLB,,76,227,208,1981-1982SAVEGAME.DAT,1,81,79,10,83,26,70,50,78,50,30,70
Joe Nobody,C,,72,255,240,1981-1982SAVEGAME.DAT,1,80,40,12,72,25,95,61,58,14,30,27
Joe Nobody,C,,75,255,240,1981-1982SAVEGAME.DAT,1,44,40,12,72,25,95,61,58,14,30,27
Ken Lanier,T,,75,276,96,1981-1982SAVEGAME.DAT,1,49,70,11,76,12,96,73,58,6,26,23
Joe Nobody,C,,75,255,240,1981-1982SAVEGAME.DAT,1,84,40,12,72,25,95,61,58,14,30,27
Alvin Hall,CB,,70,193,24,1981-1982SAVEGAME.DAT,1,87,85,12,75,17,74,34,74,72,10,78
Hector Gray,CB,,73,192,208,1981-1982SAVEGAME.DAT,1,87,87,12,66,17,75,28,85,67,8,45
Larry Lee,G,,74,265,0,1981-1982SAVEGAME.DAT,1,55,48,11,64,19,78,68,41,13,30,30
Vince Thompson,RB,,72,231,48,1981-1982SAVEGAME.DAT,1,84,82,25,69,23,85,50,76,29,63,44
Mark Nichols,WR,,74,210,176,1981-1982SAVEGAME.DAT,1,92,88,20,48,14,82,40,86,11,80,10
Robbie Martin,WR,,68,181,128,1981-1982SAVEGAME.DAT,1,86,80,17,45,6,81,44,77,6,73,9
Tracy Porter,WR,,74,197,200,1981-1982SAVEGAME.DAT,1,84,81,18,48,14,75,44,82,33,71,32
Curtis Green,DT,,75,256,240,1981-1982SAVEGAME.DAT,1,70,70,10,71,19,78,65,62,42,14,76
Byron Braggs,DT,,76,290,72,1981-1982SAVEGAME.DAT,1,62,59,10,74,19,81,72,64,36,14,74
Richard Turner,DE,,74,260,89,1981-1982SAVEGAME.DAT,1,45,48,11,53,26,70,58,42,37,17,66
David Petway,CB,,73,207,120,1981-1982SAVEGAME.DAT,1,81,77,12,69,17,74,44,75,62,8,50
Tim Huffman,G,,77,277,80,1981-1982SAVEGAME.DAT,1,45,40,12,71,19,75,67,48,6,22,21
Cliff Lewis,OLB,,72,226,193,1981-1982SAVEGAME.DAT,1,71,71,10,75,11,64,58,69,43,23,60
Randy Scott,ILB,,73,223,184,1981-1982SAVEGAME.DAT,1,75,74,10,81,11,73,58,65,63,23,78
Guy Prather,OLB,,73,230,152,1981-1982SAVEGAME.DAT,1,76,73,10,61,11,70,53,62,61,23,68
Ray Stachowicz,P,,71,185,128,1981-1982SAVEGAME.DAT,1,68,63,48,46,81,78,17,58,20,19,42
Rich Campbell,QB,,76,224,152,1981-1982SAVEGAME.DAT,1,62,73,59,35,9,62,23,61,30,26,30
Bill Whitaker,FS,,72,182,240,1981-1982SAVEGAME.DAT,1,82,82,12,67,17,63,42,65,59,8,50
Gary Lewis,TE,,76,234,136,1981-1982SAVEGAME.DAT,1,83,79,10,56,17,56,50,78,35,60,48
Donnell Thompson,DT,,75,270,24,1981-1982SAVEGAME.DAT,1,74,71,10,74,19,85,60,70,63,14,87
Daryl Wilkerson,DT,,75,255,224,1981-1982SAVEGAME.DAT,1,68,69,10,70,19,72,46,70,45,14,75
Hosea Taylor,DT,,76,260,208,1981-1982SAVEGAME.DAT,1,79,74,10,75,19,81,52,77,50,14,65
Bubba Green,DE,,75,278,217,1981-1982SAVEGAME.DAT,1,68,69,11,83,26,77,58,65,50,17,70
Randy McMillan,FB,,72,219,0,1981-1982SAVEGAME.DAT,1,82,78,16,72,21,82,43,73,6,73,14
Jimmy Moore,G,,76,268,8,1981-1982SAVEGAME.DAT,1,46,59,12,66,19,68,64,52,6,22,21
Mike Garrett,P,,73,184,72,1981-1982SAVEGAME.DAT,1,74,66,27,53,72,82,17,61,20,19,48
Tim Foley,T,,76,275,112,1981-1982SAVEGAME.DAT,1,56,70,14,73,14,77,64,64,19,30,24
Joe Nobody,C,,76,255,240,1981-1982SAVEGAME.DAT,1,80,40,12,72,25,95,61,58,14,30,27
Joe Nobody,C,,70,255,240,1981-1982SAVEGAME.DAT,1,86,40,12,72,25,95,61,58,14,30,27
Tim Sherwin,TE,,78,246,152,1981-1982SAVEGAME.DAT,1,82,79,10,65,8,76,56,76,9,63,12
Dave Shula,WR,,71,182,168,1981-1982SAVEGAME.DAT,1,87,86,20,62,17,63,40,80,6,70,15
Kevin Williams,WR,,68,165,168,1981-1982SAVEGAME.DAT,1,84,79,20,71,17,75,54,74,6,72,15
Deron Cherry,CB,,71,197,160,1981-1982SAVEGAME.DAT,1,88,84,12,94,17,81,57,78,92,8,45
Frank Case,DT,,71,243,248,1981-1982SAVEGAME.DAT,1,79,77,10,75,19,75,48,79,42,14,64
Lloyd Burruss,SS,,72,209,16,1981-1982SAVEGAME.DAT,1,85,82,9,86,13,86,57,80,80,35,78
Billy Jackson,RB,,71,223,88,1981-1982SAVEGAME.DAT,1,78,78,27,67,9,79,68,68,37,53,30
Joe Delaney,RB,,71,184,40,1981-1982SAVEGAME.DAT,1,91,85,24,86,13,86,49,78,8,58,9
Curtis Bledsoe,RB,,71,215,240,1981-1982SAVEGAME.DAT,1,76,73,23,52,7,64,55,68,20,50,10
Dave Klug,ILB,,74,230,184,1981-1982SAVEGAME.DAT,1,75,76,10,78,4,80,50,65,52,15,77
Jeff Gossett,P,,74,200,56,1981-1982SAVEGAME.DAT,1,45,46,22,43,82,45,36,38,23,23,34
Roger Taylor,T,,78,271,96,1981-1982SAVEGAME.DAT,1,67,63,11,74,16,77,71,69,13,28,24
Willie Scott,TE,,76,245,136,1981-1982SAVEGAME.DAT,1,78,76,10,52,11,67,63,71,8,65,9
James Murphy,WR,,70,177,128,1981-1982SAVEGAME.DAT,1,87,86,20,72,12,66,32,83,11,63,10
Todd Thomas,C,,75,262,240,1981-1982SAVEGAME.DAT,1,40,60,10,73,23,73,61,52,16,30,33
Marvin Harvey,TE,,75,220,152,1981-1982SAVEGAME.DAT,1,81,80,10,47,9,77,50,74,8,47,11
Fulton Walker,CB,,70,193,72,1981-1982SAVEGAME.DAT,1,85,88,9,66,16,72,47,72,62,12,68
Ken Poole,DT,,75,251,112,1981-1982SAVEGAME.DAT,1,72,71,10,69,19,77,58,72,35,14,74
Andra Franklin,FB,,71,225,40,1981-1982SAVEGAME.DAT,1,84,80,18,75,7,78,68,65,8,34,15
Tommy Vigorito,RB,,70,193,0,1981-1982SAVEGAME.DAT,1,89,89,23,70,10,80,43,82,38,79,29
Steve Potter,OLB,,75,235,176,1981-1982SAVEGAME.DAT,1,74,72,11,63,19,76,57,64,60,15,75
Tom Orosz,P,,73,204,24,1981-1982SAVEGAME.DAT,1,65,58,35,74,78,77,23,56,33,33,49
Jim Jenson,WR,,75,215,88,1981-1982SAVEGAME.DAT,1,86,86,20,66,17,75,34,85,6,72,15
Joe Nobody,C,,70,255,240,1981-1982SAVEGAME.DAT,1,91,40,12,72,25,95,61,58,14,30,27
Neil Elshire,DT,,78,260,8,1981-1982SAVEGAME.DAT,1,71,75,10,64,19,77,48,73,45,14,75
Joe Nobody,C,,74,255,240,1981-1982SAVEGAME.DAT,1,50,40,12,72,25,95,61,58,14,30,27
Ray Yakavonis,DE,,76,250,216,1981-1982SAVEGAME.DAT,1,53,67,11,44,26,74,52,65,45,17,66
Sam Harrell,RB,,74,217,32,1981-1982SAVEGAME.DAT,1,83,84,23,52,7,63,36,74,20,51,10
Robin Sendlein,OLB,,71,225,200,1981-1982SAVEGAME.DAT,1,77,82,11,72,19,79,50,79,41,15,87
Wade Wilson,QB,,75,210,88,1981-1982SAVEGAME.DAT,1,64,62,83,36,7,73,33,69,29,23,26
John Swain,CB,,73,194,232,1981-1982SAVEGAME.DAT,1,84,88,11,84,24,86,36,81,78,7,69
Tim Irwin,T,,79,300,97,1981-1982SAVEGAME.DAT,1,48,65,12,90,24,90,67,47,16,30,29
Mardye McDole,WR,,71,198,192,1981-1982SAVEGAME.DAT,1,80,80,20,64,17,81,50,78,6,61,15
Leo Lewis,WR,,68,170,184,1981-1982SAVEGAME.DAT,1,83,87,20,57,12,76,38,80,11,75,10
Jarvis Redwine,RB,,70,203,176,1981-1982SAVEGAME.DAT,1,84,84,23,62,7,65,41,79,20,41,10
Keith Lee,CB,,71,193,176,1981-1982SAVEGAME.DAT,1,85,84,12,56,16,68,36,78,71,9,63
Stevan Clark,DT,,75,258,8,1981-1982SAVEGAME.DAT,1,60,65,10,43,19,61,51,35,39,14,52
Darrell Wilson,FS,,71,180,120,1981-1982SAVEGAME.DAT,1,82,84,8,65,29,73,29,80,54,20,61
Tony Collins,RB,,71,210,8,1981-1982SAVEGAME.DAT,1,86,86,16,75,16,74,61,66,11,65,20
Don Blackmon,OLB,,75,235,184,1981-1982SAVEGAME.DAT,1,84,84,10,79,11,81,62,64,76,20,85
Rich Camarillo,P,,71,202,24,1981-1982SAVEGAME.DAT,1,43,48,48,49,87,78,37,50,20,19,48
Kevin Donnalley,SS,,71,180,184,1981-1982SAVEGAME.DAT,1,73,63,8,39,29,52,27,63,50,20,61
Brian Holloway,T,,79,284,96,1981-1982SAVEGAME.DAT,1,40,35,14,77,24,80,73,36,17,30,27
Lin Dawson,TE,,75,240,185,1981-1982SAVEGAME.DAT,1,72,77,11,68,16,75,54,73,6,59,15
Kenneth Toler,WR,,74,195,144,1981-1982SAVEGAME.DAT,1,82,79,20,59,10,74,39,69,38,73,33
Ken Hartley,P,,73,200,56,1981-1982SAVEGAME.DAT,1,62,62,34,45,59,75,20,60,17,20,31
Johnnie Poe,CB,,73,192,201,1981-1982SAVEGAME.DAT,1,88,88,12,75,17,81,44,83,76,8,70
Russell Gary,SS,,71,195,160,1981-1982SAVEGAME.DAT,1,85,85,12,73,17,81,44,74,73,8,82
Jim Wilks,DT,,77,269,240,1981-1982SAVEGAME.DAT,1,72,72,10,71,22,75,71,64,40,24,80
Frank Warren,DT,,76,285,72,1981-1982SAVEGAME.DAT,1,72,72,10,73,19,82,71,68,45,14,72
Monte Bennett,DE,,75,265,216,1981-1982SAVEGAME.DAT,1,60,61,13,67,17,72,67,62,10,22,73
Jerry Boyarsky,DE,,75,290,104,1981-1982SAVEGAME.DAT,1,62,60,11,69,26,70,72,57,38,19,76
Nat Hudson,G,,75,268,40,1981-1982SAVEGAME.DAT,1,41,56,11,55,21,62,67,56,23,24,32
Toussaint Tyler,RB,,74,220,81,1981-1982SAVEGAME.DAT,1,85,84,27,58,11,73,50,77,13,55,10
George Rogers,RB,,74,229,48,1981-1982SAVEGAME.DAT,1,87,83,16,87,24,88,55,66,15,47,10
Glen Redd,ILB,,73,230,208,1981-1982SAVEGAME.DAT,1,73,75,10,64,10,79,63,64,61,30,74
Scott Pelluer,OLB,,74,220,168,1981-1982SAVEGAME.DAT,1,68,70,10,55,7,63,64,62,64,15,68
Rickey Jackson,OLB,,74,243,200,1981-1982SAVEGAME.DAT,1,80,80,10,86,19,88,82,66,66,17,90
Dave Wilson,QB,,75,206,144,1981-1982SAVEGAME.DAT,1,61,64,76,48,14,70,20,59,28,28,39
Frank Wattelet,FS,,72,185,136,1981-1982SAVEGAME.DAT,1,87,89,12,74,23,65,34,83,70,9,65
Hoby Brenner,TE,,76,244,168,1981-1982SAVEGAME.DAT,1,64,69,10,67,8,76,55,67,9,66,12
Scott Stauch,RB,,71,204,0,1981-1982SAVEGAME.DAT,1,80,77,23,43,7,63,34,76,20,50,10
Larry Flowers,CB,,73,191,41,1981-1982SAVEGAME.DAT,1,86,87,12,70,17,81,44,84,77,8,71
Bill Neill,DE,,76,258,104,1981-1982SAVEGAME.DAT,1,68,74,11,71,26,81,69,72,34,17,72
Jim Burt,DE,,74,260,0,1981-1982SAVEGAME.DAT,1,47,61,11,82,26,92,84,53,30,23,87
Billy Ard,G,,75,270,24,1981-1982SAVEGAME.DAT,1,45,66,11,80,16,88,76,52,18,18,22
Leon Bright,RB,,69,192,104,1981-1982SAVEGAME.DAT,1,88,88,27,66,17,78,38,83,15,74,10
Louie Jackson,RB,,71,195,168,1981-1982SAVEGAME.DAT,1,83,84,23,38,7,64,48,64,20,50,10
Lawrence Taylor,OLB,,75,242,193,1981-1982SAVEGAME.DAT,1,80,86,10,99,11,99,90,70,85,20,98
Byron Hunt,OLB,,77,240,200,1981-1982SAVEGAME.DAT,1,79,79,8,72,9,80,71,72,65,30,84
Dave Young,TE,,76,242,200,1981-1982SAVEGAME.DAT,1,76,76,10,41,11,67,45,71,8,51,9
John Mistler,WR,,74,186,168,1981-1982SAVEGAME.DAT,1,87,87,22,50,7,69,29,88,9,63,12
Kirk Springs,CB,,72,196,104,1981-1982SAVEGAME.DAT,1,85,85,9,62,22,73,35,76,70,12,72
Ralph DeLoach,DT,,77,254,240,1981-1982SAVEGAME.DAT,1,78,77,10,72,19,72,48,64,39,14,73
Kenny Neil,DT,,76,249,104,1981-1982SAVEGAME.DAT,1,79,74,10,67,19,77,52,76,49,14,71
Ben Rudolph,DE,,76,271,96,1981-1982SAVEGAME.DAT,1,68,68,11,71,26,76,62,65,44,17,77
Mike Augustyniak,FB,,71,225,24,1981-1982SAVEGAME.DAT,1,75,75,16,63,17,75,60,70,45,64,29
Freeman McNeil,RB,,71,214,192,1981-1982SAVEGAME.DAT,1,87,89,25,77,16,85,47,73,11,63,10
John Woodring,OLB,,74,232,200,1981-1982SAVEGAME.DAT,1,72,72,10,67,11,73,55,70,55,23,66
Al Washington,OLB,,74,235,160,1981-1982SAVEGAME.DAT,1,68,68,10,64,11,64,58,63,48,23,64
Marty Wetzel,ILB,,74,235,208,1981-1982SAVEGAME.DAT,1,66,70,10,60,11,73,55,61,42,23,63
Steve Stephens,TE,,75,227,176,1981-1982SAVEGAME.DAT,1,82,79,10,39,4,64,56,73,14,36,13
Kurt Sohn,WR,,71,180,184,1981-1982SAVEGAME.DAT,1,88,88,17,40,6,77,40,84,6,69,9
Ted Watts,CB,,72,195,160,1981-1982SAVEGAME.DAT,1,90,92,9,77,20,76,38,87,65,11,76
Howie Long,DE,,77,265,88,1981-1982SAVEGAME.DAT,1,77,76,11,76,21,34,64,61,40,16,79
Curt Marsh,G,,77,275,224,1981-1982SAVEGAME.DAT,1,41,45,12,54,16,69,65,42,3,21,16
Frank Hawkins,RB,,69,210,216,1981-1982SAVEGAME.DAT,1,81,77,23,70,13,76,41,64,12,54,6
Johnny Robinson,DE,,74,260,32,1981-1982SAVEGAME.DAT,1,66,70,11,63,26,77,58,64,40,7,70
Malcolm Barnwell,WR,,71,184,128,1981-1982SAVEGAME.DAT,1,88,89,15,75,13,77,35,75,8,65,15
Chester Willis,RB,,71,195,48,1981-1982SAVEGAME.DAT,1,84,79,23,58,13,66,51,80,12,51,6
Kenny Hill,FS,,72,194,128,1981-1982SAVEGAME.DAT,1,84,84,23,73,7,69,39,64,63,50,71
Greg Brown,DT,,77,260,16,1981-1982SAVEGAME.DAT,1,73,70,10,65,19,75,53,69,45,14,79
Hubie Oliver,FB,,70,215,16,1981-1982SAVEGAME.DAT,1,73,70,12,63,16,89,66,66,38,37,41
Mike Curcio,ILB,,73,237,200,1981-1982SAVEGAME.DAT,1,62,66,10,67,10,73,62,64,45,30,66
Ray Ellis,SS,,73,196,192,1981-1982SAVEGAME.DAT,1,83,82,10,69,16,72,46,66,62,30,75
Frank Giddens,T,,79,300,120,1981-1982SAVEGAME.DAT,1,48,65,12,59,22,69,68,56,11,29,28
Steve Folsom,TE,,76,233,176,1981-1982SAVEGAME.DAT,1,84,83,10,39,9,68,50,77,8,68,11
Alvin Hooks,WR,,71,170,128,1981-1982SAVEGAME.DAT,1,85,86,20,44,17,55,33,82,6,64,15
Leonard Mitchell,T,,79,290,24,1981-1982SAVEGAME.DAT,1,61,64,10,64,19,77,63,59,28,14,37
Calvin Murray,RB,,71,188,80,1981-1982SAVEGAME.DAT,1,88,88,27,68,13,70,28,85,9,47,14
John Goodman,DT,,78,254,248,1981-1982SAVEGAME.DAT,1,75,75,10,71,19,66,48,68,52,14,73
Anthony Washington,SS,,73,204,80,1981-1982SAVEGAME.DAT,1,82,80,9,54,19,81,39,77,77,12,72
David Trout,K,,66,165,8,1981-1982SAVEGAME.DAT,1,56,68,10,39,84,74,20,61,24,28,40
Bob Kohrs,DT,,75,240,208,1981-1982SAVEGAME.DAT,1,74,76,10,64,13,77,54,70,52,23,68
Greg Meisner,DE,,75,257,40,1981-1982SAVEGAME.DAT,1,60,60,13,63,17,72,65,65,46,22,74
Jairo Penaranda,RB,,70,217,176,1981-1982SAVEGAME.DAT,1,84,80,23,39,7,63,41,64,20,50,10
Jim Collins,ILB,,74,230,145,1981-1982SAVEGAME.DAT,1,74,77,10,79,11,73,57,69,64,23,76
Howard Carson,OLB,,73,233,176,1981-1982SAVEGAME.DAT,1,71,70,10,64,11,73,57,62,53,23,67
Mel Owens,OLB,,74,225,208,1981-1982SAVEGAME.DAT,1,77,77,10,82,11,73,56,70,59,23,82
Kirk Collins,SS,,71,182,80,1981-1982SAVEGAME.DAT,1,85,85,12,70,17,79,39,80,58,8,51
Jeff Kemp,QB,,72,201,73,1981-1982SAVEGAME.DAT,1,50,50,73,50,16,73,24,31,31,28,41
Ron Battle,TE,,75,220,136,1981-1982SAVEGAME.DAT,1,84,83,10,42,9,71,36,73,8,47,11
Bob Cobb,DT,,76,248,8,1981-1982SAVEGAME.DAT,1,70,69,11,56,23,75,48,66,48,18,71
Bob Gregor,FS,,72,187,88,1981-1982SAVEGAME.DAT,1,84,83,9,69,16,68,43,75,74,13,66
Keith Ferguson,DT,,73,260,104,1981-1982SAVEGAME.DAT,1,66,68,10,72,19,81,55,77,34,14,74
Irvin Phillips,FS,,73,192,184,1981-1982SAVEGAME.DAT,1,87,87,12,62,16,70,33,82,59,9,58
James Brooks,RB,,75,180,168,1981-1982SAVEGAME.DAT,1,93,90,15,76,11,90,47,75,11,68,11
Carlos Bradley,OLB,,72,221,144,1981-1982SAVEGAME.DAT,1,67,77,10,71,9,69,56,76,39,18,61
Joe Nobody,C,,71,255,240,1981-1982SAVEGAME.DAT,1,61,40,12,72,25,95,61,58,14,30,27
Wyatt Henderson,SS,,72,180,0,1981-1982SAVEGAME.DAT,1,85,85,8,75,29,73,38,80,58,20,61
Sam Claphan,T,,76,285,104,1981-1982SAVEGAME.DAT,1,54,59,14,82,18,86,65,61,27,30,31
Pete Holohan,TE,,75,237,192,1981-1982SAVEGAME.DAT,1,70,66,10,56,4,70,50,65,19,62,16
Eric Sievers,TE,,76,236,168,1981-1982SAVEGAME.DAT,1,81,77,10,64,8,81,60,73,9,72,12
Carlton Williamson,SS,,72,204,216,1981-1982SAVEGAME.DAT,1,86,85,9,77,11,83,55,75,85,34,74
Ronnie Lott,CB,,72,200,80,1981-1982SAVEGAME.DAT,1,89,86,9,92,19,76,55,82,93,12,97
Lynn Thomas,CB,,71,181,224,1981-1982SAVEGAME.DAT,1,86,85,12,70,18,80,33,73,74,8,78
Pete Kugler,DE,,76,255,24,1981-1982SAVEGAME.DAT,1,59,69,10,76,22,89,63,58,24,25,81
John Harty,DE,,76,263,88,1981-1982SAVEGAME.DAT,1,63,68,11,63,15,89,73,56,54,28,82
John Choma,C,,77,251,224,1981-1982SAVEGAME.DAT,1,49,61,11,76,12,81,68,58,6,26,23
Milt McColl,ILB,,78,245,168,1981-1982SAVEGAME.DAT,1,77,77,10,72,6,63,56,68,66,16,64
Jim Looney,ILB,,71,225,144,1981-1982SAVEGAME.DAT,1,63,61,10,41,9,65,45,61,49,13,61
Eric Wright,CB,,73,183,168,1981-1982SAVEGAME.DAT,1,91,89,9,85,16,54,35,89,88,13,77
Rick Gervais,SS,,71,190,192,1981-1982SAVEGAME.DAT,1,91,79,11,60,17,86,49,76,67,7,45
Allan Kennedy,T,,79,268,16,1981-1982SAVEGAME.DAT,1,48,67,12,75,22,94,73,56,11,29,28
Matt Bouza,WR,,74,205,136,1981-1982SAVEGAME.DAT,1,86,86,20,63,17,74,34,92,6,72,15
Mike Wilson,WR,,75,213,168,1981-1982SAVEGAME.DAT,1,88,84,20,59,10,78,44,84,38,75,33
Amos Lawrence,RB,,71,181,160,1981-1982SAVEGAME.DAT,1,82,67,17,79,13,94,51,70,14,59,6
