franchise,teamID,name,pos,pgm3_pos,age,povr,rating_note,college,team78,reason,why_here
Indianapolis Racers,IND,Nat Terry,DB,CB,22,75,,Florida State,pittsburgh-steelers,,reserved: the pool holds few CBs
Indianapolis Racers,IND,Dave Kraayeveld,DE,DE,23,75,,Milton,seattle-seahawks,,reserved: the pool holds few DEs
Indianapolis Racers,IND,Greg Boyd,DE,DT,26,75,,San Diego State,new-england-patriots,,"young, and they can wait"
Indianapolis Racers,IND,Larry Dorsey,WR,WR,25,74,,Tennessee State,kansas-city-chiefs,,"young, and they can wait"
Indianapolis Racers,IND,Larry Keller,LB,OLB,25,74,,Houston,new-york-jets,,"young, and they can wait"
Indianapolis Racers,IND,Eddie McMillan,DB,CB,26,73,,Florida State,buffalo-bills,,"young, and they can wait"
Indianapolis Racers,IND,Donnie Hickman,OG,OG,23,72,,Southern California,detroit-lions,,reserved: the pool holds few OGs
Indianapolis Racers,IND,Fred Anderson,DE,DE,24,72,,Prairie View A&M,pittsburgh-steelers,,reserved: the pool holds few DEs
Indianapolis Racers,IND,Mike Kirkland,QB,QB,24,70,,Arkansas,baltimore-colts,,reserved: the pool holds few QBs
Indianapolis Racers,IND,Bill Larson,TE,TE,25,70,,Colorado State,philadelphia-eagles,,reserved: the pool holds few TEs
Indianapolis Racers,IND,Mike Boryla,QB,QB,27,69,,Stanford,tampa-bay-buccaneers,,reserved: the pool holds few QBs
Indianapolis Racers,IND,Tom Luken,OG,C,28,69,,Purdue,philadelphia-eagles,,reserved: the pool holds few Cs
Indianapolis Racers,IND,Steve Schindler,OG,OG,24,69,,Boston College,denver-broncos,,reserved: the pool holds few OGs
Indianapolis Racers,IND,Jimmy Dean,DE,DE,23,69,,Texas A&M,houston-oilers,,reserved: the pool holds few DEs
Indianapolis Racers,IND,Kyle Davis,C,C,26,62,,Oklahoma,san-francisco-49ers,,reserved: the pool holds few Cs
Indianapolis Racers,IND,David Posey,K,K,22,,,Florida,new-england-patriots,,reserved: the pool holds few Ks
Indianapolis Racers,IND,Brett Moritz,OG,OG,23,,,Nebraska,tampa-bay-buccaneers,,reserved: the pool holds few OGs
Indianapolis Racers,IND,Jon Morris,C,C,36,,,Holy Cross,chicago-bears,,no Madden record; a name that had finished
Indianapolis Racers,IND,MacArthur Lane,RB,RB,36,,,Utah State,kansas-city-chiefs,,no Madden record; a name that had finished
Indianapolis Racers,IND,Norm Evans,OT,OT,36,,,Texas Christian,seattle-seahawks,,no Madden record; a name that had finished
Indianapolis Racers,IND,Willie Brown,DB,S,37,,,Grambling,oakland-raiders,,no Madden record; a name that had finished
Indianapolis Racers,IND,Jim Bakken,K,K,37,,,Wisconsin,st-louis-cardinals,,no Madden record; a name that had finished
Indianapolis Racers,IND,Chris Hanburger,LB,OLB,37,,,North Carolina,washington-redskins,,no Madden record; a name that had finished
Indianapolis Racers,IND,Jackie Smith,TE,TE,38,,,Northwestern State,dallas-cowboys,,no Madden record; a name that had finished
Indianapolis Racers,IND,Mick Tingelhoff,C,C,38,,,Nebraska,minnesota-vikings,,no Madden record; a name that had finished
Indianapolis Racers,IND,Billy Kilmer,QB,QB,39,,,UCLA,washington-redskins,,no Madden record; a name that had finished
Indianapolis Racers,IND,Ron McDole,DE,DE,39,,,Nebraska,washington-redskins,,no Madden record; a name that had finished
(free agent pool),Free Agent,Frank Grant,WR,WR,28,78,,Southern Colorado,tampa-bay-buccaneers,,
(free agent pool),Free Agent,Don Rives,LB,MLB,27,77,,Texas Tech,chicago-bears,,
(free agent pool),Free Agent,Warren Bankston,RB,RB,31,77,,Tulane,oakland-raiders,,
(free agent pool),Free Agent,Mike Sensibaugh,DB,S,29,77,,Ohio State,st-louis-cardinals,,
(free agent pool),Free Agent,Dave Green,P,P,29,77,,Ohio,tampa-bay-buccaneers,,
(free agent pool),Free Agent,Tom MacLeod,LB,OLB,27,76,,Minnesota,baltimore-colts,,
(free agent pool),Free Agent,Donnie Green,OT,OT,30,76,,Purdue,detroit-lions,,
(free agent pool),Free Agent,Jim Carter,LB,MLB,30,76,,Minnesota,green-bay-packers,,
(free agent pool),Free Agent,Al Johnson,RB,RB,28,76,,Cincinnati,houston-oilers,,
(free agent pool),Free Agent,Ernie Holmes,DT,DT,30,76,,Texas Southern,new-england-patriots,,
Indianapolis Racers,IND,Clarence Davis,RB,RB,29,76,,Southern California,oakland-raiders,,"Madden's starting back in the Super Bowl season; an addition from the pool, not a raid"
(free agent pool),Free Agent,Ken Geddes,LB,OLB,32,76,,Nebraska,seattle-seahawks,,
(free agent pool),Free Agent,Rocky Freitas,OT,OT,33,76,,Oregon State,tampa-bay-buccaneers,,
(free agent pool),Free Agent,Bob Babich,LB,MLB,31,75,,Miami (OH),cleveland-browns,,
(free agent pool),Free Agent,Larry Marshall,DB,CB,28,75,,Maryland,los-angeles-rams,,
(free agent pool),Free Agent,Mike Hennigan,LB,MLB,27,75,,Tennessee Tech,new-york-jets,,
(free agent pool),Free Agent,Floyd Rice,LB,OLB,29,74,,Alcorn State,new-orleans-saints,,
(free agent pool),Free Agent,Johnny Rodgers,WR,WR,27,74,,Nebraska,san-diego-chargers,,
(free agent pool),Free Agent,Merv Krakau,LB,MLB,27,73,,Iowa State,buffalo-bills,,
(free agent pool),Free Agent,Willie McGee,WR,WR,28,73,,Alcorn State,detroit-lions,,
(free agent pool),Free Agent,Larry Poole,RB,RB,26,73,,Kent State,houston-oilers,,
(free agent pool),Free Agent,Dwight McDonald,WR,WR,27,73,,San Diego State,san-diego-chargers,,
(free agent pool),Free Agent,Roland Woolsey,DB,S,25,73,,Boise State,st-louis-cardinals,,
(free agent pool),Free Agent,Rick Kingrea,LB,MLB,29,72,,Tulane,new-orleans-saints,,
(free agent pool),Free Agent,Willie Spencer,RB,RB,25,72,,,new-york-giants,,
(free agent pool),Free Agent,Maurice Tyler,DB,CB,28,72,,Morgan State,new-york-giants,,
(free agent pool),Free Agent,Willie Shelby,RB,RB,25,72,,Alabama,st-louis-cardinals,,
(free agent pool),Free Agent,Bob Heinz,DT,DT,31,72,,Pacific,washington-redskins,,
(free agent pool),Free Agent,Ron Lee,RB,RB,25,71,,West Virginia,baltimore-colts,,
(free agent pool),Free Agent,Art Best,RB,RB,25,71,,Kent State,chicago-bears,,
(free agent pool),Free Agent,Godwin Turk,LB,MLB,28,71,,Southern,denver-broncos,,
(free agent pool),Free Agent,Bill Fifer,OT,OT,23,71,,West Texas A&M,detroit-lions,,
(free agent pool),Free Agent,Elmo Boyd,WR,WR,24,71,,Eastern Kentucky,san-francisco-49ers,,
(free agent pool),Free Agent,Gerald Skinner,OT,OT,24,71,,Arkansas,green-bay-packers,,
(free agent pool),Free Agent,Brian Duncan,RB,RB,26,71,,Southern Methodist,houston-oilers,,
(free agent pool),Free Agent,Mark Bailey,RB,RB,23,71,,Long Beach State,kansas-city-chiefs,,
(free agent pool),Free Agent,Stan Johnson,DT,DT,23,71,,Tennessee State,kansas-city-chiefs,,
(free agent pool),Free Agent,Jeff Lloyd,DE,DT,24,71,,West Texas A&M,kansas-city-chiefs,,
(free agent pool),Free Agent,Eddie Payton,RB,RB,27,71,,Jackson State,kansas-city-chiefs,,
(free agent pool),Free Agent,Jerry Latin,RB,RB,25,71,,Northern Illinois,los-angeles-rams,,
(free agent pool),Free Agent,Larry Ball,LB,MLB,29,71,,Louisville,miami-dolphins,,
