team,name,pgm3_pos,years_pro,rating,potential,headroom
baltimore-colts,Mack Alston,TE,9,66,66,0
baltimore-colts,Mike Barnes,DT,6,81,81,0
baltimore-colts,Mike Ozdowski,DE,1,65,69,4
baltimore-colts,Mike Siani,WR,7,73,73,0
baltimore-colts,Mike Woods,OLB,0,57,61,4
baltimore-colts,Nesby Glasgow,S,0,63,67,4
baltimore-colts,Norm Thompson,CB,8,68,68,0
baltimore-colts,Randy Burke,WR,1,64,68,4
baltimore-colts,Reese McCall,TE,1,70,74,4
baltimore-colts,Reggie Pinkney,CB,2,65,68,3
baltimore-colts,Roger Carr,WR,5,84,85,1
baltimore-colts,Ron Baker,OG,2,64,67,3
baltimore-colts,Ron Fernandes,DE,4,70,71,1
baltimore-colts,Roosevelt Leaks,RB,4,72,73,1
baltimore-colts,Sanders Shiver,OLB,3,80,82,2
baltimore-colts,Stan White,OLB,7,84,84,0
baltimore-colts,Steve Mike-Mayer,K,4,72,73,1
baltimore-colts,Steve Zabel,OLB,9,74,74,0
baltimore-colts,Wade Griffin,OT,2,68,71,3
buffalo-bills,Ben Williams,DE,3,71,73,2
buffalo-bills,Bill Munson,QB,15,63,63,0
buffalo-bills,Bob Chandler,WR,8,75,75,0
buffalo-bills,Charles Romes,CB,2,79,82,3
buffalo-bills,Chris Keating,OLB,0,55,59,4
buffalo-bills,Curtis Brown,RB,2,72,75,3
buffalo-bills,Dan Jilek,OLB,3,66,68,2
buffalo-bills,Dan Manucci,QB,0,62,66,4
buffalo-bills,Danny Fulton,WR,0,63,67,4
buffalo-bills,Dee Hardison,DT,1,69,73,4
buffalo-bills,Dennis Johnson,RB,1,51,55,4
buffalo-bills,Doug Greene,S,1,62,66,4
buffalo-bills,Ed Fulton,OG,2,54,57,3
buffalo-bills,Frank Lewis,WR,8,78,78,0
buffalo-bills,Fred Smerlas,DT,0,74,78,4
buffalo-bills,Isiah Robertson,OLB,8,86,86,0
buffalo-bills,Jeff Nixon,S,0,66,70,4
buffalo-bills,Jerry Butler,WR,0,76,80,4
buffalo-bills,Jim Haslett,MLB,0,69,73,4
buffalo-bills,Joe DeLamielleure,OG,6,89,89,0
buffalo-bills,Joe Devlin,OT,3,71,73,2
buffalo-bills,Joe Ferguson,QB,4,86,87,1
buffalo-bills,Jon Borchardt,OT,0,64,68,4
buffalo-bills,Joseph Shipp,TE,0,58,62,4
buffalo-bills,Keith Moody,CB,3,74,76,2
buffalo-bills,Ken Johnson,RB,0,54,58,4
buffalo-bills,Ken Jones,OT,3,70,72,2
buffalo-bills,Leonard Willis,WR,3,63,65,2
buffalo-bills,Lou Piccone,WR,5,74,75,1
buffalo-bills,Lucius Sanford,OLB,1,74,78,4
buffalo-bills,Mario Clark,CB,3,86,88,2
buffalo-bills,Mike Collier,RB,3,61,63,2
buffalo-bills,Mike Kadish,DT,6,77,77,0
buffalo-bills,Nick Mike-Mayer,K,6,79,79,0
buffalo-bills,Reggie McKenzie,OG,7,89,89,0
buffalo-bills,Reuben Gant,TE,5,70,71,1
buffalo-bills,Roland Hooks,RB,3,69,71,2
buffalo-bills,Ron Howard,TE,4,62,63,1
buffalo-bills,Rusty Jackson,P,3,78,80,2
buffalo-bills,Scott Hutchinson,DE,1,56,60,4
buffalo-bills,Shane Nelson,MLB,2,69,72,3
buffalo-bills,Sherman White,DE,7,80,80,0
buffalo-bills,Steve Freeman,S,4,74,75,1
buffalo-bills,Steve Powell,RB,1,49,53,4
buffalo-bills,Terry Miller,RB,1,77,81,4
buffalo-bills,Tim Vogler,OG,0,62,66,4
buffalo-bills,Tom Dempsey,K,10,54,54,0
buffalo-bills,Tom Higgins,OLB,0,61,65,4
buffalo-bills,Tony Greene,S,8,82,82,0
buffalo-bills,Will Grant,C,1,63,67,4
buffalo-bills,Willie Parker,C,7,68,68,0
chicago-bears,Al Harris,DE,0,71,75,4
chicago-bears,Alan Page,DT,12,86,86,0
chicago-bears,Allan Ellis,CB,6,65,65,0
chicago-bears,Bob Avellini,QB,4,72,73,1
chicago-bears,Bob Parsons,P,7,79,79,0
chicago-bears,Bob Thomas,K,4,82,83,1
chicago-bears,Brian Baschnagel,WR,3,80,82,2
chicago-bears,Bruce Herron,OLB,1,57,61,4
chicago-bears,Dan Hampton,DE,0,77,81,4
chicago-bears,Dan Jiggetts,OT,3,66,68,2
chicago-bears,Dan Neal,C,6,74,74,0
chicago-bears,Dave Williams,RB,2,72,75,3
chicago-bears,Dennis Lick,OT,3,79,81,2
chicago-bears,Doug Buffone,OLB,12,72,72,0
chicago-bears,Doug Plank,S,4,83,84,1
chicago-bears,Gary Campbell,OLB,3,79,81,2
chicago-bears,Gary Fencik,S,3,88,90,2
chicago-bears,Golden Richards,WR,6,69,69,0
chicago-bears,Greg Latta,TE,4,70,71,1
chicago-bears,Harry Washington,WR,1,59,63,4
chicago-bears,Jack Deloplaine,RB,3,58,60,2
chicago-bears,James Scott,WR,3,78,80,2
chicago-bears,Jerry Meyers,DE,3,60,62,2
chicago-bears,Jerry Muckensturm,OLB,3,74,76,2
chicago-bears,Jim Osborne,DT,7,83,83,0
chicago-bears,John Skibinski,RB,1,56,60,4
chicago-bears,Kris Haines,WR,0,59,63,4
chicago-bears,Lee Kunz,MLB,0,60,64,4
chicago-bears,Len Walterscheid,S,2,61,64,3
chicago-bears,Lonnie Perrin,RB,3,67,69,2
chicago-bears,Lynn Boden,OG,4,71,72,1
chicago-bears,Mark Merrill,MLB,1,62,66,4
chicago-bears,Mike Cobb,TE,2,70,73,3
chicago-bears,Mike Hartenstine,DE,4,72,73,1
chicago-bears,Mike Phipps,QB,9,73,73,0
chicago-bears,Mike Spivey,CB,2,67,70,3
chicago-bears,Noah Jackson,OG,4,83,84,1
chicago-bears,Revie Sorey,OG,4,78,79,1
chicago-bears,Rickey Watts,WR,0,73,77,4
chicago-bears,Robin Earl,TE,2,68,71,3
chicago-bears,Ron Rydalch,DT,4,77,78,1
chicago-bears,Steve Schubert,WR,5,63,64,1
chicago-bears,Ted Albrecht,OT,2,79,82,3
chicago-bears,Terry Schmidt,CB,5,76,77,1
chicago-bears,Tom Hicks,MLB,3,77,79,2
chicago-bears,Tommy Hart,DE,11,76,76,0
chicago-bears,Tony Ardizzone,C,0,41,45,4
chicago-bears,Vince Evans,QB,2,72,75,3
chicago-bears,Virgil Livers,CB,4,81,82,1
chicago-bears,Walter Payton,RB,4,98,99,1
chicago-bears,Wentford Gaines,CB,1,64,68,4
chicago-bears,Willie McClendon,RB,0,59,63,4
cincinnati-bengals,Archie Griffin,RB,3,72,74,2
cincinnati-bengals,Barney Cotton,OT,0,57,61,4
cincinnati-bengals,Billy Brooks,WR,3,69,71,2
cincinnati-bengals,Blair Bush,C,1,68,72,4
cincinnati-bengals,Bo Harris,OLB,4,72,73,1
cincinnati-bengals,Bob Johnson,C,11,66,66,0
cincinnati-bengals,Charles Alexander,RB,0,72,76,4
cincinnati-bengals,Chris Bahr,K,3,77,79,2
cincinnati-bengals,Dan Ross,TE,0,76,80,4
cincinnati-bengals,Dave Lapham,OG,5,75,76,1
cincinnati-bengals,Deacon Turner,RB,1,63,67,4
cincinnati-bengals,Dick Jauron,S,6,65,65,0
cincinnati-bengals,Don Bass,WR,1,82,86,4
cincinnati-bengals,Eddie Edwards,DT,2,69,72,3
cincinnati-bengals,Gary Burley,DE,3,69,71,2
cincinnati-bengals,Glenn Bujnoch,OG,3,66,68,2
cincinnati-bengals,Glenn Cameron,OLB,4,70,71,1
cincinnati-bengals,Howie Kurnick,MLB,0,56,60,4
cincinnati-bengals,Isaac Curtis,WR,6,80,80,0
cincinnati-bengals,Jack Thompson,QB,0,67,71,4
cincinnati-bengals,James Corbett,TE,2,54,57,3
cincinnati-bengals,Jim Browner,S,0,54,58,4
cincinnati-bengals,Jim LeClair,MLB,7,87,87,0
cincinnati-bengals,Ken Anderson,QB,8,94,94,0
cincinnati-bengals,Ken Riley,CB,10,70,70,0
cincinnati-bengals,Louis Breeden,CB,1,72,76,4
cincinnati-bengals,Mack Mitchell,DE,4,68,69,1
cincinnati-bengals,Mark Donahue,OG,1,60,64,4
cincinnati-bengals,Marvin Cobb,S,4,74,75,1
cincinnati-bengals,Max Montoya,OG,0,71,75,4
cincinnati-bengals,Mike Levenseller,WR,1,57,61,4
cincinnati-bengals,Mike White,DT,0,57,61,4
cincinnati-bengals,Mike Wilson,OT,2,68,71,3
cincinnati-bengals,Nathan Poole,RB,0,45,49,4
cincinnati-bengals,Pat McInally,P,3,75,77,2
cincinnati-bengals,Pete Johnson,RB,2,78,81,3
cincinnati-bengals,Ray Griffin,CB,1,65,69,4
cincinnati-bengals,Reggie Williams,OLB,3,85,87,2
cincinnati-bengals,Rick Walker,TE,2,72,75,3
cincinnati-bengals,Ross Browner,DE,1,75,79,4
cincinnati-bengals,Scott Burk,S,0,60,64,4
cincinnati-bengals,Scott Perry,S,3,63,65,2
cincinnati-bengals,Steve Kreider,WR,0,66,70,4
cincinnati-bengals,Tom Dinkel,OLB,1,68,72,4
cincinnati-bengals,Tom Ruud,OLB,4,61,62,1
cincinnati-bengals,Vaughn Lusby,CB,0,52,56,4
cincinnati-bengals,Vern Holland,OT,8,74,74,0
cincinnati-bengals,Wilson Whitley,DT,2,72,75,3
cleveland-browns,Brian Sipe,QB,5,86,87,1
cleveland-browns,Calvin Hill,TE,8,68,68,0
cleveland-browns,Charlie Hall,OLB,8,77,77,0
cleveland-browns,Clarence Scott,S,8,82,82,0
cleveland-browns,Clay Matthews,OLB,1,87,91,4
cleveland-browns,Cleo Miller,RB,5,82,83,1
cleveland-browns,Clinton Burrell,CB,0,57,61,4
cleveland-browns,Cody Risien,OG,0,76,80,4
cleveland-browns,Curtis Weathers,OLB,0,67,71,4
cleveland-browns,Dave Graf,OLB,4,58,59,1
cleveland-browns,Dave Logan,WR,3,80,82,2
cleveland-browns,Dick Ambrose,MLB,8,77,77,0
cleveland-browns,Dino Hall,RB,0,59,63,4
cleveland-browns,Don Cockroft,K,11,74,74,0
cleveland-browns,Doug Dieken,OT,8,87,87,0
cleveland-browns,George Buehler,OG,10,75,75,0
cleveland-browns,Gerald Irons,OLB,9,77,77,0
cleveland-browns,Gerry Sullivan,C,5,63,64,1
cleveland-browns,Greg Pruitt,RB,6,87,87,0
cleveland-browns,Henry Bradley,DT,0,60,64,4
cleveland-browns,Henry Sheppard,OT,3,79,81,2
cleveland-browns,Jack Gregory,DE,12,73,73,0
cleveland-browns,Jerry Sherk,DT,9,83,83,0
cleveland-browns,John Smith,K,5,76,77,1
cleveland-browns,Johnny Evans,P,1,69,73,4
cleveland-browns,Keith Wright,WR,1,63,67,4
cleveland-browns,Lawrence Johnson,CB,0,61,65,4
cleveland-browns,Lyle Alzado,DE,8,92,92,0
cleveland-browns,Mark Miller,QB,1,64,68,4
cleveland-browns,Matt Miller,OT,0,60,64,4
cleveland-browns,Mickey Sims,DT,2,66,69,3
cleveland-browns,Mike Pruitt,RB,3,84,86,2
cleveland-browns,Mike St. Clair,DE,4,71,72,1
cleveland-browns,Oliver Davis,CB,2,81,84,3
cleveland-browns,Ozzie Newsome,TE,1,90,94,4
cleveland-browns,Pat Moriarty,RB,0,45,49,4
cleveland-browns,Randy Rich,CB,2,52,55,3
cleveland-browns,Reggie Rucker,WR,9,80,80,0
cleveland-browns,Rich Dimler,DT,0,55,59,4
cleveland-browns,Ricky Feacher,WR,3,66,68,2
cleveland-browns,Ricky Jones,OLB,2,63,66,3
cleveland-browns,Robert Jackson,OG,8,86,86,0
cleveland-browns,Robert Jackson,MLB,2,77,80,3
cleveland-browns,Ron Bolton,CB,7,85,85,0
cleveland-browns,Thom Darden,S,6,87,87,0
cleveland-browns,Tom DeLeone,C,7,81,81,0
cleveland-browns,Willis Adams,WR,0,61,65,4
dallas-cowboys,Aaron Kyle,CB,3,76,78,2
dallas-cowboys,Aaron Mitchell,CB,0,67,71,4
dallas-cowboys,Alois Blackwell,RB,1,58,62,4
dallas-cowboys,Andy Frederick,OT,2,68,71,3
dallas-cowboys,Benny Barnes,CB,7,82,82,0
dallas-cowboys,Billy Joe DuPree,TE,6,86,86,0
dallas-cowboys,Bob Breunig,MLB,4,84,85,1
dallas-cowboys,Bruce Huther,MLB,2,63,66,3
dallas-cowboys,Bruce Thornton,DE,0,66,70,4
dallas-cowboys,Burton Lawless,OG,4,80,81,1
dallas-cowboys,Butch Johnson,WR,3,84,86,2
dallas-cowboys,Cliff Harris,S,9,93,93,0
dallas-cowboys,D.D. Lewis,OLB,10,81,81,0
dallas-cowboys,Danny White,QB,3,83,85,2
dallas-cowboys,Dave Stalls,DT,2,71,74,3
dallas-cowboys,Dennis Thurman,CB,1,75,79,4
dallas-cowboys,Doug Cosbie,TE,0,65,69,4
dallas-cowboys,Drew Pearson,WR,6,87,87,0
dallas-cowboys,Glenn Carano,QB,2,64,67,3
dallas-cowboys,Guy Brown,OLB,2,63,66,3
dallas-cowboys,Harvey Martin,DE,6,95,95,0
dallas-cowboys,Herbert Scott,OG,4,85,86,1
dallas-cowboys,Jay Saldi,TE,3,70,72,2
dallas-cowboys,Jim Cooper,OT,2,83,86,3
dallas-cowboys,John Dutton,DT,5,79,80,1
dallas-cowboys,John Fitzgerald,C,8,86,86,0
dallas-cowboys,Larry Bethea,DE,1,65,69,4
dallas-cowboys,Larry Brinson,RB,2,63,66,3
dallas-cowboys,Larry Cole,DE,11,86,86,0
dallas-cowboys,Mike Hegman,OLB,3,68,70,2
dallas-cowboys,Pat Donovan,OT,4,84,85,1
dallas-cowboys,Preston Pearson,RB,12,69,69,0
dallas-cowboys,Rafael Septien,K,2,83,86,3
dallas-cowboys,Randy Hughes,S,4,77,78,1
dallas-cowboys,Randy White,DT,4,93,94,1
dallas-cowboys,Rayfield Wright,OT,12,76,76,0
dallas-cowboys,Robert Newhouse,RB,7,86,86,0
dallas-cowboys,Robert Shaw,C,0,43,47,4
dallas-cowboys,Roger Staubach,QB,10,98,98,0
dallas-cowboys,Ron Springs,RB,0,76,80,4
dallas-cowboys,Scott Laidlaw,RB,4,69,70,1
dallas-cowboys,Steve Wilson,S,0,60,64,4
dallas-cowboys,Thomas Henderson,OLB,4,81,82,1
dallas-cowboys,Tom Rafferty,OG,3,86,88,2
dallas-cowboys,Tony Dorsett,RB,2,94,97,3
dallas-cowboys,Tony Hill,WR,2,87,90,3
dallas-cowboys,Wade Manning,WR,0,59,63,4
denver-broncos,Barney Chavous,DE,6,83,83,0
denver-broncos,Bernard Jackson,S,7,87,87,0
denver-broncos,Billy Bryan,C,2,74,77,3
denver-broncos,Billy Thompson,S,10,88,88,0
denver-broncos,Bob Swenson,OLB,4,82,83,1
denver-broncos,Brison Manor,DE,2,63,66,3
denver-broncos,Bruce Radford,DE,0,58,62,4
denver-broncos,Charlie West,CB,11,61,61,0
denver-broncos,Chris Pane,CB,3,70,72,2
denver-broncos,Claudie Minor,OT,5,84,85,1
denver-broncos,Craig Morton,QB,14,73,73,0
denver-broncos,Craig Penrose,QB,3,64,66,2
denver-broncos,Dave Preston,RB,1,68,72,4
denver-broncos,Dave Studdard,OT,0,69,73,4
denver-broncos,Don Latimer,DT,1,57,61,4
denver-broncos,Fred Steinfort,K,3,52,54,2
denver-broncos,George Atkinson,S,11,80,80,0
denver-broncos,Glenn Hyde,OT,5,70,71,1
denver-broncos,Haven Moses,WR,11,87,87,0
denver-broncos,Jack Dolbin,WR,4,74,75,1
denver-broncos,Jim Jensen,RB,3,80,82,2
denver-broncos,Jim Ryan,OLB,0,55,59,4
denver-broncos,Jim Turner,K,15,71,71,0
denver-broncos,Joe Rizzo,MLB,5,87,88,1
denver-broncos,John Grant,DT,6,72,72,0
denver-broncos,Jon Keyworth,RB,5,78,79,1
denver-broncos,Kelvin Clark,OG,0,62,66,4
denver-broncos,Ken Brown,C,0,51,55,4
denver-broncos,Kit Lathrop,DE,0,51,55,4
denver-broncos,Larry Canada,RB,1,61,65,4
denver-broncos,Larry Evans,OLB,3,63,65,2
denver-broncos,Louis Wright,CB,4,92,93,1
denver-broncos,Luke Prestridge,P,0,56,60,4
denver-broncos,Norris Weese,QB,3,72,74,2
denver-broncos,Otis Armstrong,RB,6,81,81,0
denver-broncos,Paul Howard,OG,5,80,81,1
denver-broncos,Randy Gradishar,MLB,5,93,94,1
denver-broncos,Rick Upchurch,WR,4,76,77,1
denver-broncos,Riley Odoms,TE,7,86,86,0
denver-broncos,Rob Lytle,RB,2,77,80,3
denver-broncos,Rob Nairne,OLB,2,60,63,3
denver-broncos,Ron Egloff,TE,2,63,66,3
denver-broncos,Rubin Carter,DT,4,86,87,1
denver-broncos,Steve Foley,CB,3,87,89,2
denver-broncos,Steve Watson,WR,0,63,67,4
denver-broncos,Tom Glassic,OG,3,87,89,2
denver-broncos,Tom Jackson,OLB,5,97,98,1
denver-broncos,Vince Kinney,WR,1,60,64,4
denver-broncos,Zachary Dixon,RB,0,49,53,4
detroit-lions,Al Baker,DE,1,86,90,4
detroit-lions,Amos Fowler,C,1,60,64,4
detroit-lions,Benny Ricardo,K,3,74,76,2
detroit-lions,Bo Robinson,RB,0,64,68,4
detroit-lions,Charlie Weaver,MLB,8,74,74,0
detroit-lions,Cleveland Elam,DT,4,77,78,1
detroit-lions,Dave Gallagher,DT,5,65,66,1
detroit-lions,Dave Parkin,S,0,63,67,4
detroit-lions,Dave Pureifory,DE,7,73,73,0
detroit-lions,Dave Washington,OLB,9,70,70,0
detroit-lions,David Hill,TE,3,87,89,2
detroit-lions,Dennis Franks,C,3,47,49,2
detroit-lions,Dexter Bussey,RB,5,83,84,1
detroit-lions,Don Morrison,OT,8,62,62,0
detroit-lions,Don Patterson,CB,0,62,66,4
detroit-lions,Doug English,DT,4,83,84,1
detroit-lions,Doug Jones,S,5,68,69,1
detroit-lions,Ed O'Neil,OLB,5,80,81,1
detroit-lions,Eddie Cole,OLB,0,52,56,4
detroit-lions,Eddie Lewis,CB,3,65,67,2
detroit-lions,Ernie Jackson,CB,7,70,70,0
detroit-lions,Freddie Scott,WR,5,74,75,1
detroit-lions,Garry Cobb,OLB,0,63,67,4
detroit-lions,Gene Washington,WR,9,75,75,0
detroit-lions,Homer Elias,OG,1,69,73,4
detroit-lions,Horace King,RB,4,68,69,1
detroit-lions,James Harrell,OLB,0,68,72,4
detroit-lions,James Hunter,S,3,72,74,2
detroit-lions,Jeff Komlo,QB,0,69,73,4
detroit-lions,Jimmy Allen,S,5,80,81,1
detroit-lions,Jimmy Stewart,CB,2,68,71,3
detroit-lions,Joe Reed,QB,7,67,67,0
detroit-lions,John Arnold,WR,0,53,57,4
detroit-lions,Jon Brooks,OLB,0,67,71,4
detroit-lions,Karl Baldischwiler,OT,1,73,77,4
detroit-lions,Karl Chandler,OG,5,70,71,1
detroit-lions,Keith Dorney,OT,0,66,70,4
detroit-lions,Ken Callicutt,RB,1,61,65,4
detroit-lions,Ken Ellis,CB,9,72,72,0
detroit-lions,Ken Fantetti,MLB,0,63,67,4
detroit-lions,Ken Sanders,DE,7,62,62,0
detroit-lions,Larry Swider,P,0,72,76,4
detroit-lions,Larry Tearry,C,1,70,74,4
detroit-lions,Lawrence Gaines,RB,3,64,66,2
detroit-lions,Leonard Thompson,WR,4,71,72,1
detroit-lions,Luther Blue,WR,2,66,69,3
detroit-lions,Luther Bradley,CB,1,79,83,4
detroit-lions,Rick Kane,RB,2,67,70,3
detroit-lions,Robert Woods,OT,6,72,72,0
detroit-lions,Russ Bolinger,OG,3,75,77,2
detroit-lions,Scott Hunter,QB,8,66,66,0
detroit-lions,Tom Skladany,P,1,67,71,4
detroit-lions,Tony Leonard,CB,4,68,69,1
detroit-lions,Ulysses Norris,TE,0,72,76,4
detroit-lions,Wally Pesuit,OG,3,66,68,2
detroit-lions,Walt Williams,CB,2,74,77,3
detroit-lions,William Gay,DE,1,66,70,4
green-bay-packers,Aundra Thompson,WR,2,73,76,3
green-bay-packers,Barty Smith,RB,5,76,77,1
green-bay-packers,Bob Barber,DE,3,57,59,2
green-bay-packers,Bobby Kimball,WR,0,53,57,4
green-bay-packers,Carl Barzilauskas,DT,5,74,75,1
green-bay-packers,Casey Merrill,DE,0,53,57,4
green-bay-packers,Charles Johnson,DT,0,64,68,4
green-bay-packers,Chester Marcol,K,7,74,74,0
green-bay-packers,Dave Simmons,OLB,0,65,69,4
green-bay-packers,David Beverly,P,5,82,83,1
green-bay-packers,David Whitehurst,QB,2,72,75,3
green-bay-packers,Derrel Gofourth,OG,2,78,81,3
green-bay-packers,Earl Edwards,DT,10,71,71,0
green-bay-packers,Eddie Lee Ivery,RB,0,65,69,4
green-bay-packers,Eric Torkelson,RB,5,68,69,1
green-bay-packers,Estus Hood,CB,1,70,74,4
green-bay-packers,Ezra Johnson,DE,2,77,80,3
green-bay-packers,Gary Weaver,OLB,6,72,72,0
green-bay-packers,Greg Koch,OT,2,79,82,3
green-bay-packers,Henry Monroe,CB,0,60,64,4
green-bay-packers,Howard Sampson,CB,1,60,64,4
green-bay-packers,James Lofton,WR,1,91,95,4
green-bay-packers,Jim Culbreath,RB,2,54,57,3
green-bay-packers,Jim Gueno,OLB,3,62,64,2
green-bay-packers,Joe McLaughlin,MLB,0,51,55,4
green-bay-packers,John Anderson,OLB,1,71,75,4
green-bay-packers,John Thompson,TE,0,58,62,4
green-bay-packers,Johnnie Gray,S,4,80,81,1
green-bay-packers,Larry McCarren,C,6,79,79,0
green-bay-packers,Leotis Harris,OG,1,67,71,4
green-bay-packers,Lynn Dickey,QB,8,76,76,0
green-bay-packers,Mark Koncar,OT,3,71,73,2
green-bay-packers,Melvin Jackson,OG,3,67,69,2
green-bay-packers,Mike Butler,DE,2,71,74,3
green-bay-packers,Mike Douglass,OLB,1,74,78,4
green-bay-packers,Mike Hunt,MLB,1,70,74,4
green-bay-packers,Mike McCoy,DT,9,74,74,0
green-bay-packers,Mike Wellman,C,0,47,51,4
green-bay-packers,Nate Simpson,RB,2,63,66,3
green-bay-packers,Paul Coffman,TE,1,76,80,4
green-bay-packers,Paul Rudzinski,MLB,1,52,56,4
green-bay-packers,Rich Wingo,MLB,0,66,70,4
green-bay-packers,Ricky Patton,RB,1,63,67,4
green-bay-packers,Ron Cassidy,WR,0,59,63,4
green-bay-packers,Sammy Johnson,RB,5,63,64,1
green-bay-packers,Steve Atkins,RB,0,65,69,4
green-bay-packers,Steve Luke,S,4,68,69,1
green-bay-packers,Steve Odom,WR,4,69,70,1
green-bay-packers,Steve Stewart,MLB,1,58,62,4
green-bay-packers,Steve Wagner,S,4,60,61,1
green-bay-packers,Terdell Middleton,RB,2,83,86,3
green-bay-packers,Terry Jones,DT,1,62,66,4
green-bay-packers,Timothy Stokes,OT,5,71,72,1
green-bay-packers,Tom Birney,K,0,54,58,4
green-bay-packers,Walt Landers,RB,1,49,53,4
green-bay-packers,Walter Tullis,WR,1,71,75,4
green-bay-packers,Wylie Turner,CB,0,60,64,4
houston-oilers,Andy Dorris,DE,6,76,76,0
houston-oilers,Art Stringer,MLB,2,75,78,3
houston-oilers,Bill Currier,S,2,70,73,3
houston-oilers,Billy Johnson,WR,5,66,67,1
houston-oilers,Boobie Clark,RB,7,68,68,0
houston-oilers,Carl Mauck,C,10,91,91,0
houston-oilers,Carter Hartwig,S,0,66,70,4
houston-oilers,Charles Jefferson,CB,0,67,71,4
houston-oilers,Cliff Parsley,P,2,81,84,3
houston-oilers,Conrad Rucker,TE,1,68,72,4
