year,name,pos,age,rating,potential,draft_pick,round,college,career_av,pro_bowls,ever_played,source,ordering,raise_basis
1981,Ray Stachowicz,P,22,70,74,62,3,Michigan St.,4,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Greg Meisner,DT,22,70,77,63,3,Pittsburgh,23,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,John Simmons,S,22,70,75,64,3,SMU,6,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Carlton Williamson,S,23,70,82,65,3,Pittsburgh,45,2,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Robert Cobb,DE,23,70,74,66,3,Arizona,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ken Margerum,WR,22,70,76,67,3,Stanford,11,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Randy Van Divier,OT,23,70,74,68,3,Washington,2,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Russ Grimm,OG,22,70,92,69,3,Pittsburgh,78,4,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Marvin Harvey,TE,21,70,74,70,3,Southern Miss,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Hoby Brenner,TE,22,70,81,71,3,USC,31,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Don Greco,OG,22,70,76,72,3,Western Illinois,20,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Rick Donnalley,C,22,69,76,73,3,North Carolina,24,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Tim Irwin,OT,22,69,83,74,3,Tennessee,69,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Roger Taylor,OT,23,69,73,75,3,Oklahoma St.,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mike Mosley,WR,23,69,73,76,3,Texas A&M,3,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Irvin Phillips,S,21,69,73,77,3,Arkansas Tech,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Lloyd Burruss,S,23,69,80,78,3,Maryland,45,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mike Holston,WR,23,69,74,79,3,Morgan St.,9,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Scott Woerner,S,22,69,73,80,3,Georgia,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Glen Titensor,OG,23,69,76,81,3,BYU,23,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Greg LaFleur,TE,22,69,74,82,3,LSU,6,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Robert Geathers,DT,22,69,73,83,3,South Carolina St.,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Sam Greene,WR,22,68,72,84,4,UNLV,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Cliff Chatman,RB,22,68,72,85,4,Central Oklahoma,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Al Washington,OLB,22,68,72,86,4,Ohio St.,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Scott Phillips,WR,22,68,72,87,4,BYU,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Steve Rhodes,WR,22,68,72,88,4,Oklahoma,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,John Holt,S,22,68,75,89,4,West Texas A&M,23,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Tom Flick,QB,23,68,72,90,4,Washington,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Scott Pelluer,MLB,22,68,73,91,4,Washington St.,6,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mike Robinson,DE,25,68,73,92,4,Arizona,7,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Guy Frazier,OLB,22,68,74,93,4,Wyoming,17,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Tim Sherwin,TE,23,67,72,94,4,Boston Col.,8,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Todd Bell,S,22,67,77,95,4,Ohio St.,38,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Brad Wright,QB,22,67,71,96,4,New Mexico,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ron Washington,WR,22,67,71,97,4,Arizona St.,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mark Herrmann,QB,22,67,72,98,4,Purdue,11,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Tracy Porter,WR,22,67,72,99,4,LSU,11,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Robbie Martin,WR,22,67,71,100,4,Cal Poly-San Luis Obispo,4,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,John Swain,S,22,67,74,101,4,Miami (FL),19,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Don Blackmon,OLB,23,67,76,102,4,Tulsa,39,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Amos Lawrence,RB,23,66,70,103,4,North Carolina,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,George Lilja,OG,23,66,71,104,4,Michigan,11,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Richard Turner,DT,22,66,70,105,4,Oklahoma,4,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Nick Eyre,OT,22,66,70,106,4,BYU,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Eric Sievers,TE,23,66,73,107,4,Maryland,21,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Derrie Nelson,OLB,23,66,70,108,4,Nebraska,3,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,John Scully,OG,23,66,74,109,4,Notre Dame,32,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Calvin Murray,RB,22,66,70,110,4,Ohio St.,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Johnny Robinson,DT,22,66,71,111,4,Louisiana Tech,9,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Louis Oubre,OG,23,66,72,112,5,Oklahoma,16,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Tyrone Keys,DE,20,66,71,113,5,Mississippi St.,13,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Edwin Bailey,OG,22,66,77,114,5,South Carolina St.,51,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Bill Neill,DT,22,66,72,115,5,Pittsburgh,15,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,John Gillen,MLB,22,66,70,116,5,Illinois,3,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Byron Braggs,DE,21,65,70,117,5,Alabama,9,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,James Davis,S,24,65,70,118,5,Southern,8,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Dexter Manley,DE,22,65,80,119,5,Oklahoma St.,66,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Benjie Pryor,TE,22,65,69,120,5,Pittsburgh,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Lynn Thomas,S,22,65,69,121,5,Pittsburgh,3,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Arrington Jones,RB,21,65,69,122,5,Winston-Salem St.,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Wendell Ray,DE,22,65,69,123,5,Missouri,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Todd Thomas,C,21,65,69,124,5,North Dakota,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ken Lanier,OT,22,65,78,125,5,Florida St.,62,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ken Poole,DE,22,65,69,126,5,La-Monroe,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ricky Martin,WR,22,65,69,127,5,New Mexico,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Jerry Boyarsky,DT,22,65,71,128,5,Pittsburgh,17,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Larry Lee,OG,21,65,71,129,5,UCLA,18,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Steve Clark,DE,21,65,69,130,5,Kansas St.,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Keith Ferguson,DE,22,64,74,131,5,Ohio St.,40,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Gary Sayre,OG,22,64,68,132,5,Cameron,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Delbert Fowler,OLB,22,64,68,133,5,West Virginia,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Steve Cox,P,23,64,69,134,5,Arkansas,12,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Calvin Clark,DE,22,64,68,135,5,Purdue,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Eric Sanders,OT,22,64,70,136,5,Nevada,23,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Danny Spradlin,OLB,22,64,68,137,5,Tennessee,5,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Tommy Vigorito,RB,21,64,69,138,5,Virginia,11,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Nat Hudson,OG,23,64,68,139,6,Georgia,2,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Steve Durham,DE,22,64,68,140,6,Clemson,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Andrew Gissinger,OT,22,64,70,141,6,Syracuse,14,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,John Woodring,MLB,22,64,69,142,6,Brown,12,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Dave Ahrens,MLB,22,63,70,143,6,Wisconsin,26,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Johnnie Poe,S,22,63,72,144,6,Missouri,40,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Melvin Hoover,WR,21,63,67,145,6,Arizona St.,3,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Rex Robinson,K,22,63,67,146,6,Georgia,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Pete Kugler,DT,22,63,69,147,6,Penn St.,20,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Larry Kubin,MLB,22,63,67,148,6,Penn St.,4,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Bubba Green,DT,23,63,67,149,6,North Carolina St.,2,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Reuben Henderson,S,22,63,68,150,6,San Diego St.,13,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Alvin Lewis,RB,22,63,67,151,6,Colorado St.,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mack Moore,DE,22,63,67,152,6,Texas A&M,2,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Dock Luckie,DT,22,63,67,153,6,Florida,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Fulton Walker,S,23,63,67,154,6,West Virginia,5,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Sam Johnson,S,22,63,67,155,6,Maryland,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Bryan Hinkle,OLB,22,62,74,156,6,Oregon,57,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ron Wooten,OG,22,62,71,157,6,North Carolina,37,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,William Daniels,DT,22,62,66,158,6,Alabama St.,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Bill Kay,S,21,62,67,159,6,Purdue,7,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ron Simmons,DT,22,62,66,160,6,Florida St.,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Robert Holt,WR,21,62,66,161,6,Baylor,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Bobby Duckworth,WR,22,62,67,162,6,Arkansas,16,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Vince Skillings,S,22,62,66,163,6,Ohio St.,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Harry Stanback,DE,23,61,65,164,6,North Carolina,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Edward O'Neal,RB,22,61,65,165,6,Tuskegee,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Glen Redd,MLB,23,61,67,166,6,BYU,14,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Kevin Williams,WR,23,61,65,167,7,USC,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Louis Jackson,RB,23,61,65,168,7,Cal Poly-San Luis Obispo,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Kenny Neil,DE,22,61,67,169,7,Iowa St.,16,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ron Johnson,WR,22,61,66,170,7,Long Beach St.,10,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Kevin Donnalley,S,23,61,65,171,7,North Dakota St.,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Bill Whitaker,S,22,61,65,172,7,Missouri,2,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ron Fellows,S,22,61,69,173,7,Missouri,29,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Alan Duncan,K,22,61,65,174,7,Tennessee,,0,no,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ron Battle,TE,22,61,65,175,7,North Texas,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Jeff Schuh,OLB,23,61,67,176,7,Minnesota,13,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
