name,pos,age,franchise,group,rating,basis,archive_file,fit_r,fit_mean_abs_error
Ken Moore,TE,24,Jacksonville Sharks,young,58,"prospect band, ordered by age (the only signal they carry)",,,
Leo Biedermann,OT,23,Jacksonville Sharks,young,66,"prospect band, ordered by age (the only signal they carry)",,,
Frank Chesley,LB,23,Jacksonville Sharks,young,63,"prospect band, ordered by age (the only signal they carry)",,,
Danny Johnson,LB,23,Jacksonville Sharks,young,61,"prospect band, ordered by age (the only signal they carry)",,,
James Van Wagner,RB,23,Jacksonville Sharks,young,64,"prospect band, ordered by age (the only signal they carry)",,,
Warren Anderson,WR,23,Jacksonville Sharks,young,67,"prospect band, ordered by age (the only signal they carry)",,,
Larry Franklin,WR,23,Jacksonville Sharks,young,65,"prospect band, ordered by age (the only signal they carry)",,,
Brett Moritz,OG,23,Indianapolis Racers,young,60,"prospect band, ordered by age (the only signal they carry)",,,
Willie Taylor,WR,22,Jacksonville Sharks,young,77,"prospect band, ordered by age (the only signal they carry)",,,
Tom Jurich,K,22,Jacksonville Sharks,young,74,"prospect band, ordered by age (the only signal they carry)",,,
Rusty Rebowe,LB,22,Jacksonville Sharks,young,73,"prospect band, ordered by age (the only signal they carry)",,,
Randy Gill,LB,22,Jacksonville Sharks,young,71,"prospect band, ordered by age (the only signal they carry)",,,
Mark Manges,QB,22,Jacksonville Sharks,young,70,"prospect band, ordered by age (the only signal they carry)",,,
David Posey,K,22,Indianapolis Racers,young,69,"prospect band, ordered by age (the only signal they carry)",1958-1980SAVEGAME.DAT,,
