cohort,name,pos,team,appearance,skin_source,skin_agreement,hair_source,band
spine,Jeff Van Note,C,atlanta-falcons,Head1c Eyes1e Hair1s Beard1d Eyebrows1a Nose1b Mouth1a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Jeff Yeates,DE,atlanta-falcons,Head1a Eyes1c Hair3b Beard3e Eyebrows3b Nose1b Mouth1b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Jerome King,CB,atlanta-falcons,Head4a Eyes1a Hair1i Beard1f1 Eyebrows1a Nose4c Mouth4b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Jim Mitchell,TE,atlanta-falcons,Head3c Eyes1c Hair1f Beard1g Eyebrows1a Nose3c Mouth3b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Joel Williams,OLB,atlanta-falcons,Head5a Eyes1c Hair1a Beard1g Eyebrows1b Nose5d Mouth5b Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,John James,P,atlanta-falcons,Head1c Eyes1c Hair3f Beard3c Eyebrows3b Nose1d Mouth1a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,June Jones,QB,atlanta-falcons,Head2a Eyes1a Hair3g Beard3f2 Eyebrows3a Nose2b Mouth2b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Lynn Cain,RB,atlanta-falcons,Head5a Eyes1e Hair1d Beard1d Eyebrows1b Nose5d Mouth5a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Mike Kenn,OT,atlanta-falcons,Head1b Eyes1b Hair4f Beard4f1 Eyebrows4b Nose1b Mouth1b Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Mike Lewis,DT,atlanta-falcons,Head2d Eyes1b Hair1d Beard1f1 Eyebrows1a Nose2a Mouth2a Glasses1e Clothes2,"PSKI 1 bimodal -> abstain, league prior",0.00,PHCL NFL79,light
spine,Mike Moroski,QB,atlanta-falcons,Head2a Eyes1a Hair3e Beard3e Eyebrows3a Nose2a Mouth2a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Mike Zele,DT,atlanta-falcons,Head3a Eyes1b Hair3i Beard3f1 Eyebrows3b Nose3a Mouth3a Glasses1e Clothes1,archive era-majority,0.67,PHCL NFL79,light
spine,Pat Howell,OG,atlanta-falcons,Head1a Eyes1d Hair3h Beard3g Eyebrows3b Nose1a Mouth1a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Paul Ryczek,C,atlanta-falcons,Head1a Eyes1b Hair3k Beard3b Eyebrows3b Nose1a Mouth1b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Phil McKinnely,OT,atlanta-falcons,Head5a Eyes1b Hair1h Beard1g Eyebrows1a Nose5d Mouth5b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,R.C. Thielemann,OG,atlanta-falcons,Head2a Eyes1b Hair1a Beard1d Eyebrows1a Nose2c Mouth2b Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Ray Easterling,S,atlanta-falcons,Head5c Eyes1c Hair3i Beard3e Eyebrows3b Nose5b Mouth5a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Ray Strong,RB,atlanta-falcons,Head4a Eyes1a Hair1r2 Beard1e Eyebrows1b Nose4a Mouth4a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Rick Byas,CB,atlanta-falcons,Head5a Eyes1d Hair1l Beard1f1 Eyebrows1a Nose5b Mouth5b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Robert Pennywell,MLB,atlanta-falcons,Head5a Eyes1a Hair1o Beard1b Eyebrows1a Nose5b Mouth5b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Rolland Lawrence,CB,atlanta-falcons,Head5a Eyes1c Hair1r1 Beard1g Eyebrows1a Nose5a Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Ronnie McCartney,MLB,atlanta-falcons,Head5a Eyes1c Hair1r1 Beard1d Eyebrows1b Nose5c Mouth5a Glasses1e Clothes1,no source -> league prior,0.00,generated,dark
spine,Russ Mikeska,TE,atlanta-falcons,Head1a Eyes1b Hair3c Beard3c Eyebrows3b Nose1d Mouth1a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Steve Bartkowski,QB,atlanta-falcons,Head2a Eyes1b Hair3b Beard3g Eyebrows3a Nose2b Mouth2a Glasses1e Clothes2,registry-1986 family,1.00,registry-1986 (whole),light
spine,Tim Mazzetti,K,atlanta-falcons,Head1a Eyes1a Hair2a Beard2f2 Eyebrows2a Nose1a Mouth1b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Tom Moriarty,CB,atlanta-falcons,Head2a Eyes1d Hair3d Beard3a Eyebrows3b Nose2d Mouth2b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Tom Pridemore,S,atlanta-falcons,Head5a Eyes1a Hair1c Beard1g Eyebrows1a Nose5c Mouth5a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Tony Daykin,OLB,atlanta-falcons,Head2a Eyes1c Hair1i Beard1g Eyebrows1a Nose2d Mouth2a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Wally Francis,WR,atlanta-falcons,Head5a Eyes1c Hair4e Beard4e Eyebrows4b Nose5a Mouth5a Glasses1e Clothes1,archive era-majority,1.00,generated,dark
spine,Warren Bryant,OT,atlanta-falcons,Head5b Eyes1a Hair1f Beard1d Eyebrows1b Nose5a Mouth5b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,William Andrews,RB,atlanta-falcons,Head5a Eyes1b Hair3h Beard3e Eyebrows3a Nose5d Mouth5a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Wilson Faumuina,DT,atlanta-falcons,Head4b Eyes1a Hair1g Beard1a Eyebrows1a Nose4b Mouth4a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Barry Krauss,MLB,baltimore-colts,Head3a Eyes1c Hair3a Beard3b Eyebrows3a Nose3b Mouth3a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Ben Garry,RB,baltimore-colts,Head5a Eyes1c Hair1r2 Beard1f1 Eyebrows1b Nose5d Mouth5b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Bert Jones,QB,baltimore-colts,Head1a Eyes1e Hair3l Beard3g Eyebrows3b Nose1b Mouth1b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Bob Pratt,OG,baltimore-colts,Head1a Eyes1c Hair5k Beard5c Eyebrows5a Nose1a Mouth1b Glasses1e Clothes1,archive era-majority,1.00,generated,light
spine,Bob Van Duyne,OT,baltimore-colts,Head1a Eyes1d Hair2j Beard2a Eyebrows2b Nose1d Mouth1a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Brian DeRoo,WR,baltimore-colts,Head1a Eyes1d Hair2k Beard2g Eyebrows2a Nose1c Mouth1b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Bruce Laird,S,baltimore-colts,Head3a Eyes1a Hair3f Beard3f1 Eyebrows3b Nose3d Mouth3b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Bucky Dilts,P,baltimore-colts,Head3a Eyes1e Hair3f Beard3d Eyebrows3b Nose3a Mouth3a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,David Taylor,OT,baltimore-colts,Head1a Eyes1a Hair3a Beard3g Eyebrows3a Nose1b Mouth1b Glasses1e Clothes2,archive era-majority,1.00,PHCL 1976 mod,light
spine,Don Hardeman,RB,baltimore-colts,Head5a Eyes1b Hair1o Beard1b Eyebrows1b Nose5d Mouth5b Glasses1e Clothes1,NFL79 PSKI 2 (73%),0.73,PHCL NFL79,dark
spine,Don McCauley,RB,baltimore-colts,Head1c Eyes1a Hair3a Beard3d Eyebrows3a Nose1c Mouth1a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Doug Nettles,CB,baltimore-colts,Head4a Eyes1d Hair1e Beard1c Eyebrows1a Nose4d Mouth4a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Dwight Harrison,CB,baltimore-colts,Head5c Eyes1c Hair1g Beard1a Eyebrows1a Nose5d Mouth5a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Ed Simonini,MLB,baltimore-colts,Head1a Eyes1d Hair1j Beard1c Eyebrows1a Nose1a Mouth1b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Fred Cook,DE,baltimore-colts,Head5a Eyes1e Hair1a Beard1a Eyebrows1a Nose5d Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Glenn Doughty,WR,baltimore-colts,Head5c Eyes1e Hair1g Beard1d Eyebrows1b Nose5a Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Greg Fields,DE,baltimore-colts,Head5b Eyes1d Hair1r2 Beard1d Eyebrows1b Nose5b Mouth5b Glasses1e Clothes1,NFL79 PSKI 2 (73%),0.73,PHCL NFL79,dark
spine,Greg Landry,QB,baltimore-colts,Head1c Eyes1e Hair3h Beard3g Eyebrows3a Nose1b Mouth1a Glasses1e Clothes2,archive era-majority,1.00,generated,light
spine,Herb Orvis,DT,baltimore-colts,Head4c Eyes1a Hair3e Beard3a Eyebrows3b Nose4d Mouth4a Glasses1e Clothes1,"PSKI 1 bimodal -> abstain, league prior",0.00,PHCL NFL79,dark
spine,Jeff Hart,OT,baltimore-colts,Head5b Eyes1a Hair3l Beard3e Eyebrows3b Nose5b Mouth5a Glasses1e Clothes1,archive season-majority,0.75,PHCL NFL79,dark
spine,Jerry Golsteyn,QB,baltimore-colts,Head2a Eyes1a Hair3k Beard3c Eyebrows3a Nose2c Mouth2a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Jim Krahl,DT,baltimore-colts,Head1a Eyes1d Hair3l Beard3c Eyebrows3b Nose1b Mouth1b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Joe Ehrmann,DT,baltimore-colts,Head1c Eyes1d Hair3c Beard3a Eyebrows3b Nose1d Mouth1a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Joe Washington,RB,baltimore-colts,Head5a Eyes1b Hair1f Beard1d Eyebrows1a Nose5d Mouth5a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Ken Huff,OG,baltimore-colts,Head1b Eyes1a Hair3j Beard3b Eyebrows3a Nose1b Mouth1b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Ken Mendenhall,C,baltimore-colts,Head5c Eyes1c Hair3c Beard3f2 Eyebrows3a Nose5d Mouth5b Glasses1e Clothes1,"PSKI 1 bimodal -> abstain, league prior",0.00,PHCL NFL79,dark
spine,Larry Braziel,CB,baltimore-colts,Head5a Eyes1e Hair3d Beard3g Eyebrows3b Nose5a Mouth5a Glasses1e Clothes2,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Lee Gross,C,baltimore-colts,Head3a Eyes1d Hair3l Beard3c Eyebrows3b Nose3c Mouth3a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Lyle Blackwood,S,baltimore-colts,Head4a Eyes1d Hair5j Beard5f2 Eyebrows5b Nose4a Mouth4a Glasses1e Clothes2,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Mack Alston,TE,baltimore-colts,Head4c Eyes1a Hair1k Beard1a Eyebrows1b Nose4c Mouth4a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Mike Barnes,DT,baltimore-colts,Head2a Eyes1a Hair3g Beard3e Eyebrows3a Nose2b Mouth2b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Mike Ozdowski,DE,baltimore-colts,Head1a Eyes1d Hair3c Beard3c Eyebrows3b Nose1c Mouth1a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Mike Siani,WR,baltimore-colts,Head1a Eyes1a Hair1m Beard1f2 Eyebrows1b Nose1a Mouth1b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Mike Woods,OLB,baltimore-colts,Head5a Eyes1e Hair1a Beard1f1 Eyebrows1b Nose5b Mouth5b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Nesby Glasgow,S,baltimore-colts,Head5a Eyes1a Hair1n Beard1c Eyebrows1b Nose5d Mouth5a Glasses1e Clothes2,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Norm Thompson,CB,baltimore-colts,Head4c Eyes1a Hair1n Beard1c Eyebrows1b Nose4c Mouth4b Glasses1e Clothes2,archive all-time tiebreak,1.00,PHCL NFL79,dark
spine,Randy Burke,WR,baltimore-colts,Head2a Eyes1e Hair2h Beard2d Eyebrows2a Nose2a Mouth2b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Reese McCall,TE,baltimore-colts,Head4a Eyes1a Hair3h Beard3g Eyebrows3b Nose4b Mouth4b Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Reggie Pinkney,CB,baltimore-colts,Head5a Eyes1b Hair1h Beard1e Eyebrows1a Nose5a Mouth5b Glasses1e Clothes2,NFL79 PSKI 2 (73%),0.73,PHCL NFL79,dark
spine,Roger Carr,WR,baltimore-colts,Head2a Eyes1d Hair3a Beard3e Eyebrows3a Nose2b Mouth2a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Ron Baker,OG,baltimore-colts,Head2b Eyes1d Hair2b Beard2b Eyebrows2a Nose2a Mouth2b Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Ron Fernandes,DE,baltimore-colts,Head5a Eyes1a Hair3a Beard3b Eyebrows3a Nose5c Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Roosevelt Leaks,RB,baltimore-colts,Head5a Eyes1d Hair1g Beard1a Eyebrows1a Nose5c Mouth5b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Sanders Shiver,OLB,baltimore-colts,Head4a Eyes1d Hair1k Beard1a Eyebrows1b Nose4b Mouth4b Glasses1e Clothes1,archive season-majority,0.80,PHCL NFL79,dark
spine,Stan White,OLB,baltimore-colts,Head2c Eyes1a Hair3j Beard3f2 Eyebrows3b Nose2d Mouth2a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Steve Mike-Mayer,K,baltimore-colts,Head3c Eyes1b Hair3k Beard3f1 Eyebrows3a Nose3a Mouth3a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Steve Zabel,OLB,baltimore-colts,Head3c Eyes1e Hair1f Beard1f1 Eyebrows1a Nose3a Mouth3b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Wade Griffin,OT,baltimore-colts,Head4b Eyes1a Hair1c Beard1f2 Eyebrows1a Nose4b Mouth4b Glasses1e Clothes1,archive era-majority,0.67,PHCL NFL79,dark
spine,Ben Williams,DE,buffalo-bills,Head5a Eyes1b Hair1e Beard1g Eyebrows1a Nose5a Mouth5a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Bill Munson,QB,buffalo-bills,Head2c Eyes1a Hair3g Beard3d Eyebrows3b Nose2d Mouth2b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Bob Chandler,WR,buffalo-bills,Head1c Eyes1d Hair3k Beard3f2 Eyebrows3b Nose1a Mouth1a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Charles Romes,CB,buffalo-bills,Head4a Eyes1e Hair1h Beard1g Eyebrows1b Nose4a Mouth4a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Chris Keating,OLB,buffalo-bills,Head1a Eyes1d Hair3e Beard3g Eyebrows3a Nose1c Mouth1b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Curtis Brown,RB,buffalo-bills,Head5a Eyes1c Hair1g Beard1c Eyebrows1b Nose5d Mouth5b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Dan Jilek,OLB,buffalo-bills,Head3a Eyes1e Hair5c Beard5f2 Eyebrows5b Nose3c Mouth3b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Dan Manucci,QB,buffalo-bills,Head5a Eyes1e Hair3j Beard3a Eyebrows3a Nose5b Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Danny Fulton,WR,buffalo-bills,Head4a Eyes1d Hair1l Beard1a Eyebrows1a Nose4c Mouth4b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Dee Hardison,DT,buffalo-bills,Head4b Eyes1d Hair1s Beard1b Eyebrows1a Nose4c Mouth4b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Dennis Johnson,RB,buffalo-bills,Head5b Eyes1c Hair1b Beard1d Eyebrows1b Nose5a Mouth5b Glasses1e Clothes2,archive season-majority,0.92,PHCL 1976 mod,dark
spine,Doug Greene,S,buffalo-bills,Head5a Eyes1e Hair1g Beard1b Eyebrows1a Nose5d Mouth5b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Ed Fulton,OG,buffalo-bills,Head1a Eyes1b Hair1m Beard1a Eyebrows1b Nose1b Mouth1b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Frank Lewis,WR,buffalo-bills,Head4c Eyes1c Hair1o Beard1b Eyebrows1a Nose4d Mouth4a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Fred Smerlas,DT,buffalo-bills,Head3b Eyes1e Hair3l Beard3a Eyebrows3b Nose3d Mouth3b Glasses1e Clothes2,registry-1986 family,1.00,registry-1986 (whole),light
spine,Isiah Robertson,OLB,buffalo-bills,Head4c Eyes1c Hair1d Beard1b Eyebrows1a Nose4a Mouth4a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Jeff Nixon,S,buffalo-bills,Head1a Eyes1e Hair3d Beard3a Eyebrows3a Nose1b Mouth1a Glasses1e Clothes1,archive era-majority,0.67,PHCL NFL79,light
spine,Jerry Butler,WR,buffalo-bills,Head5a Eyes1e Hair1f Beard1b Eyebrows1b Nose5d Mouth5b Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Jim Haslett,MLB,buffalo-bills,Head1a Eyes1c Hair1h Beard1g Eyebrows1a Nose1d Mouth1a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Joe DeLamielleure,OG,buffalo-bills,Head1a Eyes1d Hair3e Beard3e Eyebrows3a Nose1c Mouth1b Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Joe Devlin,OT,buffalo-bills,Head1a Eyes1a Hair1k Beard1e Eyebrows1a Nose1a Mouth1b Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Joe Ferguson,QB,buffalo-bills,Head3a Eyes1e Hair3a Beard3f1 Eyebrows3a Nose3c Mouth3a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),light
spine,Jon Borchardt,OT,buffalo-bills,Head1b Eyes1d Hair2l Beard2b Eyebrows2a Nose1b Mouth1a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Joseph Shipp,TE,buffalo-bills,Head1a Eyes1c Hair3e Beard3f1 Eyebrows3b Nose1a Mouth1b Glasses1e Clothes1,no source -> league prior,0.00,generated,light
spine,Keith Moody,CB,buffalo-bills,Head4a Eyes1d Hair1j Beard1d Eyebrows1a Nose4c Mouth4b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Ken Johnson,DE,buffalo-bills,Head4a Eyes1c Hair1b Beard1g Eyebrows1a Nose4b Mouth4a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Ken Jones,OT,buffalo-bills,Head5a Eyes1c Hair1r2 Beard1f1 Eyebrows1b Nose5b Mouth5b Glasses1e Clothes2,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Leonard Willis,WR,buffalo-bills,Head5a Eyes1e Hair1s Beard1c Eyebrows1a Nose5a Mouth5a Glasses1e Clothes1,"PSKI 1 bimodal -> abstain, league prior",0.00,PHCL NFL79,dark
spine,Lou Piccone,WR,buffalo-bills,Head1c Eyes1b Hair3h Beard3c Eyebrows3a Nose1a Mouth1b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Lucius Sanford,OLB,buffalo-bills,Head4a Eyes1b Hair1n Beard1f1 Eyebrows1b Nose4a Mouth4a Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Mario Clark,CB,buffalo-bills,Head5a Eyes1e Hair1r2 Beard1e Eyebrows1a Nose5c Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Mike Collier,RB,buffalo-bills,Head4a Eyes1a Hair1k Beard1b Eyebrows1a Nose4d Mouth4b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Mike Kadish,DT,buffalo-bills,Head3b Eyes1b Hair2e Beard2f1 Eyebrows2a Nose3c Mouth3a Glasses1e Clothes1,archive all-time tiebreak,1.00,PHCL NFL79,light
spine,Nick Mike-Mayer,K,buffalo-bills,Head1a Eyes1e Hair1b Beard1g Eyebrows1b Nose1b Mouth1a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Reggie McKenzie,OG,buffalo-bills,Head5a Eyes1a Hair1j Beard1d Eyebrows1b Nose5d Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Reuben Gant,TE,buffalo-bills,Head1a Eyes1a Hair1a Beard1f1 Eyebrows1a Nose1d Mouth1b Glasses1e Clothes1,"PSKI 1 bimodal -> abstain, league prior",0.00,PHCL NFL79,light
spine,Roland Hooks,RB,buffalo-bills,Head5a Eyes1c Hair1h Beard1c Eyebrows1b Nose5b Mouth5b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Ron Howard,TE,buffalo-bills,Head5a Eyes1d Hair1l Beard1b Eyebrows1b Nose5a Mouth5b Glasses1e Clothes2,NFL79 PSKI 2 (73%),0.73,PHCL NFL79,dark
spine,Rusty Jackson,P,buffalo-bills,Head2a Eyes1b Hair3k Beard3a Eyebrows3a Nose2a Mouth2a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Scott Hutchinson,DE,buffalo-bills,Head2a Eyes1a Hair2j Beard2a Eyebrows2b Nose2a Mouth2a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Shane Nelson,MLB,buffalo-bills,Head1a Eyes1a Hair3e Beard3f1 Eyebrows3a Nose1b Mouth1b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Sherman White,DE,buffalo-bills,Head4c Eyes1e Hair1e Beard1f1 Eyebrows1a Nose4b Mouth4b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Steve Freeman,S,buffalo-bills,Head5a Eyes1e Hair1r1 Beard1g Eyebrows1a Nose5d Mouth5b Glasses1e Clothes1,registry-1986 family,1.00,registry-1986 (whole),dark
spine,Steve Powell,RB,buffalo-bills,Head3a Eyes1c Hair1d Beard1f1 Eyebrows1a Nose3d Mouth3b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
spine,Terry Miller,RB,buffalo-bills,Head4a Eyes1b Hair1k Beard1g Eyebrows1b Nose4a Mouth4b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
