"For each man below: look at the photos, then write one of these in the verdict column."
light   dark   middle   skip
Use middle if he is genuinely between the two. Use skip if the photos do not let you tell.

name,position,team,season,archive_says,archive_votes,archive_source,mike_says,mike_files,verdict,photos
Dan Ross,TE,Cincinnati Bengals,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Dan%20Ross%20TE%20Cincinnati%20Bengals%201979%20NFL
Tom Pridemore,S,Atlanta Falcons,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Tom%20Pridemore%20S%20Atlanta%20Falcons%201979%20NFL
Doug Cosbie,TE,Dallas Cowboys,1979,dark,2 of 2,registry-1986,light,"NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Doug%20Cosbie%20TE%20Dallas%20Cowboys%201979%20NFL
Mike Kozlowski,S,Miami Dolphins,1979,dark,2 of 2,registry-1986,light,"1976, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Mike%20Kozlowski%20S%20Miami%20Dolphins%201979%20NFL
Trey Junkin,TE,Los Angeles Raiders,1986,dark,2 of 2,registry-1986,light,"1996, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Trey%20Junkin%20TE%20Los%20Angeles%20Raiders%201986%20NFL
Steve Watson,WR,Denver Broncos,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Steve%20Watson%20WR%20Denver%20Broncos%201979%20NFL
Dwight Clark,WR,San Francisco 49ers,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Dwight%20Clark%20WR%20San%20Francisco%2049ers%201979%20NFL
Rick Kane,RB,Detroit Lions,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Rick%20Kane%20RB%20Detroit%20Lions%201979%20NFL
Neil O'Donoghue,K,Tampa Bay Buccaneers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979, NFL1980-1989",,https://www.google.com/search?tbm=isch&q=Neil%20O%27Donoghue%20K%20Tampa%20Bay%20Buccaneers%201979%20NFL
Tom Beasley,DE,Pittsburgh Steelers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Tom%20Beasley%20DE%20Pittsburgh%20Steelers%201979%20NFL
Gordon King,OT,New York Giants,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Gordon%20King%20OT%20New%20York%20Giants%201979%20NFL
John Anderson,OLB,Green Bay Packers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=John%20Anderson%20OLB%20Green%20Bay%20Packers%201979%20NFL
Derrick Jensen,RB,Oakland Raiders,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Derrick%20Jensen%20RB%20Oakland%20Raiders%201979%20NFL
Jeff Groth,WR,Houston Oilers,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Jeff%20Groth%20WR%20Houston%20Oilers%201979%20NFL
Matt Herkenhoff,OT,Kansas City Chiefs,1979,dark,2 of 2,registry-1986,light,"1976, 1978",,https://www.google.com/search?tbm=isch&q=Matt%20Herkenhoff%20OT%20Kansas%20City%20Chiefs%201979%20NFL
Marty Lyons,DE,New York Jets,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Marty%20Lyons%20DE%20New%20York%20Jets%201979%20NFL
Ken Fantetti,MLB,Detroit Lions,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Ken%20Fantetti%20MLB%20Detroit%20Lions%201979%20NFL
John Sawyer,TE,(expansion franchise),1979,dark,2 of 2,registry-1986,light,"1976, 1978",,https://www.google.com/search?tbm=isch&q=John%20Sawyer%20TE%201979%20NFL
Mark Dennard,C,Miami Dolphins,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Mark%20Dennard%20C%20Miami%20Dolphins%201979%20NFL
Cliff Thrift,MLB,San Diego Chargers,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Cliff%20Thrift%20MLB%20San%20Diego%20Chargers%201979%20NFL
Tom Condon,OG,Kansas City Chiefs,1979,dark,2 of 2,registry-1986,light,"1976, 1978",,https://www.google.com/search?tbm=isch&q=Tom%20Condon%20OG%20Kansas%20City%20Chiefs%201979%20NFL
Dennis Swilley,C,Minnesota Vikings,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979",,https://www.google.com/search?tbm=isch&q=Dennis%20Swilley%20C%20Minnesota%20Vikings%201979%20NFL
Steve Kreider,WR,Cincinnati Bengals,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Steve%20Kreider%20WR%20Cincinnati%20Bengals%201979%20NFL
Kurt Allerman,MLB,St. Louis Cardinals,1979,dark,2 of 2,registry-1986,light,1978,,https://www.google.com/search?tbm=isch&q=Kurt%20Allerman%20MLB%20St.%20Louis%20Cardinals%201979%20NFL
Curtis Jordan,S,Tampa Bay Buccaneers,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1970-1974, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Curtis%20Jordan%20S%20Tampa%20Bay%20Buccaneers%201979%20NFL
Derland Moore,DT,New Orleans Saints,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Derland%20Moore%20DT%20New%20Orleans%20Saints%201979%20NFL
Russ Francis,TE,New England Patriots,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Russ%20Francis%20TE%20New%20England%20Patriots%201979%20NFL
Neal Olkewicz,MLB,Washington Redskins,1979,dark,2 of 2,registry-1986,light,"NFL1970-1974, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Neal%20Olkewicz%20MLB%20Washington%20Redskins%201979%20NFL
Bob Nelson,MLB,San Francisco 49ers,1979,dark,2 of 2,registry-1986,light,"1976, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Bob%20Nelson%20MLB%20San%20Francisco%2049ers%201979%20NFL
Russ Bolinger,OG,Detroit Lions,1979,dark,2 of 2,registry-1986,light,"1976, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Russ%20Bolinger%20OG%20Detroit%20Lions%201979%20NFL
Gary Danielson,QB,(expansion franchise),1979,light,2 of 2,registry-1986,dark,"1976, 1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Gary%20Danielson%20QB%201979%20NFL
Seth Joyner,OLB,Philadelphia Eagles,1986,light,2 of 2,1986 export,dark,"1996, NFL1975-1979, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Seth%20Joyner%20OLB%20Philadelphia%20Eagles%201986%20NFL
Steve Wallace,OT,San Francisco 49ers,1986,light,2 of 2,1986 export,dark,"1996, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Steve%20Wallace%20OT%20San%20Francisco%2049ers%201986%20NFL
Ken Lanier,OT,Denver Broncos,1986,light,1 of 1,registry-1986,dark,"NFL1970-1974, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Ken%20Lanier%20OT%20Denver%20Broncos%201986%20NFL
Roy Foster,OG,Miami Dolphins,1986,light,1 of 1,registry-1986,dark,"1976, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Roy%20Foster%20OG%20Miami%20Dolphins%201986%20NFL
Bob Jury,CB,(expansion franchise),1979,light,1 of 1,NFL79 PSKI,dark,"1978, NFL1970-1974, NFL1975-1979",,https://www.google.com/search?tbm=isch&q=Bob%20Jury%20CB%201979%20NFL
Too Tall Jones,DE,(expansion franchise),1979,light,1 of 1,registry-1986,dark,"NFL1975-1979, NFL1980-1989, USFL_WFL",,https://www.google.com/search?tbm=isch&q=Too%20Tall%20Jones%20DE%201979%20NFL
Brian Holloway,OT,New England Patriots,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Brian%20Holloway%20OT%20New%20England%20Patriots%201986%20NFL
Phil Dokes,DT,(expansion franchise),1979,light,1 of 1,NFL79 PSKI,dark,"1966, 1978, USFL_WFL",,https://www.google.com/search?tbm=isch&q=Phil%20Dokes%20DT%201979%20NFL
Steve Jordan,TE,Minnesota Vikings,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Steve%20Jordan%20TE%20Minnesota%20Vikings%201986%20NFL
John Alexander,DE,(expansion franchise),1979,light,1 of 1,NFL79 PSKI,dark,"1978, NFL1975-1979, MuscleLM67",,https://www.google.com/search?tbm=isch&q=John%20Alexander%20DE%201979%20NFL
Steve Moore,OT,New England Patriots,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Steve%20Moore%20OT%20New%20England%20Patriots%201986%20NFL
Andy Headen,OLB,New York Giants,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Andy%20Headen%20OLB%20New%20York%20Giants%201986%20NFL
Robbie Jones,MLB,New York Giants,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Robbie%20Jones%20MLB%20New%20York%20Giants%201986%20NFL
James Davis,S,Los Angeles Raiders,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=James%20Davis%20S%20Los%20Angeles%20Raiders%201986%20NFL
Larry Flowers,S,(expansion franchise),1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Larry%20Flowers%20S%201986%20NFL
Donnie Hickman,OG,(expansion franchise),1979,light,1 of 1,NFL79 PSKI,dark,"1978, USFL_WFL",,https://www.google.com/search?tbm=isch&q=Donnie%20Hickman%20OG%201979%20NFL
Herb Lusk,RB,(expansion franchise),1979,light,1 of 1,NFL79 PSKI,dark,"1976, 1978",,https://www.google.com/search?tbm=isch&q=Herb%20Lusk%20RB%201979%20NFL
Byron Hunt,OLB,New York Giants,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Byron%20Hunt%20OLB%20New%20York%20Giants%201986%20NFL
Andy Bolton,RB,(expansion franchise),1979,light,1 of 1,NFL79 PSKI,dark,"1976, 1978",,https://www.google.com/search?tbm=isch&q=Andy%20Bolton%20RB%201979%20NFL
Darryl Haley,OT,New England Patriots,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Darryl%20Haley%20OT%20New%20England%20Patriots%201986%20NFL
Johnnie Johnson,S,Los Angeles Rams,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Johnnie%20Johnson%20S%20Los%20Angeles%20Rams%201986%20NFL
Lester Williams,DT,(expansion franchise),1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Lester%20Williams%20DT%201986%20NFL
Irv Pankey,OT,Los Angeles Rams,1986,light,1 of 1,registry-1986,dark,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Irv%20Pankey%20OT%20Los%20Angeles%20Rams%201986%20NFL
