name,pos,age,g,povr,team78,college,where,reason,detail,key
Reggie Haynes,TE,24,14,82,washington-redskins,Nevada-Las Vegas,invented franchise,SOURCE CONFLICT,Wikipedia infobox: Washington 1977-1979. footballdb does not list him in 1979,reggie haynes
Harold McLinton,LB,31,16,82,washington-redskins,Southern,invented franchise,CAREER ENDED AFTER 1978,career span: Washington 1969-1978 (died Oct 1980),harold mclinton
George Kunz,OT,31,1,81,baltimore-colts,Notre Dame,real 1979 team,INJURY,back injury in game 1 of 1978 cost the rest of 1978 and all of 1979,george kunz
Dave Rowe,DT,33,14,81,baltimore-colts,Penn State,invented franchise,CAREER ENDED AFTER 1978,career span: last 1978,dave rowe
Zenon Andrusyshyn,P,31,16,81,kansas-city-chiefs,UCLA,invented franchise,RELEASED then CFL,waived 21 Aug 1979 behind Bob Grupp; Hamilton (CFL) 7 Sept 1979,zenon andrusyshyn
Andre Tillman,TE,26,16,81,miami-dolphins,Texas Tech,invented franchise,CAREER ENDED AFTER 1978,career span: Miami 1974-1978,andre tillman
Sidney Brown,DB,22,16,81,new-england-patriots,Oklahoma,invented franchise,UNRESOLVED,,sidney brown
Ken Payne,WR,28,16,81,philadelphia-eagles,Langston,invented franchise,UNRESOLVED,,ken payne
Bo Rather,WR,28,9,80,chicago-bears,Michigan,invented franchise,SOURCE CONFLICT,Wikipedia: back with Miami for the last 3 games of 1979. footballdb does not list him,bo rather
Skip Vanderbundt,LB,31,15,80,new-orleans-saints,Oregon State,invented franchise,CAREER ENDED AFTER 1978,"career span: SF 1969-77, NO 1978",skip vanderbundt
John Outlaw,DB,33,14,80,philadelphia-eagles,Jackson State,invented franchise,CAREER ENDED AFTER 1978,career span: Philadelphia 1973-1978,john outlaw
Ray Pinney,OT,24,13,80,pittsburgh-steelers,Washington,real 1979 team,INJURY,missed all of 1979 injured; returned 1980 at left guard,ray pinney
David Lee,P,34,16,79,baltimore-colts,Louisiana Tech,Madden FA pool,RETIRED,retired after 1978,david lee
Tom Graham,LB,28,11,79,buffalo-bills,Oregon,invented franchise,CAREER ENDED AFTER 1978,career span: last 1978,tom graham
Barry Darrow,OT,28,16,79,cleveland-browns,Montana,invented franchise,CAREER ENDED AFTER 1978,career span: Cleveland 1974-1978,barry darrow
Mike Montler,C,34,4,79,detroit-lions,Colorado,invented franchise,CAREER ENDED AFTER 1978,career span: Detroit 1978,mike montler
Fran Tarkenton,QB,38,16,,minnesota-vikings,Georgia,no Madden record,RETIRED,"retired after 1978 as NFL career leader in passing yards, TDs, completions",fran tarkenton
Fred Biletnikoff,WR,35,16,,oakland-raiders,Florida State,no Madden record,RELEASED then CFL,released by Oakland after 1978; played 1980 in the CFL for Montreal,fred biletnikoff
