team,name,pos,rating,salary,guarantee,length,eSalary,eGuarantee,eLength,greed,loyalty,ambition
baltimore-colts,Joe Ehrmann,DT,78,4831836,289910,1,4831836,289910,1,4,7,14
baltimore-colts,Joe Washington,RB,85,9161922,549715,1,9161922,549715,1,4,7,15
baltimore-colts,Ken Huff,OG,79,4818513,289111,1,4818513,289111,1,4,7,15
baltimore-colts,Ken Mendenhall,C,77,4372789,262367,1,4372789,262367,1,4,7,15
baltimore-colts,Larry Braziel,CB,72,1886840,396236,4,1886840,396236,4,4,7,15
baltimore-colts,Lee Gross,C,47,1019627,61178,1,1019627,61178,1,4,7,15
baltimore-colts,Lyle Blackwood,S,82,5280361,475232,2,5280361,475232,2,5,7,15
baltimore-colts,Mack Alston,TE,66,2482980,148979,1,2482980,148979,1,5,7,15
baltimore-colts,Mike Barnes,DT,81,5589126,335348,1,5589126,335348,1,5,7,16
baltimore-colts,Mike Ozdowski,DE,65,2024690,161975,3,2024690,161975,3,5,7,16
baltimore-colts,Mike Siani,WR,73,3487497,313875,2,3487497,313875,2,5,7,16
baltimore-colts,Mike Woods,OLB,57,939894,197378,4,939894,197378,4,5,7,16
baltimore-colts,Nesby Glasgow,S,63,1154938,242537,4,1154938,242537,4,5,7,16
baltimore-colts,Norm Thompson,CB,68,2825292,169518,1,2825292,169518,1,5,7,17
baltimore-colts,Randy Burke,WR,64,1689974,135198,3,1689974,135198,3,5,7,17
baltimore-colts,Reese McCall,TE,70,2261223,180898,3,2261223,180898,3,5,7,17
baltimore-colts,Reggie Pinkney,CB,65,2442484,219824,2,2442484,219824,2,6,7,17
baltimore-colts,Roger Carr,WR,84,5947897,356874,1,5947897,356874,1,6,7,17
baltimore-colts,Ron Baker,OG,64,2326775,209410,2,2326775,209410,2,6,8,17
baltimore-colts,Ron Fernandes,DE,70,3440991,206459,1,3440991,206459,1,6,8,17
baltimore-colts,Roosevelt Leaks,RB,72,4875089,292505,1,4875089,292505,1,6,8,17
baltimore-colts,Sanders Shiver,OLB,80,5217864,313072,1,5217864,313072,1,6,8,18
baltimore-colts,Stan White,OLB,84,6335803,570222,2,6335803,570222,2,6,8,18
baltimore-colts,Steve Mike-Mayer,K,72,2347265,140836,1,2347265,140836,1,6,8,18
baltimore-colts,Steve Zabel,OLB,74,3899683,233981,1,3899683,233981,1,7,8,18
baltimore-colts,Wade Griffin,OT,68,3122692,281042,2,3122692,281042,2,7,8,19
buffalo-bills,Ben Williams,DE,71,3612109,216727,1,3612109,216727,1,7,8,19
buffalo-bills,Bill Munson,QB,63,4083115,244987,1,4083115,244987,1,7,8,19
buffalo-bills,Bob Chandler,WR,75,3842981,230579,1,3842981,230579,1,7,8,19
buffalo-bills,Charles Romes,CB,79,4818513,433666,2,4818513,433666,2,7,8,19
buffalo-bills,Chris Keating,OLB,55,852952,179120,4,852952,179120,4,7,9,19
buffalo-bills,Curtis Brown,RB,72,4875089,438758,2,4875089,438758,2,7,9,20
buffalo-bills,Dan Jilek,OLB,66,2644913,158695,1,2644913,158695,1,7,9,20
buffalo-bills,Dan Manucci,QB,62,2139327,449259,4,2139327,449259,4,7,9,20
buffalo-bills,Danny Fulton,WR,63,1180604,247927,4,1180604,247927,4,7,9,20
buffalo-bills,Dee Hardison,DT,69,2341414,187313,3,2341414,187313,3,8,9,20
buffalo-bills,Dennis Johnson,RB,51,1319538,105563,3,1319538,105563,3,8,9,20
buffalo-bills,Doug Greene,S,62,1500307,120025,3,1500307,120025,3,8,9,20
buffalo-bills,Ed Fulton,OG,54,1432129,128892,2,1432129,128892,2,8,9,20
buffalo-bills,Frank Lewis,WR,78,4445289,266717,1,4445289,266717,1,8,9,21
buffalo-bills,Fred Smerlas,DT,74,2188598,459606,4,2188598,459606,4,8,9,21
buffalo-bills,Isiah Robertson,OLB,86,6981619,418897,1,6981619,418897,1,8,9,21
buffalo-bills,Jeff Nixon,S,66,1335951,280550,4,1335951,280550,4,8,9,21
buffalo-bills,Jerry Butler,WR,76,2218749,465937,4,2218749,465937,4,8,9,21
buffalo-bills,Jim Haslett,MLB,69,1717037,360578,4,1717037,360578,4,9,10,21
buffalo-bills,Joe DeLamielleure,OG,89,7828623,469717,1,7828623,469717,1,9,10,22
buffalo-bills,Joe Devlin,OT,71,3612109,216727,1,3612109,216727,1,9,10,22
buffalo-bills,Joe Ferguson,QB,86,12467177,748031,1,12467177,748031,1,9,10,22
buffalo-bills,Jon Borchardt,OT,64,1414434,297031,4,1414434,297031,4,9,10,22
buffalo-bills,Joseph Shipp,TE,58,926228,194508,4,926228,194508,4,9,10,22
buffalo-bills,Keith Moody,CB,74,3780305,226818,1,3780305,226818,1,9,10,22
buffalo-bills,Ken Johnson,RB,54,1119322,235058,4,1119322,235058,4,9,10,22
buffalo-bills,Ken Jones,OT,70,3440991,206459,1,3440991,206459,1,10,10,23
buffalo-bills,Leonard Willis,WR,63,2146552,128793,1,2146552,128793,1,10,10,23
buffalo-bills,Lou Piccone,WR,74,3660927,219656,1,3660927,219656,1,10,10,23
buffalo-bills,Lucius Sanford,OLB,74,2924762,233981,3,2924762,233981,3,10,10,23
buffalo-bills,Mario Clark,CB,86,6767896,406074,1,6767896,406074,1,10,10,23
buffalo-bills,Mike Collier,RB,61,2858465,171508,1,2858465,171508,1,10,10,24
buffalo-bills,Mike Kadish,DT,77,4602936,276176,1,4602936,276176,1,10,11,24
buffalo-bills,Nick Mike-Mayer,K,79,3296877,197813,1,3296877,197813,1,10,11,24
buffalo-bills,Reggie McKenzie,OG,89,7828623,704576,2,7828623,704576,2,10,11,25
buffalo-bills,Reuben Gant,TE,70,3014964,180898,1,3014964,180898,1,10,11,25
buffalo-bills,Roland Hooks,RB,69,4214546,252873,1,4214546,252873,1,10,11,25
buffalo-bills,Ron Howard,TE,62,2044863,122692,1,2044863,122692,1,11,11,25
buffalo-bills,Rusty Jackson,P,78,2899101,173946,1,2899101,173946,1,11,11,25
buffalo-bills,Scott Hutchinson,DE,56,1308168,104653,3,1308168,104653,3,11,11,25
buffalo-bills,Shane Nelson,MLB,69,3121886,280970,2,3121886,280970,2,11,11,25
buffalo-bills,Sherman White,DE,80,5590568,503151,2,5590568,503151,2,11,11,26
buffalo-bills,Steve Freeman,S,74,3581341,214880,1,3581341,214880,1,11,11,26
buffalo-bills,Steve Powell,RB,49,1197477,95798,3,1197477,95798,3,11,12,26
buffalo-bills,Terry Miller,RB,77,4660473,372838,3,4660473,372838,3,12,12,26
buffalo-bills,Tim Vogler,OG,62,1161349,243883,4,1161349,243883,4,12,12,26
buffalo-bills,Tom Dempsey,K,54,979878,58793,1,979878,58793,1,12,12,26
buffalo-bills,Tom Higgins,OLB,61,1141269,239666,4,1141269,239666,4,12,12,27
buffalo-bills,Tony Greene,S,82,5280361,316822,1,5280361,316822,1,13,12,27
buffalo-bills,Will Grant,C,63,1662411,132993,3,1662411,132993,3,13,12,27
buffalo-bills,Willie Parker,C,68,2825292,254276,2,2825292,254276,2,13,12,27
chicago-bears,Al Harris,DE,71,1986660,417199,4,1986660,417199,4,13,12,27
chicago-bears,Alan Page,DT,86,7124101,427446,1,7124101,427446,1,13,12,27
chicago-bears,Allan Ellis,CB,65,2442484,146549,1,2442484,146549,1,13,12,28
chicago-bears,Bob Avellini,QB,72,6319559,379174,1,6319559,379174,1,14,12,28
chicago-bears,Bob Parsons,P,79,3043271,273894,2,3043271,273894,2,14,12,28
chicago-bears,Bob Thomas,K,82,3813594,228816,1,3813594,228816,1,14,12,28
chicago-bears,Brian Baschnagel,WR,80,4898403,293904,1,4898403,293904,1,14,13,28
chicago-bears,Bruce Herron,OLB,57,1281674,102534,3,1281674,102534,3,14,13,28
chicago-bears,Dan Hampton,DE,77,2658196,558221,4,2658196,558221,4,14,13,28
chicago-bears,Dan Jiggetts,OT,66,2833835,170030,1,2833835,170030,1,14,13,28
chicago-bears,Dan Neal,C,74,3780305,226818,1,3780305,226818,1,14,13,29
chicago-bears,Dave Williams,RB,72,4875089,438758,2,4875089,438758,2,15,13,29
chicago-bears,Dennis Lick,OT,79,5325725,319544,1,5325725,319544,1,15,13,29
chicago-bears,Doug Buffone,OLB,72,3538953,212337,1,3538953,212337,1,15,13,29
chicago-bears,Doug Plank,S,83,5542949,332577,1,5542949,332577,1,15,13,29
chicago-bears,Gary Campbell,OLB,79,4970676,298241,1,4970676,298241,1,15,13,30
chicago-bears,Gary Fencik,S,88,7065242,423915,1,7065242,423915,1,15,13,30
chicago-bears,Golden Richards,WR,69,2872135,172328,1,2872135,172328,1,15,13,30
chicago-bears,Greg Latta,TE,70,3014964,180898,1,3014964,180898,1,15,13,30
chicago-bears,Harry Washington,WR,59,1325848,106068,3,1325848,106068,3,16,13,30
chicago-bears,Jack Deloplaine,RB,58,2471162,148270,1,2471162,148270,1,16,13,30
chicago-bears,James Scott,WR,78,4445289,266717,1,4445289,266717,1,16,14,30
chicago-bears,Jerry Meyers,DE,60,2117928,127076,1,2117928,127076,1,16,14,31
chicago-bears,Jerry Muckensturm,OLB,74,3899683,233981,1,3899683,233981,1,16,14,31
chicago-bears,Jim Osborne,DT,83,6158832,554295,2,6158832,554295,2,17,14,31
chicago-bears,John Skibinski,RB,56,1681930,134554,3,1681930,134554,3,17,14,31
chicago-bears,Kris Haines,WR,59,972289,204181,4,972289,204181,4,17,14,31
chicago-bears,Lee Kunz,MLB,60,1109391,232972,4,1109391,232972,4,17,14,31
chicago-bears,Len Walterscheid,S,61,1905643,171508,2,1905643,171508,2,17,14,31
chicago-bears,Lonnie Perrin,RB,67,3824691,229481,1,3824691,229481,1,17,14,31
chicago-bears,Lynn Boden,OG,71,3268098,196086,1,3268098,196086,1,17,14,32
chicago-bears,Mark Merrill,MLB,62,1667008,133361,3,1667008,133361,3,18,14,32
chicago-bears,Mike Cobb,TE,70,3014964,271347,2,3014964,271347,2,18,14,32
chicago-bears,Mike Hartenstine,DE,72,3791736,227504,1,3791736,227504,1,18,14,32
chicago-bears,Mike Phipps,QB,73,6633825,398030,1,6633825,398030,1,18,14,32
chicago-bears,Mike Spivey,CB,67,2691449,242230,2,2691449,242230,2,18,15,32
chicago-bears,Noah Jackson,OG,83,5850890,351053,1,5850890,351053,1,19,15,32
chicago-bears,Revie Sorey,OG,78,4590244,275415,1,4590244,275415,1,19,15,32
chicago-bears,Rickey Watts,WR,73,1918123,402806,4,1918123,402806,4,19,15,33
chicago-bears,Robin Earl,TE,68,2736073,246247,2,2736073,246247,2,19,15,33
chicago-bears,Ron Rydalch,DT,77,4602936,276176,1,4602936,276176,1,19,15,33
chicago-bears,Steve Schubert,WR,63,2146552,128793,1,2146552,128793,1,20,15,33
chicago-bears,Ted Albrecht,OT,79,5325725,479315,2,5325725,479315,2,20,15,33
chicago-bears,Terry Schmidt,CB,76,4165636,249938,1,4165636,249938,1,20,15,33
chicago-bears,Tom Hicks,MLB,77,4602936,276176,1,4602936,276176,1,20,15,34
chicago-bears,Tommy Hart,DE,76,4604124,276247,1,4604124,276247,1,20,15,34
chicago-bears,Tony Ardizzone,C,41,431389,90592,4,431389,90592,4,20,15,34
chicago-bears,Vince Evans,QB,72,6319559,568760,2,6319559,568760,2,20,15,34
chicago-bears,Virgil Livers,CB,81,5309669,318580,1,5309669,318580,1,20,15,34
chicago-bears,Walter Payton,RB,98,17218316,1033099,1,17218316,1033099,1,21,15,34
chicago-bears,Wentford Gaines,CB,64,1745081,139606,3,1745081,139606,3,21,15,34
chicago-bears,Willie McClendon,RB,59,1426728,299613,4,1426728,299613,4,21,15,35
cincinnati-bengals,Archie Griffin,RB,72,4875089,292505,1,4875089,292505,1,21,16,35
cincinnati-bengals,Barney Cotton,OT,57,1007029,211476,4,1007029,211476,4,22,16,35
cincinnati-bengals,Billy Brooks,WR,69,2872135,172328,1,2872135,172328,1,22,16,35
cincinnati-bengals,Blair Bush,C,68,2118969,169518,3,2118969,169518,3,22,16,36
cincinnati-bengals,Bo Harris,OLB,72,3538953,212337,1,3538953,212337,1,22,16,36
cincinnati-bengals,Bob Johnson,C,66,2563946,153837,1,2563946,153837,1,22,16,36
cincinnati-bengals,Charles Alexander,RB,72,2681299,563073,4,2681299,563073,4,22,16,36
cincinnati-bengals,Chris Bahr,K,77,2991908,179514,1,2991908,179514,1,23,16,36
cincinnati-bengals,Dan Ross,TE,76,2218749,465937,4,2218749,465937,4,23,16,36
cincinnati-bengals,Dave Lapham,OG,75,3968296,238098,1,3968296,238098,1,23,16,36
cincinnati-bengals,Deacon Turner,RB,63,2362374,188990,3,2362374,188990,3,23,16,37
cincinnati-bengals,Dick Jauron,S,65,2313932,138836,1,2313932,138836,1,23,16,37
cincinnati-bengals,Don Bass,WR,82,4048277,323862,3,4048277,323862,3,23,17,37
cincinnati-bengals,Eddie Edwards,DT,69,3121886,280970,2,3121886,280970,2,23,17,37
cincinnati-bengals,Gary Burley,DE,69,3277980,196679,1,3277980,196679,1,24,17,37
cincinnati-bengals,Glenn Bujnoch,OG,66,2563946,153837,1,2563946,153837,1,24,17,37
cincinnati-bengals,Glenn Cameron,OLB,70,3211592,192696,1,3211592,192696,1,24,17,38
cincinnati-bengals,Howie Kurnick,MLB,56,913641,191865,4,913641,191865,4,24,17,38
cincinnati-bengals,Isaac Curtis,WR,80,4898403,293904,1,4898403,293904,1,24,17,38
cincinnati-bengals,Jack Thompson,QB,67,2726863,572641,4,2726863,572641,4,25,17,38
cincinnati-bengals,James Corbett,TE,54,1386904,124821,2,1386904,124821,2,25,17,38
cincinnati-bengals,Jim Browner,S,54,746214,156705,4,746214,156705,4,25,17,38
cincinnati-bengals,Jim LeClair,MLB,87,7478376,673054,2,7478376,673054,2,25,17,38
cincinnati-bengals,Ken Anderson,QB,94,18381714,1102903,1,18381714,1102903,1,25,17,38
cincinnati-bengals,Ken Riley,CB,70,3113278,186797,1,3113278,186797,1,26,17,39
cincinnati-bengals,Louis Breeden,CB,72,2572963,205837,3,2572963,205837,3,26,17,39
cincinnati-bengals,Mack Mitchell,DE,68,3122692,187362,1,3122692,187362,1,26,18,39
cincinnati-bengals,Mark Donahue,OG,60,1437165,114973,3,1437165,114973,3,26,18,39
cincinnati-bengals,Marvin Cobb,S,74,3581341,214880,1,3581341,214880,1,27,18,39
cincinnati-bengals,Max Montoya,OG,71,1797454,377465,4,1797454,377465,4,27,18,39
cincinnati-bengals,Mike Levenseller,WR,57,1203204,96256,3,1203204,96256,3,27,18,39
cincinnati-bengals,Mike White,DT,57,959076,201406,4,959076,201406,4,28,18,40
cincinnati-bengals,Mike Wilson,OT,68,3122692,281042,2,3122692,281042,2,28,18,40
cincinnati-bengals,Nathan Poole,RB,45,723202,151872,4,723202,151872,4,28,18,40
cincinnati-bengals,Pat McInally,P,75,2506292,150378,1,2506292,150378,1,28,18,40
cincinnati-bengals,Pete Johnson,RB,78,6522978,587068,2,6522978,587068,2,28,18,41
cincinnati-bengals,Ray Griffin,CB,65,1831863,146549,3,1831863,146549,3,28,19,41
cincinnati-bengals,Reggie Williams,OLB,85,6650877,399053,1,6650877,399053,1,28,19,41
cincinnati-bengals,Rick Walker,TE,72,3322283,299005,2,3322283,299005,2,28,19,41
cincinnati-bengals,Ross Browner,DE,75,3289509,263161,3,3289509,263161,3,29,19,42
cincinnati-bengals,Scott Burk,S,60,998452,209675,4,998452,209675,4,29,19,42
cincinnati-bengals,Scott Perry,S,63,2099888,125993,1,2099888,125993,1,29,19,42
cincinnati-bengals,Steve Kreider,WR,66,1365639,286784,4,1365639,286784,4,29,19,42
cincinnati-bengals,Tom Dinkel,OLB,68,2185884,174871,3,2185884,174871,3,29,19,43
cincinnati-bengals,Tom Ruud,OLB,61,2075034,124502,1,2075034,124502,1,29,19,43
cincinnati-bengals,Vaughn Lusby,CB,52,714809,150110,4,714809,150110,4,29,19,43
cincinnati-bengals,Vern Holland,OT,74,4178232,250694,1,4178232,250694,1,29,19,43
cincinnati-bengals,Wilson Whitley,DT,72,3611177,325006,2,3611177,325006,2,29,19,43
cleveland-browns,Brian Sipe,QB,86,12467177,748031,1,12467177,748031,1,30,19,43
cleveland-browns,Calvin Hill,TE,68,2736073,164164,1,2736073,164164,1,30,19,43
cleveland-browns,Charlie Hall,OLB,77,4510877,270653,1,4510877,270653,1,30,19,43
cleveland-browns,Clarence Scott,S,82,5280361,316822,1,5280361,316822,1,30,19,43
cleveland-browns,Clay Matthews,OLB,87,5496606,439728,3,5496606,439728,3,30,19,44
cleveland-browns,Cleo Miller,RB,82,7920542,475233,1,7920542,475233,1,30,20,44
cleveland-browns,Clinton Burrell,CB,57,911122,191336,4,911122,191336,4,31,20,44
cleveland-browns,Cody Risien,OG,76,2291100,481131,4,2291100,481131,4,31,20,44
cleveland-browns,Curtis Weathers,OLB,67,1527043,320679,4,1527043,320679,4,31,20,44
cleveland-browns,Dave Graf,OLB,58,1793880,107633,1,1793880,107633,1,31,20,45
cleveland-browns,Dave Logan,WR,80,4898403,293904,1,4898403,293904,1,31,20,45
cleveland-browns,Dick Ambrose,MLB,77,4602936,276176,1,4602936,276176,1,31,20,45
cleveland-browns,Dino Hall,RB,59,1426728,299613,4,1426728,299613,4,32,20,45
cleveland-browns,Don Cockroft,K,74,2586524,155191,1,2586524,155191,1,32,20,45
cleveland-browns,Doug Dieken,OT,87,7852295,471138,1,7852295,471138,1,32,20,46
cleveland-browns,George Buehler,OG,75,3968296,238098,1,3968296,238098,1,32,20,46
cleveland-browns,Gerald Irons,OLB,77,4510877,270653,1,4510877,270653,1,32,20,46
cleveland-browns,Gerry Sullivan,C,63,2216548,132993,1,2216548,132993,1,32,20,46
cleveland-browns,Greg Pruitt,RB,87,10095808,605748,1,10095808,605748,1,32,20,46
cleveland-browns,Henry Bradley,DT,60,1109391,232972,4,1109391,232972,4,33,20,46
cleveland-browns,Henry Sheppard,OT,79,5325725,319544,1,5325725,319544,1,33,21,47
cleveland-browns,Jack Gregory,DE,73,3980295,238818,1,3980295,238818,1,33,21,47
cleveland-browns,Jerry Sherk,DT,83,6158832,369530,1,6158832,369530,1,33,21,47
cleveland-browns,John Smith,K,76,2850172,171010,1,2850172,171010,1,33,21,47
cleveland-browns,Johnny Evans,P,69,1404849,112388,3,1404849,112388,3,33,21,47
cleveland-browns,Keith Wright,WR,63,1609914,128793,3,1609914,128793,3,33,21,47
cleveland-browns,Lawrence Johnson,CB,61,1106332,232330,4,1106332,232330,4,34,21,47
cleveland-browns,Lyle Alzado,DE,92,10008818,600529,1,10008818,600529,1,34,21,48
cleveland-browns,Mark Miller,QB,64,3214624,257170,3,3214624,257170,3,34,21,48
cleveland-browns,Matt Miller,OT,60,1164860,244621,4,1164860,244621,4,34,21,48
cleveland-browns,Mickey Sims,DT,66,2698891,242900,2,2698891,242900,2,34,21,48
cleveland-browns,Mike Pruitt,RB,84,8727892,523674,1,8727892,523674,1,34,21,49
cleveland-browns,Mike St. Clair,DE,71,3612109,216727,1,3612109,216727,1,35,21,49
cleveland-browns,Oliver Davis,CB,81,5309669,477870,2,5309669,477870,2,35,21,49
cleveland-browns,Ozzie Newsome,TE,90,5968815,477505,3,5968815,477505,3,35,21,49
cleveland-browns,Pat Moriarty,RB,45,723202,151872,4,723202,151872,4,35,21,50
cleveland-browns,Randy Rich,CB,52,1299654,116969,2,1299654,116969,2,36,21,50
cleveland-browns,Reggie Rucker,WR,80,4898403,293904,1,4898403,293904,1,36,21,50
cleveland-browns,Rich Dimler,DT,55,870359,182775,4,870359,182775,4,36,21,50
cleveland-browns,Ricky Feacher,WR,66,2482980,148979,1,2482980,148979,1,36,22,50
cleveland-browns,Ricky Jones,OLB,63,2286545,205789,2,2286545,205789,2,36,22,50
cleveland-browns,Robert Jackson,OG,86,6767896,406074,1,6767896,406074,1,36,22,51
cleveland-browns,Robert Jackson,MLB,77,4602936,414264,2,4602936,414264,2,37,22,51
cleveland-browns,Ron Bolton,CB,85,6447279,580255,2,6447279,580255,2,37,22,51
cleveland-browns,Thom Darden,S,87,6730539,403832,1,6730539,403832,1,37,22,51
cleveland-browns,Tom DeLeone,C,81,5309669,477870,2,5309669,477870,2,37,22,51
cleveland-browns,Willis Adams,WR,61,1071395,224993,4,1071395,224993,4,38,22,51
dallas-cowboys,Aaron Kyle,CB,76,4165636,249938,1,4165636,249938,1,38,22,51
dallas-cowboys,Aaron Mitchell,CB,67,1480297,310862,4,1480297,310862,4,38,22,52
dallas-cowboys,Alois Blackwell,RB,58,1853371,148270,3,1853371,148270,3,38,22,52
dallas-cowboys,Andy Frederick,OT,68,3122692,281042,2,3122692,281042,2,38,22,52
dallas-cowboys,Benny Barnes,CB,82,5573715,501634,2,5573715,501634,2,38,22,52
dallas-cowboys,Billy Joe DuPree,TE,86,6554173,393250,1,6554173,393250,1,38,23,52
dallas-cowboys,Bob Breunig,MLB,84,6465105,387906,1,6465105,387906,1,39,23,52
dallas-cowboys,Bruce Huther,MLB,63,2333209,209989,2,2333209,209989,2,39,23,52
dallas-cowboys,Bruce Thornton,DE,66,1558609,327308,4,1558609,327308,4,39,23,53
dallas-cowboys,Burton Lawless,OG,80,5058133,303488,1,5058133,303488,1,39,23,53
dallas-cowboys,Butch Johnson,WR,84,5947897,356874,1,5947897,356874,1,39,23,53
