forename,surname,player_id,skin,band,ethnicity,features,head_id
JrTremayne,Anchrum,21099,7,dark,BMH,MG,008
Nick,Andersen,10029,2,light,BMH,S,002
Troy,Andersen,22194,2,light,M,S,011
Will,Anderson Jr,22702,7,dark,BMH,GS,005
Paul,French,13550,5,dark,M,BD,02
Alec,Anderson,22436,2,light,H,B,004
Calvin,Anderson,20365,7,dark,H,G,02
Evan,Anderson,14892,7,dark,B,G,0010
Jack,Anderson,21543,2,light,H,GM,004
Liam,Anderson,1446,1,light,B,N,011
Spencer,Anderson,22891,5,dark,H,MG,006
Tycen,Anderson,22240,7,dark,BHM,S,010
Zayne,Anderson,22017,1,light,B,N,011
Joe,Andreessen,1317,2,light,M,S,011
Jake,Andrews,23117,1,light,H,BD,01
Mark,Andrews,13112,2,light,M,S,011
David,Anenih,21893,7,dark,B,N,013
Bryan,Anger,11594,1,light,BM,MB,005
Vincent,Anthony Jr.,1886,7,dark,M,BD,02
Rodney,Shelley,18176,6,dark,B,G,04
Felix,Anudike-Uzomah,22916,7,dark,BMH,GS,005
Chigozie,Anusiem,1429,5,dark,T,GM,003
Alex,Anzalone,12613,1,light,M,N,02
Eli,Apple,17653,7,dark,B,S,004
Matt,Araiza,22388,2,light,B,N,02
AJ,Arcuri,22484,2,light,M,S,011
Jalyn,Armour-Davis,22254,7,dark,B,N,014
Arik,Armstead,2533,5,dark,M,B,001
Cornell,Armstrong,13471,7,dark,BHM,N,004
JrDorance,Armstrong,13244,7,dark,B,N,009
Grayland,Arnold,21008,7,dark,BHM,MG,001
Stephen,Griffin,14927,7,dark,B,N,013
Elijah,Arroyo,15119,5,dark,B,N,01
Brian,Asamoah II,22190,7,dark,T,G,007
Eugene,Asante,15252,7,dark,M,MB,009
Julian,Ashby,16153,4,dark,B,N,004
Tutu,Atwell,21582,7,dark,BMH,MG,001
Brandon,Aubrey,23329,1,light,B,N,03
Malaesala,Aumavae-Laulu,22885,4,dark,H,N,001
Kevin,Austin Jr,22354,7,dark,B,N,017
Alex,Austin,23080,7,dark,B,N,003
IIICalvin,Austin,22086,7,dark,B,G,008
Denico,Autry,2366,7,dark,M,N,024
Anthony,Averett,13248,5,dark,B,BD,03
Genard,Avery,13263,7,dark,BHM,S,010
Tre,Avery,22605,7,dark,B,G,004
Steve,Avila,22859,4,dark,B,MS,02
Noah,Avinger,10089,5,dark,B,N,01
Kayode,Awosika,21821,7,dark,M,BD,02
Chidobe,Awuzie,12587,6,dark,BMH,G,010
Elic,Ayomanor,15099,5,dark,M,BD,02
Andre,Baccellia,22616,1,light,B,B,005
JrJoe,Bachie,21276,2,light,B,B,004
Alex,Bachman,20806,2,light,BMH,S,002
Michael,Badgley,13375,2,light,BMH,S,004
Tyler,Badie,22052,7,dark,BMT,MG,002
Tyson,Bagent,22900,1,light,B,S,001
David,Bailey,1887,7,dark,B,N,07
Emani,Bailey,14635,7,dark,M,N,024
Jake,Bailey,20480,2,light,B,N,006
Levelle,Bailey,1404,5,dark,B,BD,03
Wesley,Bailey,10133,6,dark,H,G,01
Rueben,Bain Jr.,16334,7,dark,BHM,MG,007
Budda,Baker,12549,7,dark,M,BD,01
Darrell,Baker Jr,22275,6,dark,N,MG,009
Javon,Baker,14668,7,dark,B,N,016
Jerome,Baker,13200,7,dark,B,N,07
Johnathan,Baldwin,4786,7,dark,B,G,005
Josh,Ball,21822,2,light,BMH,S,010
Corey,Ballentine,20454,7,dark,T,N,009
Mory,Bamba,10028,7,dark,T,G,007
Michael,Bandy,22568,2,light,H,B,010
Kelvin,Banks Jr,15161,7,dark,BMH,MB,019
Aaron,Banks,21544,5,dark,B,MS,02
Brant,Banks,4744,2,light,BMH,S,004
Caleb,Banks,16292,7,dark,H,BD,03
Deonte,Banks,23052,7,dark,BMH,MG,001
Jahmal,Banks,4652,6,dark,BMH,N,003
Marcus,Banks,1277,7,dark,M,N,005
Austin,Barber,16289,2,light,H,B,004
Jaishawn,Barham,16331,6,dark,H,G,01
Bryce,Baringer,23112,2,light,B,B,004
Saquon,Barkley,13085,6,dark,M,N,01
Christian,Barmore,21765,7,dark,H,B,010
AJ,Barner,14687,2,light,B,N,006
Derrick,Barnes,21674,5,dark,M,M,005
Krys,Barnes,21409,7,dark,B,N,011
Zaire,Barnes,23265,4,dark,B,M,01
Derek,Barnett,12530,5,dark,H,BD,01
Karsen,Barnhart,1263,2,light,H,G,01
Amare,Barno,22138,5,dark,M,BD,02
Tyler,Baron,15185,4,dark,B,BM,01
Michael,Barrett,14914,6,dark,BHM,BM,004
Nick,Barrett,16401,6,dark,B,N,01
Jahdae,Barron,15277,5,dark,H,BD,02
Ben,Bartch,21100,2,light,H,BD,03
Gavin,Bartholomew,15113,2,light,B,B,005
Shemar,Bartholomew,1328,6,dark,B,N,0011
Jared,Bartlett,4767,6,dark,B,G,03
Cody,Barton,20692,1,light,B,B,005
Graham,Barton,14703,2,light,BMH,S,003
Jackson,Barton,20669,2,light,H,MB,012
Carlos,Basham Jr,21503,6,dark,B,G,03
TJ,Bass,22890,2,light,M,N,04
Tyler,Bass,21170,1,light,B,N,01
Jeffrey,Bassa,15250,7,dark,M,MB,009
Rashod,Bateman,21584,7,dark,BHM,MG,007
Jessie,Bates III,13202,4,dark,M,BD,02
Brenden,Bates,1366,1,light,B,G,01
Jake,Bates,1238,2,light,BMH,S,004
John,Bates,21767,2,light,M,S,011
Ryan,Bates,20538,2,light,H,B,004
Jordan,Battle,23025,7,dark,B,N,016
Miles,Battle,4773,5,dark,H,BD,02
Tyler,Batty,15196,2,light,BMH,S,004
Zack,Baun,21142,2,light,M,B,02
Connor,Bazelak,4775,2,light,H,GM,004
Kelvin,Beachum,11673,7,dark,BMH,MG,001
Robert,Beal Jr,22981,7,dark,B,G,0010
CJ,Beathard,12652,2,light,B,BD,03
Abraham,Beauplan,23013,7,dark,M,N,005
Jack,Bech,15055,2,light,B,S,005
Andrew,Beck,20526,2,light,H,BD,03
Carson,Beck,16161,2,light,B,B,006
Odell,Beckham Jr,10829,6,dark,M,N,009
Cooper,Beebe,14708,1,light,H,BD,01
Evan,Beerntsen,10181,1,light,BM,MB,005
Chris,Bell,16327,7,dark,B,N,0010
DAnthony,Bell,22518,7,dark,B,G,0010
Dillon,Bell,16163,7,dark,M,B,01
Jaheim,Bell,14681,7,dark,T,G,007
Markel,Bell,16333,7,dark,H,BD,03
Markquese,Bell,22229,6,dark,M,MB,011
Quinton,Bell,20743,6,dark,BMH,G,010
Ronnie,Bell,22807,4,dark,B,N,005
Skyler,Bell,1853,6,dark,H,G,012
Travis,Bell,23273,7,dark,T,N,009
Daniel,Bellinger,22102,2,light,M,B,01
Nick,Bellore,10939,2,light,B,BD,03
Anthony,Belton,15127,7,dark,H,BD,03
Dane,Belton,22396,4,dark,B,B,004
Theo,Benedet,4711,2,light,H,MB,012
Christian,Benford,22487,7,dark,BMH,MG,008
Stetson,Bennett IV,22714,2,light,B,S,001
Jakorian,Bennett,23083,7,dark,B,N,08
Rayshaun,Benny,16175,6,dark,H,G,012
Kahlil,Benson,10149,4,dark,M,BD,02
Malik,Benson,16190,7,dark,B,G,007
Trey,Benson,14622,7,dark,B,N,0012
Dallen,Bentley,1820,2,light,M,B,02
JaWhaun,Bentley,13334,6,dark,H,N,01
Keeanu,Benton,22934,7,dark,H,G,008
Junior,Bergen,4608,4,dark,B,N,004
Matthew,Bergeron,22878,4,dark,B,MS,02
Germie,Bernard,1832,7,dark,M,N,005
Terrel,Bernard,22192,4,dark,B,N,005
Uar,Bernard,5004,7,dark,B,N,07
Jarrick,Bernard-Converse,23090,6,dark,T,MG,006
Braxton,Berrios,13377,1,light,B,S,002
JD,Bertrand,14915,2,light,BMH,S,004
Tatum,Bethune,14922,7,dark,B,B,001
Tyler,Biadasz,20979,2,light,H,BD,03
Zeek,Biggers,15234,7,dark,H,BD,03
Tank,Bigsby,22733,7,dark,BMH,GS,011
Andrew,Billings,17655,7,dark,H,G,02
Beanie,Bishop Jr,1369,7,dark,T,G,007
Cole,Bishop,14958,1,light,B,N,03
Chase,Bisontis,16419,4,dark,M,M,005
Wesley,Bissainthe,16335,7,dark,H,N,01
Kaelon,Black,16320,7,dark,T,G,007
Korie,Black,16151,5,dark,B,N,01
Yahya,Black,15225,5,dark,M,M,005
Ross,Blacklock,20983,6,dark,H,BD,01
Julian,Blackmon,21269,4,dark,B,N,003
Mekhi,Blackmon,23039,6,dark,B,G,04
Raheem,Blackshear,22621,6,dark,T,N,009
Josh,Blackwell,22644,7,dark,B,B,001
DaRon,Bland,22485,7,dark,M,N,006
Reed,Blankenship,21792,1,light,B,N,03
Khari,Blasingame,20826,6,dark,B,N,02
Austin,Blaske,10150,2,light,H,B,004
David,Blay Jr.,16326,7,dark,B,N,07
Joshuah,Bledsoe,21664,7,dark,B,G,004
Joey,Blount,22604,4,dark,T,N,006
Jaydon,Blue,15051,5,dark,H,BD,02
Chris,Board,13850,7,dark,T,G,004
Jacob,Bobenmoyer,24435,2,light,B,S,001
Jake,Bobo,22821,2,light,M,N,007
Nate,Boerkircher,16353,2,light,H,GM,004
Bryce,Boettcher,16383,2,light,B,B,004
Quinton,Bohanna,21928,7,dark,BMH,MB,019
Corey,Bojorquez,13684,3,abstain,T,N,01
Bubba,Bolden,22237,5,dark,B,N,01
Isaiah,Bolden,23281,7,dark,B,N,013
Garett,Bolles,12545,1,light,H,N,015
Nick,Bolton,21474,7,dark,M,N,024
Isaiah,Bond,15098,5,dark,B,BD,03
Lewis,Bond,16250,5,dark,B,BD,03
Jim,Bonifas,10157,2,light,B,N,006
Nik,Bonitto,22142,7,dark,T,G,007
Ethan,Bonner,1348,2,light,BMH,S,004
Austin,Booker,14875,4,dark,B,M,01
Tyler,Booker,15162,7,dark,H,BD,03
Larry,Borom,21545,4,dark,M,BD,02
Andres,Borregales,15364,2,light,B,N,0016
Tanor,Bortolini,14741,2,light,H,B,004
Joey,Bosa,17537,2,light,H,GM,004
Nick,Bosa,20565,2,light,B,B,004
Denzel,Boston,1833,3,abstain,B,B,009
Chris,Boswell,2262,1,light,B,N,02
Kendrick,Bourne,12998,7,dark,B,N,0010
Kayshon,Boutte,22901,7,dark,M,BD,02
Brock,Bowers,14678,2,light,B,S,007
Billy,Bowman Jr,15332,4,dark,M,M,005
Jude,Bowry,16251,6,dark,H,G,01
Brady,Boyd,10195,1,light,B,N,011
Khristian,Boyd,1108,5,dark,H,BD,02
Kris,Boyd,20449,6,dark,BHM,BM,004
Miles,Boykin,20643,7,dark,M,N,001
Tim,Boyle,13690,1,light,B,S,002
Swayze,Bozeman,4743,2,light,B,B,006
Garrett,Bradbury,20372,2,light,BMH,S,010
Beau,Brade,14952,6,dark,T,N,009
Anthony,Bradford,22893,5,dark,M,BD,02
Millard,Bradford,1537,7,dark,T,G,007
Carter,Bradley,15009,2,light,B,B,005
Jerand,Bradley,10209,5,dark,B,N,01
Oliver,Cooper,21343,5,dark,M,B,001
William,Bradley-King,21689,6,dark,BHM,B,01
Cortez,Braham Jr.,10210,7,dark,B,G,005
Parker,Brailsford,1834,3,abstain,B,B,009
Brian,Branch,23024,5,dark,BHTM,GS,001
Zachariah,Branch,16206,7,dark,BMH,MG,001
Blake,Brandel,24423,2,light,H,B,004
Chris,Braswell,14895,7,dark,B,N,0013
Christian,Braswell,22223,6,dark,BMH,N,003
Chandler,Brayboy,4662,4,dark,M,M,005
Chris,Brazzell II,1810,5,dark,B,BD,03
Ben,Bredeson,21109,2,light,H,GM,004
Max,Bredeson,16178,2,light,M,S,011
Jake,Brendel,17912,2,light,H,BD,03
Julius,Brents,23062,5,dark,T,G,01
Bryan,Bresee,22915,2,light,B,N,0018
Cole,Brevard,10211,7,dark,H,BD,03
Aaron,Brewer,11836,1,light,B,N,01
CJ,Brewer,22675,6,dark,H,BD,01
Trikweze,Bridges,16155,7,dark,M,B,01
Teddy,Bridgewater,10837,7,dark,T,G,004
Jowon,Briggs,1165,7,dark,H,G,008
Gary,Brightwell,21567,7,dark,M,MB,010
Jake,Briningstool,15107,2,light,H,N,007
Austin,Brinkman,4685,2,light,H,N,007
Warren,Brinson,15212,7,dark,H,G,009
Jaquan,Brisker,22228,7,dark,B,N,013
Jacoby,Brissett,17566,7,dark,BMH,MG,020
KJ,Britt,21676,7,dark,T,N,009
James,Brockermeyer,16193,1,light,H,S,008
Nick,Broeker,22860,2,light,H,GM,004
Anthony,Campbell,18196,7,dark,BMH,GS,005
British,Brooks,1391,7,dark,M,BD,02
Chris,Brooks,23350,5,dark,T,GM,003
Jalen,Brooks,23118,7,dark,B,N,013
Jonathon,Brooks,14621,5,dark,B,BD,03
Jordyn,Brooks,21316,7,dark,BMH,GS,005
Karl,Brooks,22943,7,dark,H,N,006
Kendell,Brooks,1497,6,dark,H,MS,01
Mason,Brooks,22867,1,light,M,N,02
Natrone,Brooks,1444,6,dark,M,N,02
Tahj,Brooks,15038,5,dark,H,BD,02
Max,Brosmer,14792,2,light,B,B,006
Vernon,Broughton,15217,5,dark,T,GM,003
Bobby,Brown III,21922,7,dark,B,N,07
Earnest,Brown IV,21868,6,dark,BHM,BM,004
AJ,Brown,20495,7,dark,BTM,MG,006
Austin,Brown,1842,5,dark,B,N,01
Barion,Brown,16318,7,dark,BMH,MG,001
Ben,Brown,22126,2,light,H,GM,004
Brittain,Brown,22057,7,dark,B,N,017
Adrian,Chambers,23051,7,dark,BMH,GS,005
Chase,Brown,22740,5,dark,M,BD,02
Derrick,Brown,21286,6,dark,H,N,001
Dyami,Brown,21585,6,dark,BTM,BM,001
Evan,Brown,13670,2,light,H,BD,03
JiAyir,Brown,23058,7,dark,BMT,MG,002
Logan,Brown,15134,5,dark,M,BD,02
Marquise,Brown,20497,7,dark,M,B,01
Mike,Brown,22537,4,dark,M,BD,02
Montaric,Brown,22256,7,dark,M,N,005
Noah,Brown,12645,7,dark,T,G,007
Sincere,Brown,10212,7,dark,M,B,01
Spencer,Brown,21649,2,light,H,B,004
Sydney,Brown,23081,3,abstain,B,S,010
Tanner,Brown,23285,2,light,B,B,005
Tre,Brown,21658,4,dark,M,BD,02
Trent,Brown,2661,7,dark,B,N,0010
Baron,Browning,21677,7,dark,T,G,007
Jack,Browning,1489,1,light,B,N,011
Jake,Browning,20329,1,light,B,N,01
Jarvis,Brownlee Jr,14984,6,dark,B,G,04
Jason,Brownlee,23119,7,dark,B,N,0012
Carson,Bruener,15257,2,light,B,B,006
Daniel,Brunskill,12753,1,light,H,S,003
Taven,Bryan,13096,2,light,H,N,009
Cobee,Bryant,15310,7,dark,B,N,07
Coby,Bryant,22211,6,dark,B,G,03
Harrison,Bryant,21093,1,light,B,N,01
Marcus,Bryant,16149,7,dark,B,N,07
Myles,Bryant,21264,5,dark,B,N,01
Teddye,Buchanan,15256,4,dark,B,G,003
DeForest,Buckner,17542,5,dark,B,BD,02
Shane,Buechele,21710,1,light,B,B,005
Isaiah,Buggs,20405,7,dark,H,BD,03
Javon,Bullard,14944,7,dark,B,N,07
Jonathan,Bullard,17656,5,dark,H,BD,01
Calen,Bullock,14939,7,dark,M,MG,025
Corey,Bullock,4708,7,dark,T,N,009
John,Bullock,4734,2,light,B,N,006
Jordan,Burch,15178,6,dark,N,MG,009
Luther,Burden III,15095,6,dark,BMH,N,003
Spencer,Burford,22136,7,dark,T,N,009
Terrell,Burgess,21150,6,dark,H,MS,01
Denzel,Burke,15297,7,dark,T,G,007
Travis,Burke,16280,4,dark,B,G,003
Deion,Burks,1866,7,dark,M,MG,025
Oren,Burks,13196,7,dark,BMH,GS,011
Treylon,Burks,22069,6,dark,B,G,03
Amari,Burney,23065,7,dark,H,BD,03
James,Burnip,4611,2,light,BMH,S,004
Brian,Burns,20566,7,dark,T,G,004
Major,Burns,16157,7,dark,M,N,005
Joe,Burrow,20948,2,light,M,S,011
Jager,Burton,16317,1,light,B,N,01
Jermaine,Burton,14654,4,dark,T,N,007
Michael,Burton,2431,1,light,H,BD,02
Devin,Bush,20583,7,dark,BHM,MG,001
Harrison,Butker,12863,2,light,B,S,001
Adam,Butler,12950,7,dark,M,MG,025
Hakeem,Butler,20499,7,dark,B,N,007
Josh,Butler,1448,6,dark,B,G,03
Matthew,Butler,22169,7,dark,B,B,005
Percy,Butler,22450,7,dark,M,N,005
Jeremiah,Byers,4778,6,dark,H,BD,01
Camryn,Bynum,21447,5,dark,B,N,01
Solomon,Byrd,1163,7,dark,B,G,007
Bryce,Cabeldue,16146,2,light,H,B,005
Lawrence,Cager,21304,5,dark,BHTM,GS,001
Yodny,Cajuste,20360,7,dark,BMH,MB,019
Grant,Calcaterra,22101,1,light,B,B,005
Jamaree,Caldwell,15211,7,dark,H,BD,03
Jeff,Caldwell,10183,7,dark,B,N,0012
Mike,Caliendo,22609,2,light,H,B,004
Jake,Camarda,22252,2,light,M,N,007
Dalen,Cambre,4780,2,light,BMH,S,004
Josh,Cameron,16245,6,dark,H,G,012
Calais,Campbell,28363,6,dark,BMH,G,010
Chance,Campbell,22401,2,light,M,S,011
Dalevon,Campbell,4725,7,dark,BMH,B,006
DJ,Campbell,16222,6,dark,BHM,B,01
Elijah,Campbell,13522,5,dark,B,S,002
Jack,Campbell,22705,2,light,H,N,007
Jihaad,Campbell,15268,6,dark,T,MG,006
Tyson,Campbell,21696,7,dark,B,N,08
Will,Campbell,15160,2,light,H,G,01
Cam,Camper,4655,5,dark,B,N,01
Jadon,Canady,16381,5,dark,B,N,01
Demonte,Capehart,16273,7,dark,H,G,004
Alex,Cappa,13297,1,light,M,N,02
Joe,Cardona,2605,1,light,B,B,005
Jaylon,Carlies,1089,6,dark,B,G,03
Anders,Carlson,23105,1,light,B,N,011
Daniel,Carlson,13382,2,light,T,N,02
Stephen,Carlson,20890,2,light,H,N,007
Jackson,Carman,21864,4,dark,B,N,003
Fernando,Carmona,16395,3,abstain,H,BD,01
Caelen,Carson,14945,7,dark,M,N,024
Andre,Carter II,22972,3,abstain,BMT,S,003
Michael,Carter II,21697,6,dark,T,N,009
Abdul,Carter,15198,5,dark,B,N,01
Ricky,Hinkle,4769,7,dark,B,N,07
Barrett,Carter,15246,6,dark,B,G,03
DeWayne,Carter,14867,6,dark,H,BD,01
Jalen,Carter,22703,6,dark,H,G,012
JaTyre,Carter,22421,7,dark,T,G,004
Michael,Carter,21568,7,dark,BMH,GS,005
Nate,Carter,4722,7,dark,M,N,005
Zachary,Carter,22168,7,dark,T,G,004
Kage,Casey,16249,2,light,H,GM,004
Blake,Cashman,20693,2,light,M,N,22
Sebastian,Castro,15340,4,dark,M,M,005
Tariq,Castro-Fields,22245,4,dark,B,G,003
Nelson,Ceaser,14870,7,dark,BMH,MG,008
KLavon,Chaisson,20991,6,dark,T,MG,006
Chaz,Chambliss,4622,1,light,B,B,005
Ty,Chandler,22062,6,dark,B,G,04
Zach,Charbonnet,22732,4,dark,B,N,01
Irvin,Charles,23353,6,dark,BTM,BM,001
Saahdiq,Charles,20970,7,dark,H,G,02
JaMarr,Chase,21586,7,dark,BHM,MG,001
Elijah,Chatman,22965,7,dark,BMH,MB,019
Leo,Chenal,22458,2,light,BMH,S,002
Claudin,Cherelus,23343,7,dark,M,BD,02
Julius,Chestnut,22618,7,dark,B,G,008
Zion,Childress,4745,7,dark,M,B,01
Jeremy,Chinn,21151,5,dark,B,N,01
Dan,Chisena,21392,2,light,B,S,001
Efton,Chism III,4663,1,light,B,S,001
Brady,Christensen,21532,2,light,H,B,004
Cole,Christiansen,21357,1,light,B,N,01
Bradley,Chubb,13079,6,dark,BHM,G,002
Nick,Chubb,13129,7,dark,B,G,005
Benjamin,Chukwuma,4713,7,dark,M,BD,02
Jimmy,Ciarlo,4750,4,dark,B,N,01
Lewis,Cine,22397,7,dark,B,N,003
Andre,Cisco,21466,6,dark,BTM,BM,001
Brandon,Cisse,16349,5,dark,B,N,01
Demond,Claiborne,1830,7,dark,M,MG,025
Alijah,Clark,15355,6,dark,T,G,005
Bud,Clark,16411,7,dark,M,MB,009
Chuck,Clark,12785,5,dark,BHTM,GS,001
Damone,Clark,22185,7,dark,B,N,016
Jerrod,Clark,23120,5,dark,M,B,001
Jordan,Clark,4684,6,dark,H,N,001
KeiTrel,Clark,23054,7,dark,B,N,013
Kenny,Clark,17661,7,dark,T,N,009
Micheal,Clemons,22162,7,dark,BMH,MG,008
Ben,Cleveland,21641,1,light,H,BD,01
Brandon,Cleveland,16346,6,dark,B,N,006
Ezra,Cleveland,20966,2,light,H,GM,004
Sean,Clifford,22728,2,light,H,B,010
Kevin,Cline,10208,4,dark,M,M,005
Jadeveon,Clowney,10845,7,dark,M,N,024
Keondre,Coburn,22935,6,dark,BHM,B,01
Devin,Cochran,22422,5,dark,M,BD,02
Jack,Cochrane,22521,2,light,M,B,01
Brandon,Codrington,196,7,dark,B,N,08
Javion,Cohen,14724,7,dark,B,G,009
Andrew,Coker,14735,5,dark,H,BD,02
Jalen,Coker,1325,4,dark,B,N,004
Adrian,Colbert,12861,7,dark,M,BD,01
Jordan,Colbert,4748,5,dark,B,N,01
Connor,Colby,15158,2,light,M,N,04
IIIAJ,Cole,20821,2,light,B,B,004
Myles,Cole,14891,6,dark,B,G,005
Kevin,Coleman Jr.,16328,6,dark,H,G,012
Brandon,Coleman,14730,5,dark,BHTM,GS,001
Jonah,Coleman,1875,7,dark,T,N,001
Keon,Coleman,14646,6,dark,B,N,0010
Chris,Collier,28437,6,dark,BMH,N,003
LJ,Collier,20422,7,dark,BMH,GS,005
Alfred,Collins,15206,5,dark,M,B,001
Beaux,Collins,15090,7,dark,M,N,005
Maliek,Collins,17738,7,dark,H,G,004
Nico,Collins,21587,7,dark,BMH,GS,005
Zaven,Collins,21495,4,dark,B,N,004
CastilloTrystan,Colon,20978,3,abstain,H,B,008
Junior,Colson,14905,6,dark,B,N,02
Branson,Combs,4629,2,light,B,N,0017
Josh,Conerly Jr,15163,6,dark,B,G,06
Jack,Conklin,17663,2,light,H,GM,004
Tyler,Conklin,13336,2,light,M,B,01
Jack,Conley,4645,2,light,H,B,004
Chamarri,Conner,23060,7,dark,B,G,008
Hayden,Conner,15154,2,light,H,B,004
James,Conner,12664,5,dark,M,M,005
Tanner,Conner,22449,2,light,BMH,S,003
Dean,Connors,16392,1,light,B,B,005
Jalin,Conyers,15112,3,abstain,H,N,01
Pat,Coogan,16366,1,light,H,S,008
Brady,Cook,14784,1,light,B,N,03
Bryan,Cook,22234,7,dark,T,G,007
Dylan,Cook,23354,5,dark,M,BD,02
Logan,Cooke,13484,1,light,B,S,001
Brandin,Cooks,10847,7,dark,BHM,MG,001
Elijah,Cooks,22822,4,dark,B,G,003
Bump,Cooper Jr,1226,7,dark,BMH,MG,008
Omar,Cooper Jr.,16299,7,dark,B,N,07
Anez,Cooper,16339,6,dark,H,BD,01
Dalton,Cooper,4636,2,light,H,GM,004
Darius,Cooper,4727,7,dark,BMH,MG,001
Edgerrin,Cooper,14902,7,dark,B,N,017
Robert,Cooper,22957,7,dark,H,B,010
Tyler,Cooper,4634,2,light,H,B,004
Austin,Corbett,13177,1,light,H,N,015
Jashaun,Corbin,22319,7,dark,B,N,013
Malachi,Corley,14659,7,dark,BMH,MG,008
Ajani,Cornelius,15149,5,dark,BHTM,GS,001
Zeke,Correll,4644,2,light,M,B,01
Blake,Corum,14623,4,dark,B,N,005
Sam,Cosmi,21533,2,light,M,N,04
SrLester,Cotton,20380,7,dark,BMH,MG,003
Kirk,Cousins,11215,1,light,B,N,01
Britain,Covey,22507,1,light,B,N,01
Jacobe,Covington,4701,7,dark,B,B,001
Byron,Cowart,20440,6,dark,H,BD,01
Jacob,Cowing,14663,7,dark,T,G,007
JrBrenton,Cox,22978,7,dark,M,N,024
Jabril,Cox,21496,6,dark,BHM,B,01
Morgan,Cox,10551,1,light,B,B,005
Keyron,Crawford,16236,7,dark,M,BD,02
Kitan,Crawford,15343,6,dark,BMH,N,003
Jeremy,Crawshaw,15367,2,light,B,N,0010
Brandon,Crenshaw-Dickson,15157,5,dark,M,M,005
Greg,Crippen,10213,2,light,H,B,004
Jalen,Cropper,22783,5,dark,M,BD,02
Maxx,Crosby,20571,2,light,B,BD,03
Jacory,Croskey-Merritt,16152,7,dark,B,N,016
Howard,Cross III,15230,4,dark,B,N,004
Charles,Cross,22437,7,dark,H,G,02
Nick,Cross,22398,5,dark,H,BD,02
Keion,Crossen,13483,7,dark,BMH,GS,011
Dametrious,Crownover,16416,6,dark,H,G,012
Frank,Crum,1333,1,light,M,N,02
Jaden,Crumedy,14887,7,dark,B,G,008
Enrique,Cruz Jr.,16406,4,dark,M,BD,02
Josh,Cuevas,1888,4,dark,B,G,003
Devin,Culp,1166,7,dark,M,BD,02
Aaron,Donald,10852,2,light,H,B,005
Malik,Cunningham,22718,7,dark,B,G,004
Zach,Cunningham,12581,7,dark,BTM,MG,006
Jake,Curhan,21546,1,light,H,BD,01
Kamren,Curl,21012,7,dark,BMH,MG,001
Caden,Curry,16181,2,light,B,B,004
McClendon,Curtis,22904,7,dark,H,G,004
Lloyd,Cushenberry III,20974,7,dark,BMH,MG,001
