name,pos,years_pro_read,note
Neil Colzie,SS,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Bill Cowher,OLB,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Arthur Cox,TE,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jeff Davis,ILB,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Charles De Jurnett,DT,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mark Denard,C,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Zach Dixon,RB,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dan Doornick,FB,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dan Dufour,C,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mark Duper,WR,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Tony Eason,QB,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Stan Edwards,FB,12,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
John Ehrmann,DE,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Henry Ellard,WR,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Russell Erxleben,P,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Reggie Evans,RB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Rob Fada,C,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Vince Ferragammo,QB,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mike Ford,QB,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
David Frye,OLB,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ralph Giacomarro,P,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Tim Golden,ILB,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jerry Golsteyn,QB,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dwaine Graham,SS,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Darryl Haley,T,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Aaron Hamilton,K,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jim Hannula,G,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
John Harper,ILB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Steve Haworth,CB,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Keith Hein,TE,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Luther Henson,DE,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Floyd Hodge,WR,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Rodney Holman,TE,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Thomas Hopkins,G,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Harian Huckleby,RB,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Brian Ingram,OLB,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
John Jeffries,CB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Demetrious Johnson,CB,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dan Johnson,TE,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Greg Johnson,CB,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Norm Johnson,K,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mike Jolly,FS,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Cedric Jones,WR,12,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
A.J. Jones,RB,12,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Trey Junkin,DE,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Tom Jurich,K,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Kani Kauahi,C,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mike Kerrigan,QB,12,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Bruce Kimball,T,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Rocky Klever,TE,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Myron Lapka,DE,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Walker Lee Lawrence,FS,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dave Levenick,OLB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
David Lewis,ILB,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ronnie Lippett,CB,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Demetrious Lowe,OLB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Quinton Lowry,OLB,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
George Macek,G,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Steve Maidlow,OLB,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Fred Marion,SS,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dale Markham,T,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mike Martin,WR,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Sam McCollum,WR,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Van McElroy,FS,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Larry McGrew,OLB,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dennis McKnight,C,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Richard Merrill,DT,15,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Pete Metzelaars,TE,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Brett Miller,T,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dean Miraldi,T,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Steve Moore,G,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Craig Morten,QB,18,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jesse Myles,FB,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Joe Nash,DE,15,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jim Nickolson,T,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Hans Nielsen,K,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Cliff Odom,ILB,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
John Olenchalk,C,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Neil Olkewicz,ILB,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dennis Owens,DE,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jim Pattillo,QB,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mike Pitts,DT,12,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Kevin Potter,CB,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Robert Pratt,G,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Andrew Provence,DE,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
John Rade,OLB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Garry Raymond,G,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Abraham Reaves,TE,13,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dan Reavis,T,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Johnny Rembert,OLB,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ed Reynolds,ILB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Hacksaw Reynolds,ILB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Gerald Riggs,RB,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dave Rimington,C,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Shelton Robinson,ILB,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Doug Rogers,DT,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jody Schulz,ILB,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dave Simmons,ILB,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ed Simmons,G,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ron Simpkins,OLB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Kenneth Sims,DT,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
John Sinnott,C,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ricky Smith,CB,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ronnie Smith,WR,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Freddie Soloman,WR,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Stephen Starring,WR,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Rich Stringer,T,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Tom Tenure,C,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Andre Tippett,OLB,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Greg Townsend,DT,13,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mark Tuinei,T,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Tom Tutson,CB,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Steve Ulysses,C,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Rich Umphrey,C,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Zach Valentine,OLB,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Keith VanHorne,T,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jeff VanNote,C,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
James Walker,OLB,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Byron Walker,WR,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dwight Walker,RB,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Alvin Walton,FS,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Curt Warner,RB,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
John Warren,P,13,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ricky Watts,WR,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Robert Weathers,RB,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Clarence Weathers,WR,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Clayton Weishuhn,ILB,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Richard Williams,FB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Lester Williams,DE,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Toby Williams,DT,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Fred Williamson,CB,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Darryal Wilson,WR,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Gary Wimmer,ILB,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Trey Winder,RB,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ron Wooten,G,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jim Wright,TE,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ben Young,TE,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Joaquin Zendejas,K,7,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
P.K. jaguars,P,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
P.K. panthers,P,10,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
P.K. ravens,P,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
