team,name,fdb_pos,mod_pos,pgm3_pos,povr,rating,join_tier,pos_note
atlanta-falcons,Mike Moroski,QB,QB,QB,75,72,team+name,
atlanta-falcons,Mike Zele,DT,DT,DT,72,61,team+name,
atlanta-falcons,Pat Howell,OG,RG,OG,75,63,team+name,
atlanta-falcons,Paul Ryczek,C,C,C,75,63,team+name,
atlanta-falcons,Phil McKinnely,OT,LT,OT,71,62,team+name,
atlanta-falcons,R.C. Thielemann,OG,RG,OG,88,82,team+name,
atlanta-falcons,Ray Easterling,DB,FS,S,81,69,team+name,
atlanta-falcons,Ray Strong,RB,RB,RB,74,65,team+name,
atlanta-falcons,Rick Byas,DB,CB,CB,87,82,team+name,
atlanta-falcons,Robert Pennywell,LB,MLB,MLB,84,77,team+name,
atlanta-falcons,Rolland Lawrence,DB,CB,CB,91,87,team+name,
atlanta-falcons,Ronnie McCartney,LB,MLB,MLB,71,62,team+surname+position,
atlanta-falcons,Russ Mikeska,TE,TE,TE,67,54,team+name,
atlanta-falcons,Steve Bartkowski,QB,QB,QB,86,91,team+name,
atlanta-falcons,Tim Mazzetti,K,K,K,76,73,team+name,
atlanta-falcons,Tom Moriarty,DB,CB,CB,73,62,team+name,
atlanta-falcons,Tom Pridemore,DB,FS,S,83,72,team+name,
atlanta-falcons,Tony Daykin,LB,ROLB,OLB,70,61,team+name,
atlanta-falcons,Wally Francis,WR,WR,WR,86,82,team+surname+position,
atlanta-falcons,Warren Bryant,OT,RT,OT,82,72,team+name,
atlanta-falcons,William Andrews,RB,FB,RB,83,72,team+name,
atlanta-falcons,Wilson Faumuina,DT,DT,DT,83,74,team+name,
baltimore-colts,Barry Krauss,LB,MLB,MLB,68,58,team+name,
baltimore-colts,Ben Garry,RB,RB,RB,67,54,team+name,
baltimore-colts,Bert Jones,QB,QB,QB,77,76,team+name,
baltimore-colts,Bob Pratt,OG,LG,OG,82,72,team+surname+position,
baltimore-colts,Bob Van Duyne,OG,RT,OT,75,68,team+name,
baltimore-colts,Brian DeRoo,WR,WR,WR,74,64,team+name,
baltimore-colts,Bruce Laird,DB,SS,S,96,93,team+name,
baltimore-colts,Bucky Dilts,P,P,P,78,72,team+name,
baltimore-colts,David Taylor,OT,LT,OT,78,71,team+surname+position,
baltimore-colts,Don Hardeman,RB,FB,RB,82,69,team+name,
baltimore-colts,Don McCauley,RB,RB,RB,78,72,team+name,
baltimore-colts,Doug Nettles,DB,CB,CB,81,72,team+name,
baltimore-colts,Dwight Harrison,DB,CB,CB,79,68,team+name,
baltimore-colts,Ed Simonini,LB,MLB,MLB,85,80,team+name,
baltimore-colts,Fred Cook,DE,LE,DE,87,79,team+name,
baltimore-colts,Glenn Doughty,WR,WR,WR,87,84,team+name,
baltimore-colts,Greg Fields,DE,RE,DE,69,51,team+name,
baltimore-colts,Greg Landry,QB,QB,QB,76,73,team+name,
baltimore-colts,Herb Orvis,DE,DT,DT,76,65,team+name,
baltimore-colts,Jeff Hart,OT,RT,OT,78,71,team+name,
baltimore-colts,Jerry Golsteyn,QB,QB,QB,63,60,name only (moved or FA in the mod),
baltimore-colts,Jim Krahl,DT,DT,DT,64,53,team+name,
baltimore-colts,Joe Ehrmann,DT,DT,DT,85,77,team+name,
baltimore-colts,Joe Washington,RB,RB,RB,85,85,team+name,
baltimore-colts,Ken Huff,OG,RG,OG,86,79,team+name,
baltimore-colts,Ken Mendenhall,C,C,C,86,77,team+name,
baltimore-colts,Larry Braziel,DB,CB,CB,81,72,team+name,
baltimore-colts,Lee Gross,C,C,C,70,45,team+name,
baltimore-colts,Lyle Blackwood,DB,FS,S,90,82,team+name,
baltimore-colts,Mack Alston,TE,TE,TE,77,66,team+name,
baltimore-colts,Mike Barnes,DT,DT,DT,88,81,team+name,
baltimore-colts,Mike Ozdowski,DE,LE,DE,80,65,team+name,
baltimore-colts,Mike Siani,WR,WR,WR,80,73,team+name,
baltimore-colts,Mike Woods,LB,ROLB,OLB,69,57,team+name,
baltimore-colts,Nesby Glasgow,DB,FS,S,77,63,team+name,
baltimore-colts,Norm Thompson,DB,CB,CB,79,68,team+name,
baltimore-colts,Randy Burke,WR,WR,WR,75,65,team+name,
baltimore-colts,Reese McCall,TE,TE,TE,79,70,team+name,
baltimore-colts,Reggie Pinkney,DB,CB,CB,77,65,team+name,
baltimore-colts,Roger Carr,WR,WR,WR,87,84,team+name,
baltimore-colts,Ron Baker,OG,LG,OG,74,64,team+name,
baltimore-colts,Ron Fernandes,DE,RE,DE,81,70,team+name,
baltimore-colts,Roosevelt Leaks,RB,FB,RB,83,72,team+name,
baltimore-colts,Sanders Shiver,LB,LOLB,OLB,83,80,team+name,
baltimore-colts,Stan White,LB,ROLB,OLB,86,84,team+name,
baltimore-colts,Steve Mike-Mayer,K,K,K,76,73,team+name,
baltimore-colts,Steve Zabel,LB,LOLB,OLB,80,74,team+name,
baltimore-colts,Wade Griffin,OT,LT,OT,76,68,team+name,
buffalo-bills,Ben Williams,DE,LE,DE,83,71,team+name,
buffalo-bills,Bill Munson,QB,QB,QB,66,63,team+name,
buffalo-bills,Bob Chandler,WR,WR,WR,82,76,team+name,
buffalo-bills,Charles Romes,DB,CB,CB,85,78,team+name,
buffalo-bills,Chris Keating,LB,ROLB,OLB,67,55,team+name,
buffalo-bills,Curtis Brown,RB,FB,RB,83,72,team+name,
buffalo-bills,Dan Jilek,LB,LOLB,OLB,75,66,team+name,
buffalo-bills,Dan Manucci,QB,QB,QB,65,62,team+name,
buffalo-bills,Danny Fulton,WR,WR,WR,74,64,team+name,
buffalo-bills,Dee Hardison,DE,DT,DT,79,69,team+name,
buffalo-bills,Dennis Johnson,RB,FB,RB,67,51,team+surname+position,
buffalo-bills,Doug Greene,DB,SS,S,72,62,team+name,
buffalo-bills,Ed Fulton,OG,RG,OG,69,59,team+name,
buffalo-bills,Frank Lewis,WR,WR,WR,84,78,team+name,
buffalo-bills,Fred Smerlas,DT,DT,DT,83,74,team+name,
buffalo-bills,Isiah Robertson,LB,LOLB,OLB,90,86,team+name,
buffalo-bills,Jeff Nixon,DB,FS,S,79,66,team+name,
buffalo-bills,Jerry Butler,WR,WR,WR,83,76,team+name,
buffalo-bills,Jim Haslett,LB,MLB,MLB,76,69,team+name,
buffalo-bills,Joe DeLamielleure,OG,RG,OG,94,89,team+name,
buffalo-bills,Joe Devlin,OT,RT,OT,79,71,team+name,
buffalo-bills,Joe Ferguson,QB,QB,QB,83,86,team+name,
buffalo-bills,Jon Borchardt,OG,RT,OT,71,65,team+name,
buffalo-bills,Joseph Shipp,TE,TE,TE,70,58,team+surname+position,
buffalo-bills,Keith Moody,DB,CB,CB,82,74,team+name,
buffalo-bills,Ken Johnson,DE,RE,DE,72,56,team+surname+position,
buffalo-bills,Ken Jones,OT,LT,OT,77,70,team+name,
buffalo-bills,Leonard Willis,WR,WR,WR,73,63,team+name,
buffalo-bills,Lou Piccone,WR,WR,WR,81,74,team+name,
buffalo-bills,Lucius Sanford,LB,ROLB,OLB,81,74,team+name,
buffalo-bills,Mario Clark,DB,CB,CB,90,86,team+name,
buffalo-bills,Mike Collier,RB,RB,RB,71,61,team+name,
buffalo-bills,Mike Kadish,DT,DT,DT,84,77,team+name,
buffalo-bills,Nick Mike-Mayer,K,K,K,82,79,team+name,
buffalo-bills,Reggie McKenzie,OG,LG,OG,94,89,team+name,
buffalo-bills,Reuben Gant,TE,TE,TE,79,70,team+name,
buffalo-bills,Roland Hooks,RB,RB,RB,77,69,team+name,
buffalo-bills,Ron Howard,TE,TE,TE,72,62,team+name,
buffalo-bills,Rusty Jackson,P,P,P,83,78,team+name,
buffalo-bills,Scott Hutchinson,DE,LE,DE,71,56,team+name,
buffalo-bills,Shane Nelson,LB,MLB,MLB,76,69,team+name,
buffalo-bills,Sherman White,DE,RE,DE,89,82,team+name,
buffalo-bills,Steve Freeman,DB,SS,S,84,74,team+name,
buffalo-bills,Steve Powell,RB,RB,RB,66,49,team+name,
buffalo-bills,Terry Miller,RB,RB,RB,80,77,team+name,
buffalo-bills,Tim Vogler,C,RG,OG,74,62,team+name,
buffalo-bills,Tom Dempsey,K,K,K,70,54,team+name,
buffalo-bills,Tom Higgins,LB,ROLB,OLB,70,61,team+name,
buffalo-bills,Tony Greene,DB,FS,S,90,82,team+name,
buffalo-bills,Will Grant,C,C,C,75,63,team+name,
buffalo-bills,Willie Parker,C,C,C,81,68,team+name,
chicago-bears,Al Harris,LB,RE,DE,82,71,team+name,
chicago-bears,Alan Page,DT,DT,DT,92,86,team+name,
chicago-bears,Allan Ellis,DB,CB,CB,77,65,team+name,
chicago-bears,Bob Avellini,QB,QB,QB,75,72,team+name,
chicago-bears,Bob Parsons,P,P,P,84,79,team+name,
chicago-bears,Bob Thomas,K,K,K,85,82,team+name,
chicago-bears,Brian Baschnagel,WR,WR,WR,85,80,team+name,
chicago-bears,Bruce Herron,LB,ROLB,OLB,69,57,team+name,
chicago-bears,Dan Hampton,DT,LE,DE,86,77,team+name,
chicago-bears,Dan Jiggetts,OT,RT,OT,72,66,team+name,
chicago-bears,Dan Neal,C,C,C,84,74,team+name,
chicago-bears,Dave Williams,RB,FB,RB,83,72,team+name,
chicago-bears,Dennis Lick,OT,RT,OT,85,78,team+name,
chicago-bears,Doug Buffone,LB,LOLB,OLB,79,72,team+name,
chicago-bears,Doug Plank,DB,FS,S,91,83,team+name,
chicago-bears,Gary Campbell,LB,ROLB,OLB,83,79,team+name,
chicago-bears,Gary Fencik,DB,SS,S,95,88,team+name,
chicago-bears,Golden Richards,WR,WR,WR,78,69,team+name,
chicago-bears,Greg Latta,TE,TE,TE,79,70,team+name,
chicago-bears,Harry Washington,WR,WR,WR,69,59,team+name,
chicago-bears,Jack Deloplaine,RB,RB,RB,69,58,team+name,
chicago-bears,James Scott,WR,WR,WR,84,78,team+name,
chicago-bears,Jerry Meyers,DE,LE,DE,77,60,team+name,
chicago-bears,Jerry Muckensturm,LB,LOLB,OLB,80,74,team+name,
chicago-bears,Jim Osborne,DT,DT,DT,90,83,team+name,
chicago-bears,John Skibinski,RB,RB,RB,68,56,team+name,
chicago-bears,Kris Haines,WR,WR,WR,69,59,team+name,
chicago-bears,Lee Kunz,LB,MLB,MLB,69,60,team+name,
chicago-bears,Len Walterscheid,DB,FS,S,76,61,team+name,
chicago-bears,Lonnie Perrin,RB,RB,RB,75,67,team+name,
chicago-bears,Lynn Boden,OG,RG,OG,82,71,team+name,
chicago-bears,Mark Merrill,LB,MLB,MLB,71,62,name only (moved or FA in the mod),
chicago-bears,Mike Cobb,TE,TE,TE,79,70,team+name,
chicago-bears,Mike Hartenstine,DE,RE,DE,83,72,team+name,
chicago-bears,Mike Phipps,QB,QB,QB,76,73,team+name,
chicago-bears,Mike Spivey,DB,CB,CB,78,67,team+name,
chicago-bears,Noah Jackson,OG,LG,OG,88,83,team+name,
chicago-bears,Revie Sorey,OG,RG,OG,84,78,team+name,
chicago-bears,Rickey Watts,WR,WR,WR,80,73,team+name,
chicago-bears,Robin Earl,RB,TE,TE,78,68,team+name,
chicago-bears,Ron Rydalch,DT,DT,DT,84,77,team+name,
chicago-bears,Steve Schubert,WR,WR,WR,74,64,team+name,
chicago-bears,Ted Albrecht,OT,LT,OT,84,80,team+name,
chicago-bears,Terry Schmidt,DB,CB,CB,84,76,team+name,
chicago-bears,Tom Hicks,LB,MLB,MLB,84,77,team+name,
chicago-bears,Tommy Hart,DE,LE,DE,85,76,team+name,
chicago-bears,Tony Ardizzone,C,C,C,66,41,team+name,
chicago-bears,Vince Evans,QB,QB,QB,75,72,team+name,
chicago-bears,Virgil Livers,DB,CB,CB,86,81,team+name,
chicago-bears,Walter Payton,RB,RB,RB,99,98,team+name,
chicago-bears,Wentford Gaines,DB,CB,CB,76,64,team+name,
chicago-bears,Willie McClendon,RB,FB,RB,73,59,team+name,
cincinnati-bengals,Archie Griffin,RB,RB,RB,78,72,team+name,
cincinnati-bengals,Barney Cotton,OG,LT,OT,66,57,team+name,
cincinnati-bengals,Billy Brooks,WR,WR,WR,78,69,team+name,
cincinnati-bengals,Blair Bush,C,C,C,81,68,team+name,
cincinnati-bengals,Bo Harris,LB,LOLB,OLB,79,72,team+name,
cincinnati-bengals,Bob Johnson,C,C,C,79,67,team+name,
cincinnati-bengals,Charles Alexander,RB,RB,RB,78,72,team+name,
cincinnati-bengals,Chris Bahr,K,K,K,81,77,team+name,
cincinnati-bengals,Dan Ross,TE,TE,TE,84,76,team+name,
cincinnati-bengals,Dave Lapham,OG,RG,OG,83,76,team+name,
cincinnati-bengals,Deacon Turner,RB,RB,RB,73,63,team+name,
cincinnati-bengals,Dick Jauron,DB,FS,S,78,65,team+name,
cincinnati-bengals,Don Bass,TE,WR,WR,86,82,team+name,
cincinnati-bengals,Eddie Edwards,DE,DT,DT,79,69,team+name,
cincinnati-bengals,Gary Burley,DE,LE,DE,82,69,team+name,
cincinnati-bengals,Glenn Bujnoch,OG,LG,OG,75,66,team+name,
cincinnati-bengals,Glenn Cameron,LB,LOLB,OLB,78,70,team+name,
cincinnati-bengals,Howie Kurnick,LB,MLB,MLB,67,56,team+surname+position,
cincinnati-bengals,Isaac Curtis,WR,WR,WR,85,80,team+name,
cincinnati-bengals,Jack Thompson,QB,QB,QB,70,67,team+name,
cincinnati-bengals,James Corbett,TE,TE,TE,67,54,team+surname+position,
cincinnati-bengals,Jim Browner,DB,FS,S,67,54,team+name,
cincinnati-bengals,Jim LeClair,LB,MLB,MLB,87,87,team+name,
cincinnati-bengals,Ken Anderson,QB,QB,QB,90,94,team+name,
cincinnati-bengals,Ken Riley,DB,CB,CB,80,70,team+name,
cincinnati-bengals,Louis Breeden,DB,CB,CB,81,72,team+name,
cincinnati-bengals,Mack Mitchell,DE,RE,DE,80,69,team+name,
cincinnati-bengals,Mark Donahue,OG,LG,OG,72,60,team+name,
cincinnati-bengals,Marvin Cobb,DB,SS,S,84,74,team+name,
cincinnati-bengals,Max Montoya,OG,RG,OG,82,71,team+name,
cincinnati-bengals,Mike Levenseller,WR,WR,WR,67,58,team+name,
cincinnati-bengals,Mike White,DT,DT,DT,69,57,team+name,
cincinnati-bengals,Mike Wilson,OT,LT,OT,76,68,team+surname+position,
cincinnati-bengals,Nathan Poole,RB,FB,RB,52,45,team+name,
cincinnati-bengals,Pat McInally,P,P,P,81,75,"team+name, duplicate in mod",
cincinnati-bengals,Pete Johnson,RB,FB,RB,85,78,team+name,
cincinnati-bengals,Ray Griffin,DB,CB,CB,77,65,team+name,
cincinnati-bengals,Reggie Williams,LB,ROLB,OLB,87,85,team+name,
cincinnati-bengals,Rick Walker,TE,TE,TE,81,72,team+name,
cincinnati-bengals,Ross Browner,DE,RE,DE,86,76,team+name,
cincinnati-bengals,Scott Burk,DB,SS,S,70,60,team+name,
cincinnati-bengals,Scott Perry,DB,FS,S,77,63,team+name,
cincinnati-bengals,Steve Kreider,WR,WR,WR,76,67,team+name,
cincinnati-bengals,Tom Dinkel,LB,LOLB,OLB,77,68,team+name,
cincinnati-bengals,Tom Ruud,LB,ROLB,OLB,70,61,team+name,
cincinnati-bengals,Vaughn Lusby,DB,CB,CB,64,52,team+name,
cincinnati-bengals,Vern Holland,OT,RT,OT,83,74,team+name,
cincinnati-bengals,Wilson Whitley,DT,DT,DT,82,72,team+name,
cleveland-browns,Brian Sipe,QB,QB,QB,83,86,team+name,
cleveland-browns,Calvin Hill,RB,TE,TE,78,68,team+name,
cleveland-browns,Charlie Hall,LB,LOLB,OLB,82,77,team+name,
cleveland-browns,Clarence Scott,DB,SS,S,88,82,team+name,
cleveland-browns,Clay Matthews,LB,ROLB,OLB,88,87,team+name,
cleveland-browns,Cleo Miller,RB,FB,RB,87,82,team+name,
cleveland-browns,Clinton Burrell,DB,CB,CB,70,57,team+name,
cleveland-browns,Cody Risien,OT,LG,OG,83,76,team+name,
cleveland-browns,Curtis Weathers,LB,ROLB,OLB,74,67,team+name,
cleveland-browns,Dave Graf,LB,LOLB,OLB,69,58,team+name,
cleveland-browns,Dave Logan,WR,WR,WR,85,80,team+name,
cleveland-browns,Dick Ambrose,LB,MLB,MLB,84,77,team+name,
cleveland-browns,Dino Hall,RB,RB,RB,70,59,team+name,
cleveland-browns,Don Cockroft,K,K,K,78,74,team+name,
cleveland-browns,Doug Dieken,OT,LT,OT,89,87,team+name,
cleveland-browns,George Buehler,OG,RG,OG,83,76,team+name,
cleveland-browns,Gerald Irons,LB,ROLB,OLB,82,77,team+name,
cleveland-browns,Gerry Sullivan,C,C,C,75,63,team+name,
cleveland-browns,Greg Pruitt,RB,RB,RB,87,87,team+name,
cleveland-browns,Henry Bradley,DT,DT,DT,71,60,team+name,
cleveland-browns,Henry Sheppard,OG,RT,OT,85,78,team+name,
cleveland-browns,Jack Gregory,DE,RE,DE,84,73,team+name,
cleveland-browns,Jerry Sherk,DT,DT,DT,90,83,team+name,
cleveland-browns,John Smith,WR,WR,WR,71,61,team+surname+position,
cleveland-browns,Johnny Evans,P,P,P,77,69,"team+name, duplicate in mod",
cleveland-browns,Keith Wright,WR,WR,WR,73,63,team+name,
cleveland-browns,Lawrence Johnson,DB,FS,CB,76,61,team+name,"Wikipedia 1979 Browns roster: CB. NFL79 says S, the 2K5 save says CB."
cleveland-browns,Lyle Alzado,DE,RE,DE,97,92,team+name,
cleveland-browns,Mark Miller,QB,QB,QB,68,64,team+name,
cleveland-browns,Matt Miller,OT,RT,OT,68,60,team+name,
cleveland-browns,Mickey Sims,DT,DT,DT,77,66,team+name,
cleveland-browns,Mike Pruitt,RB,FB,RB,89,84,team+name,
cleveland-browns,Mike St. Clair,DE,LE,DE,83,71,team+name,
cleveland-browns,Oliver Davis,DB,CB,CB,86,81,team+name,
cleveland-browns,Ozzie Newsome,TE,TE,TE,94,90,team+name,
cleveland-browns,Pat Moriarty,RB,RB,RB,63,45,team+name,
cleveland-browns,Randy Rich,DB,CB,CB,64,52,team+name,
cleveland-browns,Reggie Rucker,WR,WR,WR,85,80,team+name,
cleveland-browns,Rich Dimler,DT,DT,DT,66,55,team+name,
cleveland-browns,Ricky Feacher,WR,WR,WR,76,67,team+name,
cleveland-browns,Ricky Jones,LB,SS,OLB,73,63,team+name,"Wikipedia 1979 Browns roster: #47 OLB, under Linebackers. Both rating sources call him a DB."
cleveland-browns,Robert Jackson,OG,RG,OG,92,86,team+surname+position,
cleveland-browns,Robert Jackson,LB,MLB,MLB,84,77,team+surname+position,
cleveland-browns,Ron Bolton,DB,CB,CB,89,85,team+name,
cleveland-browns,Thom Darden,DB,FS,S,95,87,team+name,
cleveland-browns,Tom DeLeone,C,C,C,89,81,team+name,
cleveland-browns,Willis Adams,WR,WR,WR,71,61,team+name,
dallas-cowboys,Aaron Kyle,DB,CB,CB,84,76,team+name,
dallas-cowboys,Aaron Mitchell,DB,CB,CB,78,67,team+name,
dallas-cowboys,Alois Blackwell,RB,RB,RB,69,58,team+name,
dallas-cowboys,Andy Frederick,OT,LT,OT,76,68,team+name,
dallas-cowboys,Benny Barnes,DB,CB,CB,87,82,team+name,
dallas-cowboys,Billy Joe DuPree,TE,TE,TE,92,86,team+name,
dallas-cowboys,Bob Breunig,LB,MLB,MLB,86,84,team+name,
dallas-cowboys,Bruce Huther,LB,MLB,MLB,74,63,team+name,
dallas-cowboys,Bruce Thornton,DE,RE,DE,78,66,team+name,
dallas-cowboys,Burton Lawless,OG,LG,OG,85,80,team+name,
dallas-cowboys,Butch Johnson,WR,WR,WR,87,84,team+name,
dallas-cowboys,Cliff Harris,DB,FS,S,96,93,team+name,
dallas-cowboys,D.D. Lewis,LB,ROLB,OLB,84,81,team+name,
dallas-cowboys,Danny White,QB,QB,QB,82,83,"team+name, duplicate in mod",
dallas-cowboys,Dave Stalls,DE,DT,DT,81,71,team+name,
dallas-cowboys,Dennis Thurman,DB,CB,CB,83,75,team+name,
dallas-cowboys,Doug Cosbie,TE,TE,TE,76,65,team+name,
dallas-cowboys,Drew Pearson,WR,WR,WR,89,87,team+name,
dallas-cowboys,Glenn Carano,QB,QB,QB,68,64,team+name,
dallas-cowboys,Guy Brown,LB,ROLB,OLB,71,63,team+name,
dallas-cowboys,Harvey Martin,DE,RE,DE,98,95,team+name,
dallas-cowboys,Herbert Scott,OG,LG,OG,90,85,team+name,
dallas-cowboys,Jay Saldi,TE,TE,TE,79,70,team+name,
dallas-cowboys,Jim Cooper,OT,RT,OT,86,82,team+name,
dallas-cowboys,John Dutton,DT,DT,DT,87,79,team+name,
dallas-cowboys,John Fitzgerald,C,C,C,92,86,team+name,
dallas-cowboys,Larry Bethea,DT,LE,DE,80,65,team+name,
dallas-cowboys,Larry Brinson,RB,RB,RB,73,63,team+name,
dallas-cowboys,Larry Cole,DE,LE,DE,89,86,team+name,
dallas-cowboys,Mike Hegman,LB,LOLB,OLB,77,68,team+name,
dallas-cowboys,Pat Donovan,OT,LT,OT,88,84,team+name,
dallas-cowboys,Preston Pearson,RB,RB,RB,77,69,team+name,
dallas-cowboys,Rafael Septien,K,K,K,86,83,team+name,
dallas-cowboys,Randy Hughes,DB,FS,S,86,77,team+name,
dallas-cowboys,Randy White,DT,DT,DT,97,93,team+name,
dallas-cowboys,Rayfield Wright,OT,RT,OT,84,76,team+name,
dallas-cowboys,Robert Newhouse,RB,FB,RB,92,86,team+name,
dallas-cowboys,Robert Shaw,C,C,C,68,43,team+name,
dallas-cowboys,Roger Staubach,QB,QB,QB,93,98,team+name,
dallas-cowboys,Ron Springs,RB,FB,RB,84,76,team+name,
dallas-cowboys,Scott Laidlaw,RB,RB,RB,77,69,team+name,
dallas-cowboys,Steve Wilson,DB,SS,S,70,60,team+name,
dallas-cowboys,Thomas Henderson,LB,LOLB,OLB,84,81,team+name,
dallas-cowboys,Tom Rafferty,C,RG,OG,92,86,team+name,
dallas-cowboys,Tony Dorsett,RB,RB,RB,89,94,team+name,
dallas-cowboys,Tony Hill,WR,WR,WR,89,87,team+name,
dallas-cowboys,Wade Manning,WR,WR,WR,69,59,team+name,
denver-broncos,Barney Chavous,DE,LE,DE,88,83,team+name,
denver-broncos,Bernard Jackson,DB,FS,S,95,87,team+name,
denver-broncos,Billy Bryan,C,C,C,84,74,team+surname+position,
denver-broncos,Billy Thompson,DB,SS,S,95,88,team+surname+position,
denver-broncos,Bob Swenson,LB,LOLB,OLB,85,82,team+name,
denver-broncos,Brison Manor,DE,LE,DE,79,63,team+name,
denver-broncos,Bruce Radford,DT,RE,DE,73,59,team+name,
denver-broncos,Charlie West,DB,CB,CB,72,61,team+name,
denver-broncos,Chris Pane,DB,CB,CB,80,70,team+name,
denver-broncos,Claudie Minor,OT,LT,OT,88,84,team+name,
denver-broncos,Craig Morton,QB,QB,QB,76,73,team+name,
denver-broncos,Craig Penrose,QB,QB,QB,67,64,team+name,
denver-broncos,Dave Preston,RB,RB,RB,76,68,team+name,
denver-broncos,Dave Studdard,OT,RT,OT,76,69,team+name,
denver-broncos,Don Latimer,DT,DT,DT,69,57,team+name,
denver-broncos,Fred Steinfort,K,K,K,63,52,team+name,
denver-broncos,George Atkinson,DB,SS,S,86,80,team+name,
denver-broncos,Glenn Hyde,C,RT,OT,78,71,team+name,
denver-broncos,Haven Moses,WR,WR,WR,89,87,team+name,
denver-broncos,Jack Dolbin,WR,WR,WR,81,74,team+name,
denver-broncos,Jim Jensen,RB,FB,RB,86,79,team+name,
denver-broncos,Jim Ryan,LB,LOLB,OLB,63,55,team+name,
denver-broncos,Jim Turner,K,K,K,75,71,team+name,
denver-broncos,Joe Rizzo,LB,MLB,MLB,87,87,team+name,
denver-broncos,John Grant,DE,DT,DT,82,72,team+name,
denver-broncos,Jon Keyworth,RB,FB,RB,85,78,team+name,
denver-broncos,Kelvin Clark,OT,LG,OG,73,62,team+name,
denver-broncos,Ken Brown,C,C,C,71,51,team+name,
denver-broncos,Kit Lathrop,DE,LE,DE,63,51,team+name,
denver-broncos,Larry Canada,RB,FB,RB,74,61,team+name,
denver-broncos,Larry Evans,LB,ROLB,OLB,71,63,team+name,
denver-broncos,Louis Wright,DB,CB,CB,94,92,team+name,
denver-broncos,Luke Prestridge,P,P,P,68,56,team+name,
denver-broncos,Norris Weese,QB,QB,QB,75,72,team+name,
denver-broncos,Otis Armstrong,RB,RB,RB,81,81,team+name,
denver-broncos,Paul Howard,OG,RG,OG,87,80,team+name,
denver-broncos,Randy Gradishar,LB,MLB,MLB,94,93,team+name,
denver-broncos,Rick Upchurch,WR,WR,WR,83,76,team+name,
denver-broncos,Riley Odoms,TE,TE,TE,92,86,team+name,
denver-broncos,Rob Lytle,RB,RB,RB,80,77,team+name,
denver-broncos,Rob Nairne,LB,LOLB,OLB,71,60,team+name,
denver-broncos,Ron Egloff,TE,TE,TE,73,63,team+name,
denver-broncos,Rubin Carter,DT,DT,DT,92,86,team+name,
denver-broncos,Steve Foley,DB,CB,CB,91,87,team+name,
denver-broncos,Steve Watson,WR,WR,WR,74,64,team+name,
denver-broncos,Tom Glassic,OG,LG,OG,91,87,team+name,
denver-broncos,Tom Jackson,LB,ROLB,OLB,95,97,team+name,
denver-broncos,Vince Kinney,WR,WR,WR,70,60,team+name,
denver-broncos,Zachary Dixon,RB,RB,RB,66,49,team+name,
detroit-lions,Al Baker,DE,RE,DE,92,86,team+name,
detroit-lions,Amos Fowler,C,C,C,74,59,team+name,
detroit-lions,Benny Ricardo,K,K,K,78,74,team+name,
detroit-lions,Bo Robinson,RB,FB,RB,77,63,team+name,
detroit-lions,Charlie Weaver,LB,MLB,MLB,82,74,team+name,
detroit-lions,Cleveland Elam,DT,DT,DT,84,77,team+name,
detroit-lions,Dave Gallagher,DE,DT,DT,76,65,team+name,
detroit-lions,Dave Parkin,DB,FS,S,77,63,team+name,
detroit-lions,Dave Pureifory,DE,LE,DE,84,73,team+name,
