file,iden,role,teamID,name_before,name_after,provenance,how
1979,4785D432-4967-5231-C426-54CE268B4037,Head Coach,MIA,Don Shula,Don Shula,sourced,exact (wip/staff_1979.csv)
1979,E547F390-EBB2-3C7E-A353-EF104961DBE5,Head Coach,MIN,Bud Grant,Bud Grant,sourced,exact (wip/staff_1979.csv)
1979,261AAA4E-70C9-DAFD-2BBB-7D76BE882DBF,Head Coach,NE,Ron Erhardt,Ron Erhardt,sourced,exact (wip/staff_1979.csv)
1979,68C4607D-62F7-D547-2FD3-3A74ED61A5D8,Head Coach,NO,Dick Nolan,Dick Nolan,sourced,exact (wip/staff_1979.csv)
1979,8D541585-53FB-B4B3-EF6D-C611851FC528,Head Coach,NYG,Ray Perkins,Ray Perkins,sourced,exact (wip/staff_1979.csv)
1979,AF4044BA-7F72-DDBE-24AA-7468371C1A2C,Head Coach,NYJ,Walt Michaels,Walt Michaels,sourced,exact (wip/staff_1979.csv)
1979,19BC1526-3858-111C-BC09-F9477A2BD540,Head Coach,LV,Tom Flores,Tom Flores,sourced,exact (wip/staff_1979.csv)
1979,C1B62C38-73D4-0AE3-579E-E448F94B577D,Head Coach,PHI,Dick Vermeil,Dick Vermeil,sourced,exact (wip/staff_1979.csv)
1979,E2C86C15-6FAC-62A3-9C27-6C2DE09DFF65,Head Coach,PIT,Chuck Noll,Chuck Noll,sourced,exact (wip/staff_1979.csv)
1979,E6343393-5345-52AF-0DB5-B795003E87D5,Head Coach,LAC,Don Coryell,Don Coryell,sourced,exact (wip/staff_1979.csv)
1979,6D7E57F1-0330-3979-254E-EAF3C76D9659,Head Coach,SEA,Jack Patera,Jack Patera,sourced,exact (wip/staff_1979.csv)
1979,F37119CB-AB17-71C6-D314-30B90C6E51E5,Head Coach,SF,Bill Walsh,Bill Walsh,sourced,exact (wip/staff_1979.csv)
1979,8CE4B949-111A-1BF6-923E-39784BB720A2,Head Coach,ARI,Bud Wilkinson,Bud Wilkinson,sourced,exact (wip/staff_1979.csv)
1979,35CDCFA6-68CC-E0F7-B96E-A25FB35B58C3,Head Coach,TB,John McKay,John McKay,sourced,exact (wip/staff_1979.csv)
1979,4BE247A4-5EFF-C2B0-7504-B1D7BE631246,Head Coach,WAS,Jack Pardee,Jack Pardee,sourced,exact (wip/staff_1979.csv)
1979,B7FF51C6-6E78-835F-9F29-3BB202512D39,Head Coach,TEN,George Allen,George Allen,named by Ryan,exact (wip/staff_1979.csv)
1979,554C11ED-0C53-913D-7366-4C6C07C436D2,Head Coach,CAR,Bill Arnsparger,Bill Arnsparger,named by Ryan,exact (wip/staff_1979.csv)
1979,70D5CDCA-2528-73B1-31DD-4765EA2365A9,Head Coach,JAX,Pat Dye,Pat Dye,named by Ryan,exact (wip/staff_1979.csv)
1979,55F79DC1-C914-742F-8A0C-DD36C2A7AD3A,Head Coach,IND,John Madden,John Madden,named by Ryan,exact (wip/staff_1979.csv)
1979,265755B1-9A6D-D6C8-50C0-A5422EAA0737,Off Co-ord,ATL,Kevin Thornton,Kevin Thornton,invented,exact (wip/staff_1979.csv)
1979,4BAC2783-9BE1-9D82-F6D5-F94666F7A043,Off Co-ord,BAL,Elvin Thurman,Caspian Brooks,invented,exact (wip/staff_1979.csv)
1979,BA47085C-DCDA-AB2F-96DB-2B9B586BC2F6,Off Co-ord,BUF,Garo Whitehurst,Ray Prochaska,real (name in a real source),"Coaching Tree: titled Offensive Coordinator, 1979 BUF; age not sourced, slot age retained"
1979,C77E06F2-53EE-26E9-1964-462CE5138907,Off Co-ord,CHI,Aaron Parsons,Quill Yardley,invented,exact (wip/staff_1979.csv)
1979,FD08C74D-B971-4DFC-EBE2-45B92B4AD68A,Off Co-ord,CIN,Wilbur Browning,Kirk Marchbanks,invented,exact (wip/staff_1979.csv)
1979,030FE3FA-90A5-42A5-F58A-87F411CF1251,Off Co-ord,CLE,Craig Payton,Dan Petrosian,invented,exact (wip/staff_1979.csv)
1979,E30A2CC0-DD36-E2DE-298D-3251E24DEF8D,Off Co-ord,DAL,Dwight Tyler,Dan Reeves,real (name in a real source),"Coaching Tree: titled Offensive Coordinator, 1979 DAL; age not sourced, slot age retained"
1979,02F51705-513F-8D4C-8ED5-A7CF793A9DAB,Off Co-ord,DEN,Duriel Schamann,Perrin Fairweather,invented,exact (wip/staff_1979.csv)
1979,DE50DC60-565A-DF7E-CE1D-1AFAA8E23BE4,Off Co-ord,DET,Duke Bell,Pat Kromer,invented,exact (wip/staff_1979.csv)
1979,314051B6-2F11-A8A7-5F6D-640D54B46DED,Off Co-ord,GB,Gus Kramer,Caspian Trowbridge,invented,exact (wip/staff_1979.csv)
1979,8925AE30-0223-D425-92DF-EFE4FAE05F13,Off Co-ord,HOU,Reggie Moore,Reggie Moore,invented,exact (wip/staff_1979.csv)
1979,3AF2235D-2499-4628-7F27-11DC8D2741E6,Off Co-ord,KC,Dan Hardison,Jamie Oakhurst,invented,exact (wip/staff_1979.csv)
1979,072905F0-26B4-E557-AE3D-01A8CE4C477A,Off Co-ord,LAR,Lionel Taylor,Lionel Taylor,sourced,exact (wip/staff_1979.csv)
1979,7D5EF07C-EADF-68AA-F6C9-7CCE101C8C27,Off Co-ord,MIA,Russ Shirk,Quill Eastleigh,invented,exact (wip/staff_1979.csv)
1979,11CE0BCB-BE2C-AF91-FD8C-3A28F9B6911D,Off Co-ord,MIN,Virgil Theismann,Jerry Burns,real (name in a real source),"Coaching Tree: titled Offensive Coordinator, 1979 MIN; age not sourced, slot age retained"
1979,814F0554-069D-D30A-E319-66F32122A622,Off Co-ord,NE,Jessie Feacher,Isaiah Roberts,invented,exact (wip/staff_1979.csv)
1979,3B0365F6-B959-2DF5-9583-4B915A0F037F,Off Co-ord,NO,Ed Hughes,Ed Hughes,sourced,exact (wip/staff_1979.csv)
1979,52F2170D-ABD8-0537-6DDF-8FBCF3BD108D,Off Co-ord,NYG,Craig Harrison,Craig Harrison,invented,exact (wip/staff_1979.csv)
1979,675F0E1D-9A41-0C95-2ECA-A0F74CAA69E8,Off Co-ord,NYJ,Amos Elias,John Idzik,real (name in a real source),"Coaching Tree: titled Offensive Coordinator, 1979 NYJ; age not sourced, slot age retained"
1979,0315685A-0AA7-4AFB-14BE-113A7DB10E41,Off Co-ord,LV,Phillip Buchanon,Brian Oakleigh,invented,exact (wip/staff_1979.csv)
1979,6EBE799C-768E-743D-579A-72003326B733,Off Co-ord,PHI,Dick Grogan,Cliff Evans,invented,exact (wip/staff_1979.csv)
1979,4312F07C-3C1B-C162-DFE5-F7FD9E30BDB3,Off Co-ord,PIT,Dewey Allerman,Jermaine Turner,invented,exact (wip/staff_1979.csv)
1979,2155C740-EC55-012F-E9C0-CF0D1D2AA27A,Off Co-ord,LAC,Walt Csonka,Joe Gibbs,real (name in a real source),"Coaching Tree: titled Offensive Coordinator, 1979 LAC; age not sourced, slot age retained"
1979,5C1ABC29-8A52-1C9B-0826-0A5AFB75B603,Off Co-ord,SEA,Louis Manucci,Zigmund Fairholm,invented,exact (wip/staff_1979.csv)
1979,27C2DE33-3C6A-2ED5-6BBC-47B7476E0AD8,Off Co-ord,SF,Lem Kuykendall,Wes Quillen,invented,exact (wip/staff_1979.csv)
1979,0C28EC97-1B2A-D5FE-FFD6-6EC22086A78E,Off Co-ord,ARI,Elvis Fugett,Tony Thornton,invented,exact (wip/staff_1979.csv)
1979,82239F00-9BB5-1085-C4FF-F4E03AAC5E1E,Off Co-ord,TB,William Johnson,Bob Adams,invented,exact (wip/staff_1979.csv)
1979,6BA98DA5-D54B-787A-D791-7D1EB6BD7342,Off Co-ord,WAS,Joe Walton,Joe Walton,sourced,exact (wip/staff_1979.csv)
1979,2FE0603D-FAA8-1D95-958F-FF1DDBB6C6FB,Off Co-ord,TEN,Ray Rozier,Gary Duffner,generated (franchise did not exist that season),"TEN did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,5BCFE3F2-BDB4-68F3-3CBB-DA89A284DE57,Off Co-ord,CAR,Glenn McShane,Gary Mack,generated (franchise did not exist that season),"CAR did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,62F9DAAD-E692-723E-5414-A78C750BB92B,Off Co-ord,JAX,Reggie Bordelon,Casey Thornbury,generated (franchise did not exist that season),"JAX did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,7E0F6919-FE0F-5C19-B177-37D5EE8B794D,Off Co-ord,IND,Phillip Fowler,Rodney Ingleby,generated (franchise did not exist that season),"IND did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,1F6B9A44-9EE2-550C-E1B8-3D6DE0A3C63F,Def Co-ord,ATL,Jerry Glanville,Jerry Glanville,sourced,exact (wip/staff_1979.csv)
1979,34087D1D-1155-D525-3C10-1525EFB4C8E4,Def Co-ord,BAL,Maxie Baughan,Maxie Baughan,sourced,exact (wip/staff_1979.csv)
1979,4A9BF983-C841-F609-37FB-2091F4BB2B96,Def Co-ord,BUF,Brooks Felton,Tom Catlin,real (name in a real source),"Coaching Tree: titled Defensive Coordinator, 1979 BUF; age not sourced, slot age retained"
1979,6A0C0AB6-02B1-54EB-C774-9479C4DF5725,Def Co-ord,CHI,Alfred Nielsen,Buddy Ryan,real (name in a real source),"Coaching Tree: titled Defensive Coordinator, 1979 CHI; age not sourced, slot age retained"
1979,AB695240-2B16-D5BB-4883-D3DC96D3E780,Def Co-ord,CIN,Howard Brinker,Howard Brinker,sourced,exact (wip/staff_1979.csv)
1979,C1AEAA21-511B-4119-037A-43C65B2A92E1,Def Co-ord,CLE,Marty Schottenheimer,Marty Schottenheimer,sourced,exact (wip/staff_1979.csv)
1979,8D01A5C5-5A42-1D3A-A017-ADF660444802,Def Co-ord,DAL,Wentford Beamon,Ernie Stautner,real (name in a real source),"Coaching Tree: titled Defensive Coordinator, 1979 DAL; age not sourced, slot age retained"
1979,66FF8A60-DC43-C653-5129-B61D4E530531,Def Co-ord,DEN,Joe Collier,Joe Collier,sourced,exact (wip/staff_1979.csv)
1979,DA20F2C9-05B2-7027-5B0B-ECC870594AF0,Def Co-ord,DET,James Fowler,Adrian Davis,invented,exact (wip/staff_1979.csv)
1979,630E0007-6579-4B95-CC89-A0E04778F7C2,Def Co-ord,GB,Dave Hanner,Dave Hanner,sourced,exact (wip/staff_1979.csv)
1979,0DF8DC91-16AA-DE8A-D37B-CE30D3CE5703,Def Co-ord,HOU,Ed Biles,Ed Biles,sourced,exact (wip/staff_1979.csv)
1979,08D2F2F9-5220-A5BB-CE7F-2836D803977C,Def Co-ord,KC,Aaron Clack,Rod Rust,real (name in a real source),"Coaching Tree: titled Defensive Coordinator, 1979 KC; age not sourced, slot age retained"
1979,BCA63C0D-159E-E789-FD61-61BBCF206566,Def Co-ord,LAR,Bud Carson,Bud Carson,sourced,exact (wip/staff_1979.csv)
1979,9D52305C-094E-4CB8-6F8C-7B59CD43D264,Def Co-ord,MIA,Cleveland Pietrzak,Michael Danvers,invented,exact (wip/staff_1979.csv)
1979,AE874521-2CBA-23DD-794F-A79A1DE0C171,Def Co-ord,MIN,Lemar Moseley,Lorne Ferrante,invented,exact (wip/staff_1979.csv)
1979,5E6AE06A-EA7F-5384-6916-D5B9795767E7,Def Co-ord,NE,Allan Baker,Hank Bullough,real (name in a real source),"Coaching Tree: titled Defensive Coordinator, 1979 NE; age not sourced, slot age retained"
1979,83EDA827-0FD0-902D-629A-A7137E8FECBB,Def Co-ord,NO,Paul Wiggin,Paul Wiggin,sourced,exact (wip/staff_1979.csv)
1979,9EAF198A-7B88-7731-B1EB-BB42149DCAE0,Def Co-ord,NYG,Ralph Hawkins,Ralph Hawkins,sourced,exact (wip/staff_1979.csv)
1979,05652B58-8AED-ADA8-FC20-D1AC1268AF87,Def Co-ord,NYJ,Allan Carter,Johnny Mazur,real (name in a real source),"Coaching Tree: titled Defensive Coordinator, 1979 NYJ; age not sourced, slot age retained"
1979,3D346F66-F9DC-548E-1F40-6CDFC27D8F07,Def Co-ord,LV,Rob Hunt,Garrick Bracewell,invented,exact (wip/staff_1979.csv)
1979,C0FCD4DE-C955-9CC3-07AD-BC9FAC2CD836,Def Co-ord,PHI,Marion Campbell,Marion Campbell,sourced,exact (wip/staff_1979.csv)
1979,832ABA87-E74E-B816-E2AF-82A733201ADF,Def Co-ord,PIT,Darrell Robiskie,George Perles,real (name in a real source),"Coaching Tree: titled Defensive Coordinator, 1979 PIT; age not sourced, slot age retained"
1979,69C090CD-4761-BDD3-1C18-E78121B080C1,Def Co-ord,LAC,Craig Krauss,Jacki Simpson,real (name in a real source),"Coaching Tree: titled Defensive Coordinator, 1979 LAC; age not sourced, slot age retained"
1979,CCE7849B-1F28-1254-BB36-364D53065B5B,Def Co-ord,SEA,Neil Wright,Sean Trumbull,invented,exact (wip/staff_1979.csv)
1979,7B16DC7A-2BCF-8D22-5E67-5798EBE41CB0,Def Co-ord,SF,Chuck Studley,Chuck Studley,sourced,exact (wip/staff_1979.csv)
1979,80EBBEF0-3B30-288C-E90A-B1BDBE70724A,Def Co-ord,ARI,Garo Allerman,Adrian Brooks,invented,exact (wip/staff_1979.csv)
1979,8753897F-DC3C-D7F8-239A-43406EC5C040,Def Co-ord,TB,Whitney Falcon,Tom Bass,real (name in a real source),"Coaching Tree: titled Defensive Coordinator, 1979 TB; age not sourced, slot age retained"
1979,C172D8AE-78D2-93C2-15AB-B53F55BD8351,Def Co-ord,WAS,Doc Urich,Doc Urich,sourced,exact (wip/staff_1979.csv)
1979,63F3F124-E4B9-33A5-0A3F-53BB9469499E,Def Co-ord,TEN,Sylvester Blackwood,Marvin Alexander,generated (franchise did not exist that season),"TEN did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,767EC4D0-08E1-3419-A200-5EDDFBE59660,Def Co-ord,CAR,Daryl Burns,Colin Marchbanks,generated (franchise did not exist that season),"CAR did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,B665B4C9-B4B5-D6FB-880D-BE6649B81BB3,Def Co-ord,JAX,John McClanahan,Michael Stanfield,generated (franchise did not exist that season),"JAX did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,6AB16F56-57DF-780E-3712-F803B82AAB6A,Def Co-ord,IND,Gifford Deloplaine,Ron Reed,generated (franchise did not exist that season),"IND did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,0735AF30-489B-17C7-655A-D68402B2870D,Special Teams,ATL,Rich Dungy,Matthew Trombley,invented,exact (wip/staff_1979.csv)
1979,869C2BB4-2F7F-FDFF-7EFB-B252EF503E8D,Special Teams,BAL,George Boutselis,George Boutselis,sourced,exact (wip/staff_1979.csv)
1979,F3BE38E6-ADB7-B024-6D1E-D518A7EEC358,Special Teams,BUF,Bob Downing,Elijah Pitts,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 BUF staff; Elijah Pitts carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,B1FEE364-0EA5-3573-178C-176FBC95DB50,Special Teams,CHI,Billy Sisemore,Hank Kuhlmann,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 CHI staff; Hank Kuhlmann carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,4AD68577-15C3-9BCD-5651-699E4BDE739F,Special Teams,CIN,Frank Gansz,Frank Gansz,sourced,exact (wip/staff_1979.csv)
1979,A7D881D2-E7C9-C394-868A-48937B456C61,Special Teams,CLE,Al Tabor,Al Tabor,sourced,exact (wip/staff_1979.csv)
1979,C6EABACE-E265-1EE2-9817-41486B21571B,Special Teams,DAL,Walter Dickey,Mike Ditka,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 DAL staff; Mike Ditka carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,2782BFD9-4F79-8641-027E-ECB7023D7426,Special Teams,DEN,Marv Braden,Marv Braden,sourced,exact (wip/staff_1979.csv)
1979,CD47D343-CBA4-3A3C-160C-3954F38E9C52,Special Teams,DET,Vaughn Pureifory,Larry Pasquale,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 DET staff; Larry Pasquale carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,3B9B456A-2697-645B-1ECF-4124FF8B6757,Special Teams,GB,Dick Rehbein,Dick Rehbein,sourced,exact (wip/staff_1979.csv)
1979,E3C28D68-7F16-22B0-D2EC-6238F1B32864,Special Teams,HOU,John Paul Young,John Paul Young,sourced,exact (wip/staff_1979.csv)
1979,6714B3D7-C833-1A0D-3701-A2199E6AB905,Special Teams,KC,Norm Brudzinski,Bobby Ross,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 KC staff; Bobby Ross carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,9910B2D1-D6A7-C27D-BDBB-257996BB745A,Special Teams,LAR,Paul Lanham,Paul Lanham,sourced,exact (wip/staff_1979.csv)
1979,A7682C14-C910-AF7F-540F-910586915004,Special Teams,MIA,Steve Crosby,Steve Crosby,sourced,exact (wip/staff_1979.csv)
1979,F57F110A-93E6-D95D-5A88-050489037FEB,Special Teams,MIN,Jeff Erxleben,Jared Gilbert,invented,exact (wip/staff_1979.csv)
1979,C1594E05-29FE-797E-2090-369B9773FEDC,Special Teams,NE,Edgar Downing,Gino Cappelletti,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 NE staff; Gino Cappelletti carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,2EEF53EA-6248-7C67-45D3-AB216D620BA4,Special Teams,NO,Whitey Campbell,Whitey Campbell,sourced,exact (wip/staff_1979.csv)
1979,11AF7D57-6DB0-EEA1-EDCE-2526B3E7AA4A,Special Teams,NYG,Bill Belichick,Bill Belichick,sourced,exact (wip/staff_1979.csv)
1979,5C675665-A64E-8041-BE51-FE83B0459FE1,Special Teams,NYJ,Dave Benirschke,Joe Haering,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 NYJ staff; Joe Haering carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,8DEDC750-EDF6-6389-F066-47DDAF869468,Special Teams,LV,Myrel Moore,Myrel Moore,sourced,exact (wip/staff_1979.csv)
1979,4BC7AE77-4DF6-3A08-0250-FBC89D546DF5,Special Teams,PHI,Lynn Stiles,Lynn Stiles,sourced,exact (wip/staff_1979.csv)
1979,3F344A71-A55B-2D22-41FC-45F3435E9610,Special Teams,PIT,Kurt Mendenhall,Godric Dunmore,invented,exact (wip/staff_1979.csv)
1979,9DCCA262-BB05-9A46-F123-5F12810048F9,Special Teams,LAC,J.C. McKinnely,Wayne Sevier,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 LAC staff; Wayne Sevier carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,071EC6EC-7632-442A-1634-E9E03974A113,Special Teams,SEA,Rusty Tillman,Rusty Tillman,sourced,exact (wip/staff_1979.csv)
1979,2FB731AE-A241-65A7-A65C-B450C684C592,Special Teams,SF,Dennis Green,Dennis Green,sourced,exact (wip/staff_1979.csv)
1979,05E133BB-BB86-ABF0-F439-DBD46935BA37,Special Teams,ARI,Ricky Zook,Jerry Thompson,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 ARI staff; Jerry Thompson carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,CA2F385E-1CC0-E785-A117-9BC04EFA8DA0,Special Teams,TB,Ken Waldemore,Phil Krueger,real (name in a real source),"Coaching Tree: NO titled special teams coach on the 1979 TB staff; Phil Krueger carried ""Special Teams Assistant"" as a second role — INFERRED, not a titled coordinator; age not sourced, slot age retained"
1979,B519653A-E9D8-90CD-3794-D4FEB6077939,Special Teams,WAS,John Hilton,John Hilton,sourced,exact (wip/staff_1979.csv)
1979,EB755B7A-C540-B705-0574-73509C5BD0E9,Special Teams,TEN,Gregg Krahl,Dennis Mason,generated (franchise did not exist that season),"TEN did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,EE1F09D4-5E3B-3D73-C9C2-93B505182715,Special Teams,CAR,Jeris Manumaleuga,Steve Fairbanks,generated (franchise did not exist that season),"CAR did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,68DB86F1-7F18-FC8A-F8A0-1E5806EAD7F9,Special Teams,JAX,Guy Lyons,Clarence Stockwell,generated (franchise did not exist that season),"JAX did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,3D2CD1EB-4BF8-BEE3-B907-8F989318B539,Special Teams,IND,Golden Collins,Terry Kestrel,generated (franchise did not exist that season),"IND did not field a team in 1979; the slot is a generated man on a franchise the season never had, not a coordinator we failed to find"
1979,A4E42F4A-BC94-55C4-600E-34345E367E4F,Head Scout,ATL,Tom Braatz,Tom Braatz,sourced,exact (wip/staff_1979.csv)
1979,92E35A28-0323-6FFD-6535-6B35B9F6978B,Head Scout,BAL,Dwaine Cosbie,Rashad Ludlow,invented,exact (wip/staff_1979.csv)
1979,6E957FE2-B941-C645-DB1F-FBB4C3CAD2A8,Head Scout,BUF,Vern Barbaro,Barry Rademacher,invented,exact (wip/staff_1979.csv)
1979,945460E1-F343-6B75-1237-A9B1D91D4AE3,Head Scout,CHI,Blair Guy,Michael Edwards,invented,exact (wip/staff_1979.csv)
1979,B9EBB5D3-C88B-9949-2BB9-5BCCBA1A0F75,Head Scout,CIN,Pete Brown,Pete Brown,sourced,exact (wip/staff_1979.csv)
1979,962618B2-ACFB-186E-E981-C1DEFACDF3E8,Head Scout,CLE,Cornell Reese,Jason Fenmore,invented,exact (wip/staff_1979.csv)
1979,B2967305-CEA7-F3AA-A073-DDC7BE14B410,Head Scout,DAL,Ted Ross,Frank Vandergriff,invented,exact (wip/staff_1979.csv)
1979,DC807F76-7F69-6852-A653-DD838C802F66,Head Scout,DEN,Carroll Hardy,Carroll Hardy,sourced,exact (wip/staff_1979.csv)
1979,7DC5324D-A9FC-6335-232C-3B9BB933460A,Head Scout,DET,Jon McCullum,Joshua Wojcik,invented,exact (wip/staff_1979.csv)
1979,3270763E-00C6-540E-FD03-3D4C184D3BCA,Head Scout,GB,Dick Corrick,Dick Corrick,sourced,exact (wip/staff_1979.csv)
1979,84FBE46F-268E-8F08-AA87-939928CDA5CF,Head Scout,HOU,Joe Woolley,Joe Woolley,sourced,exact (wip/staff_1979.csv)
1979,2E8EB1CA-D4F4-3298-A2B0-67FCC37C87CF,Head Scout,KC,Will Dennard,Paul Chandler,invented,exact (wip/staff_1979.csv)
1979,69CFDCBA-1CEE-0B3C-A1DC-71DB584B1532,Head Scout,LAR,John Math,John Math,sourced,exact (wip/staff_1979.csv)
1979,B31E2D5C-21BA-C8A2-E7D1-117CD53AAA2B,Head Scout,MIA,Chuck Connor,Chuck Connor,sourced,exact (wip/staff_1979.csv)
1979,73480376-EBCB-F57E-CAA7-8FF75DBB0DB2,Head Scout,MIN,Calvin Kinney,Bryce Nadeau,invented,exact (wip/staff_1979.csv)
1979,F7F5533E-2AE2-DA1D-DB32-6BA7425900D5,Head Scout,NE,Vince Hood,Merrick Evans,invented,exact (wip/staff_1979.csv)
1979,BE220188-BAEC-64D6-34A9-AD49C7E70751,Head Scout,NO,Gordy Houston,Adrian Cook,invented,exact (wip/staff_1979.csv)
1979,C9DC6F89-0572-C489-65FD-3822A37AA42E,Head Scout,NYG,Jim Trimble,Jim Trimble,sourced,exact (wip/staff_1979.csv)
1979,7AEC9026-51C2-CA13-F64F-685AD72F408B,Head Scout,NYJ,Jerry Mitchell,Jerry Mitchell,invented,exact (wip/staff_1979.csv)
1979,E9C99618-A173-DB8C-04D4-C775A2EB22C5,Head Scout,LV,Fulton Irons,Jimmy Davis,invented,exact (wip/staff_1979.csv)
1979,E92B4EBC-980C-E80D-10A6-6D70598CB512,Head Scout,PHI,Roland Linhart,Greg Danforth,invented,exact (wip/staff_1979.csv)
1979,C49252CC-9594-CA79-84AA-51736466EC36,Head Scout,PIT,Duke Boden,Bobby Sandoval,invented,exact (wip/staff_1979.csv)
1979,3BC467CB-5120-379E-8677-D917594EC0FF,Head Scout,LAC,Bert Jordan,Howard Ingleby,invented,exact (wip/staff_1979.csv)
1979,7B529C94-4721-CFCD-3501-ED90FBA8BC7A,Head Scout,SEA,Dick Mansperger,Dick Mansperger,sourced,exact (wip/staff_1979.csv)
1979,2AC3618A-94D4-33FD-849B-77C23F776766,Head Scout,SF,John McVay,John McVay,sourced,exact (wip/staff_1979.csv)
1979,C9076F3B-3B52-4C82-FA58-CA2DFE002681,Head Scout,ARI,Nat Cotton,Brad Sandoval,invented,exact (wip/staff_1979.csv)
1979,2B83FCA5-BC13-FC18-5AAB-E4B8BBE5AD99,Head Scout,TB,Hank McCarren,Terrence Eastleigh,invented,exact (wip/staff_1979.csv)
1979,B7DD01B9-D995-582E-18F1-5986C51176D0,Head Scout,WAS,Mike Allman,Mike Allman,sourced,exact (wip/staff_1979.csv)
1979,18EBA248-E9AA-5035-F0B6-CA55FFAFAC1C,Head Scout,TEN,Lee Odoms,Gerald King,invented,exact (wip/staff_1979.csv)
1979,78D83435-4332-1215-A984-B453547D8B09,Head Scout,CAR,Rocky Patterson,Ron Roberts,invented,exact (wip/staff_1979.csv)
