doc_id,stratum,path,title_as_filed,year_as_filed,has_text,format,klass,per_player,read_method,note,bytes,words,ev_year_min,ev_year_max,ev_year_modal,ev_football,ev_baseball,ev_hockey,ev_basketball,ev_college,ev_bio_labels,ev_bio_prose,ev_htwt,ev_roster_rows,ev_name_pos,ev_stat_heads,ev_stat_rows,dup_relation,dup_with,dup_containment,dup_n_partners
bears-1942-media-guide-chicago,nfl-books,nfl-books/text_all/bears-1942-media-guide-chicago.txt,Chicago Bears 1942 Media Guide,1942,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,38360,6072,1910,2005,1941,21,1,0,0,3,1,45,7,1,1,0,15,,,,0
lions-1942-media-guide-detroit-cv-2-x,nfl-books,nfl-books/text_all/lions-1942-media-guide-detroit-cv-2-x.txt,Detroit Lions 1942 Media Guide,1942,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,27450,4633,1913,1958,1940,18,0,0,0,11,2,18,2,0,0,0,1,,,,0
philadelphia-eagles-1942-media-guide-cover,nfl-books,,Philadelphia Eagles 1942 Media Guide Cover,1942,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
bears-1943-media-guide-chicago,nfl-books,nfl-books/text_all/bears-1943-media-guide-chicago.txt,Chicago Bears 1943 Media Guide,1943,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,19349,3384,1908,1942,1939,12,1,0,0,2,0,42,7,0,1,0,2,,,,0
bears-1944-media-guide-chicago,nfl-books,nfl-books/text_all/bears-1944-media-guide-chicago.txt,Chicago Bears 1944 Media Guide,1944,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,20668,3491,1909,1943,1916,3,1,0,0,2,0,28,7,1,0,0,0,,,,0
new-york-giants-1944-media-guide-cover,nfl-books,,New York Giants 1944 Media Guide Cover,1944,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
packers-1944-media-guide-green-bay-c,nfl-books,nfl-books/text_all/packers-1944-media-guide-green-bay-c.txt,Green Bay Packers 1944 Media Guide,1944,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,95796,16343,1910,1949,1943,69,1,0,0,19,0,41,1,12,0,0,0,,,,0
giants-1945-media-guide-new-york,nfl-books,nfl-books/text_all/giants-1945-media-guide-new-york.txt,New York Giants 1945 Media Guide,1945,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,48102,7691,1895,1992,1941,17,0,0,0,2,0,11,28,6,0,0,0,,,,0
green-bay-packers-media-guide-1945-cover-front,nfl-books,,Green Bay Packers 1945 Media Guide Cover,1945,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
philadelphia-eagles-1945-media-guide-cover,nfl-books,,Philadelphia Eagles 1945 Media Guide Cover,1945,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
steelers-1945-media-guide-pittsburgh,nfl-books,nfl-books/text_all/steelers-1945-media-guide-pittsburgh.txt,Pittsburgh Steelers 1945 Media Guide,1945,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,26498,3678,1868,2000,1945,5,0,0,0,0,1,11,0,0,0,0,0,,,,0
49ers-1946-media-guide-san-francisco,nfl-books,nfl-books/text_all/49ers-1946-media-guide-san-francisco.txt,San Francisco 49ers 1946 Media Guide,1946,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,"complete-stratum read: every pre-1950 held text carries per-man biography prose | MISSED by the automated window, found by reading: 'SURNAME, First / Height: / Weight:' then prose",24664,3927,1921,1946,1943,12,0,0,0,9,1,12,63,0,10,0,0,,,,0
bears-1946-media-guide-chicago-c,nfl-books,nfl-books/text_all/bears-1946-media-guide-chicago-c.txt,Chicago Bears 1946 Media Guide,1946,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,"complete-stratum read: every pre-1950 held text carries per-man biography prose | MISSED by the automated window, found by reading: 'NAME ... terse clauses' -- 'Personnel Thumbnail Sketches', p24",56163,9200,1857,2025,1943,37,0,0,0,5,0,0,0,0,1,0,1,,,,0
boston-yanks-1946-media-guide-cover,nfl-books,nfl-books/text_all/boston-yanks-1946-media-guide-cover.txt,Boston Yanks 1946 Media Guide,1946,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,"complete-stratum read: every pre-1950 held text carries per-man biography prose | MISSED by the automated window, found by reading: 'NAME—prose' plus a Name/Pos/Wt/Hgt/Age/Year table",46029,7449,1921,1946,1944,37,1,0,0,13,0,4,0,0,7,0,0,,,,0
cardinals-1946,nfl-books,nfl-books/text_all/cardinals-1946.txt,Chicago Cardinals 1946 Media Guide,1946,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,73292,12388,1911,1946,1942,45,1,0,0,20,2,87,1,0,0,0,21,,,,0
cleveland-browns-1946-media-guide-cover-front,nfl-books,,Cleveland Browns 1946 Media Guide Cover,1946,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
giants-1946-media-guide-new-york-cbd,nfl-books,nfl-books/text_all/giants-1946-media-guide-new-york-cbd.txt,New York Giants 1946 Media Guide,1946,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,68239,11021,1890,1946,1945,61,0,0,0,2,1,15,0,0,23,0,4,,,,0
lions-1946,nfl-books,nfl-books/text_all/lions-1946.txt,Detroit Lions 1946 Media Guide,1946,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,105631,17771,1891,2020,1944,95,0,0,0,17,2,130,112,0,1,1,15,,,,0
packers-1946-v-2,nfl-books,nfl-books/text_all/packers-1946-v-2.txt,Green Bay Packers 1946 Media Guide,1946,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,95881,15499,1910,1989,1942,72,0,0,0,18,2,61,0,0,12,0,0,,,,0
philadelphia-eagles-1946-media-guide-cover,nfl-books,nfl-books/text_all/philadelphia-eagles-1946-media-guide-cover.txt,Philadelphia Eagles 1946 Media Guide,1946,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,"complete-stratum read: every pre-1950 held text carries per-man biography prose | MISSED by the automated window, found by reading: 'NAME, position from COLLEGE, is N years old'",37074,5827,1855,1988,1944,34,0,0,0,7,0,2,0,18,0,0,0,,,,0
rams-1946,nfl-books,,Los Angeles Rams 1946 Media Guide Cover,1946,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
steelers-1946,nfl-books,nfl-books/text_all/steelers-1946.txt,Pittsburgh Steelers 1946 Media Guide,1946,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,44119,7191,1910,2025,1946,29,2,0,0,6,0,14,51,0,0,0,3,,,,0
washington-redskins-1946-media-guide-cover,nfl-books,,Washington Redskins 1946 Media Guide Cover,1946,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
49ers-1947-media-guide-san-francisco-c,nfl-books,nfl-books/text_all/49ers-1947-media-guide-san-francisco-c.txt,San Francisco 49ers 1947 Media Guide,1947,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,69430,11478,1902,1947,1946,39,0,0,0,13,1,47,70,0,1,0,0,,,,0
boston-yanks-1947-media-guide-cover,nfl-books,nfl-books/text_all/boston-yanks-1947-media-guide-cover.txt,Boston Yanks 1947 Media Guide,1947,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,64482,10560,1916,1989,1945,44,2,0,0,21,0,23,1,0,0,0,0,,,,0
browns-1947-media-guide-cleveland-c,nfl-books,nfl-books/text_all/browns-1947-media-guide-cleveland-c.txt,Cleveland Browns 1947 Media Guide,1947,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,87558,14260,1900,1996,1946,66,0,0,0,23,2,65,0,0,0,1,0,,,,0
cardinals-1947,nfl-books,,Chicago Cardinals 1947 Media Guide Cover,1947,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
colts-1947-media-guide-baltimore,nfl-books,nfl-books/text_all/colts-1947-media-guide-baltimore.txt,Baltimore Colts 1947 Media Guide,1947,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,41791,6976,1905,1947,1921,23,0,0,0,11,0,42,2,1,1,0,0,,,,0
giants-1947-media-guide-new-york-cbd,nfl-books,nfl-books/text_all/giants-1947-media-guide-new-york-cbd.txt,New York Giants 1947 Media Guide,1947,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,"complete-stratum read: every pre-1950 held text carries per-man biography prose | MISSED by the automated window, found by reading: 'SURNAME, FIRST—Position' then college, age, weight",65569,10670,1921,2027,1945,60,1,0,0,15,1,9,0,1,0,0,23,,,,0
lions-1947-media-guide-detroit-cv-2-x,nfl-books,nfl-books/text_all/lions-1947-media-guide-detroit-cv-2-x.txt,Detroit Lions 1947 Media Guide,1947,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,"complete-stratum read: every pre-1950 held text carries per-man biography prose | MISSED by the automated window, found by reading: inline running prose: '... JIM LALIKOS, another rookie tackle, ...'",74796,12946,1910,1947,1944,75,0,0,0,8,1,9,0,2,1,0,20,,,,0
packers-1947,nfl-books,nfl-books/text_all/packers-1947.txt,Green Bay Packers 1947 Media Guide,1947,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,83121,13324,1898,1989,1942,72,0,0,0,19,2,76,82,0,2,2,21,,,,0
rams-1947,nfl-books,nfl-books/text_all/rams-1947.txt,Los Angeles Rams 1947 Media Guide,1947,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,120414,19574,1873,1950,1946,68,0,0,0,44,40,75,41,0,2,0,34,,,,0
redskins-1947-media-guide-washington-cbd,nfl-books,nfl-books/text_all/redskins-1947-media-guide-washington-cbd.txt,Washington Redskins 1947 Media Guide,1947,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,95767,15458,1887,2021,1937,104,1,0,0,4,0,35,7,1,38,0,17,,,,0
steelers-1947,nfl-books,,Pittsburgh Steelers 1947 Media Guide Cover,1947,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
49ers-1948-media-guide-san-francisco-c,nfl-books,nfl-books/text_all/49ers-1948-media-guide-san-francisco-c.txt,San Francisco 49ers 1948 Media Guide,1948,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,54247,9272,1915,1993,1946,43,0,0,0,19,0,29,68,0,2,2,23,,,,0
boston-yanks-1948-media-guide-cover,nfl-books,,Boston Yanks 1948 Media Guide Cover,1948,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
cardinals-1948-rear.jpg,nfl-books,,Chicago Cardinals 1948 Media Guide Cover,1948,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
cleveland-browns-1948-media-guide-cover,nfl-books,nfl-books/text_all/cleveland-browns-1948-media-guide-cover.txt,Cleveland Browns 1948 Media Guide,1948,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,106892,17621,1905,1994,1947,122,1,0,0,22,3,85,0,0,0,0,17,,,,0
colts-1948-media-guide-baltimore,nfl-books,nfl-books/text_all/colts-1948-media-guide-baltimore.txt,Baltimore Colts 1948 Media Guide,1948,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,58847,9723,1917,1989,1946,39,0,0,0,13,1,63,0,0,2,0,17,,,,0
giants-1948-media-guide-new-york-cbd,nfl-books,nfl-books/text_all/giants-1948-media-guide-new-york-cbd.txt,New York Giants 1948 Media Guide,1948,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,"complete-stratum read: every pre-1950 held text carries per-man biography prose | MISSED by the automated window, found by reading: coach and player prose, no line-anchored name",69070,11026,1904,2027,1947,71,1,0,0,8,1,17,1,1,0,1,23,,,,0
lions-1948,nfl-books,,Detroit Lions 1948 Media Guide Cover,1948,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
packers-1948,nfl-books,nfl-books/text_all/packers-1948.txt,Green Bay Packers 1948 Media Guide,1948,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,98371,16327,1898,1983,1942,72,1,0,0,29,4,93,89,0,5,0,7,,,,0
philadelphia-eagles-1948-media-guide-cover,nfl-books,,Philadelphia Eagles 1948 Media Guide Cover,1948,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
rams-1948,nfl-books,,Los Angeles Rams 1948 Media Guide Cover,1948,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
redskins-1948-media-guide-washington-cbd,nfl-books,nfl-books/text_all/redskins-1948-media-guide-washington-cbd.txt,Washington Redskins 1948 Media Guide,1948,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,90818,15072,1887,2028,1947,104,0,0,0,18,2,76,0,0,3,0,51,,,,0
49ers-1949-media-guide-san-francisco-c,nfl-books,nfl-books/text_all/49ers-1949-media-guide-san-francisco-c.txt,San Francisco 49ers 1949 Media Guide,1949,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,65421,10916,1874,1990,1948,60,1,0,0,18,0,40,76,0,5,1,6,,,,0
bears-1949,nfl-books,nfl-books/text_all/bears-1949.txt,Chicago Bears 1949 Media Guide,1949,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,69680,11153,1895,1949,1941,73,0,0,0,5,0,23,68,0,3,0,18,,,,0
cardinals-1949,nfl-books,,Chicago Cardinals 1949 Media Guide Cover,1949,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
cleveland-browns-1949-media-guide-cover-front-2,nfl-books,nfl-books/text_all/cleveland-browns-1949-media-guide-cover-front-2.txt,Cleveland Browns 1949 Media Guide,1949,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,103771,17309,1906,1961,1948,118,0,0,0,25,1,113,0,0,0,0,19,,,,0
colts-1949-media-guide-baltimore,nfl-books,nfl-books/text_all/colts-1949-media-guide-baltimore.txt,Baltimore Colts 1949 Media Guide,1949,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,103830,16967,1918,2014,1948,91,2,0,0,21,0,87,99,0,4,3,8,,,,0
lions-1949,nfl-books,nfl-books/text_all/lions-1949.txt,Detroit Lions 1949 Media Guide,1949,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,111843,19024,1895,1998,1948,84,0,0,1,5,1,49,0,91,53,0,2,,,,0
new-york-bulldogs-1949-media-guide-cover,nfl-books,,New York Bulldogs 1949 Media Guide Cover,1949,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
new-york-giants-1949-media-guide-cover-front,nfl-books,,New York Giants 1949 Media Guide Cover,1949,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
packers-1949,nfl-books,nfl-books/text_all/packers-1949.txt,Green Bay Packers 1949 Media Guide,1949,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,103361,17183,1898,1989,1942,70,0,0,0,33,4,101,92,0,7,1,7,,,,0
rams-1949,nfl-books,nfl-books/text_all/rams-1949.txt,Los Angeles Rams 1949 Media Guide,1949,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose | probe counted 7 entries; contents lists Player Sketches pp.30-46 and they are present,109128,18548,1892,1999,1948,67,1,0,1,17,2,93,0,2,0,0,21,,,,0
redskins-1949-media-guide-washington-a,nfl-books,nfl-books/text_all/redskins-1949-media-guide-washington-a.txt,Washington Redskins 1949 Media Guide,1949,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,104744,17594,1898,1987,1947,121,0,0,0,7,0,71,15,0,18,0,14,,,,0
49ers-1950,nfl-books,nfl-books/text_all/49ers-1950.txt,San Francisco 49ers 1950 Media Guide,1950,1,ocr-text,unread,unread,unread,,61533,9853,1862,2025,1948,58,0,0,0,11,1,43,94,0,0,1,7,,,,0
cardinals-1950,nfl-books,,Chicago Cardinals 1950 Media Guide Cover,1950,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
cleveland-browns-1950-media-guide-cover-rear,nfl-books,,Cleveland Browns 1950 Media Guide Cover,1950,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
colts-1950-media-guide-baltimore,nfl-books,nfl-books/text_all/colts-1950-media-guide-baltimore.txt,Baltimore Colts 1950 Media Guide,1950,1,ocr-text,unread,unread,unread,,102247,16756,1857,2025,1949,113,6,0,0,20,0,70,81,0,1,3,42,,,,0
lions-1950,nfl-books,,Detroit Lions 1950 Media Guide Cover,1950,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
new-york-giants-1950-media-guide-cover-rear,nfl-books,,New York Giants 1950 Media Guide Cover,1950,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
packers-1950,nfl-books,nfl-books/text_all/packers-1950.txt,Green Bay Packers 1950 Media Guide,1950,1,ocr-text,unread,unread,unread,,102357,17270,1896,1982,1949,77,0,0,0,15,9,79,88,0,7,1,19,,,,0
rams-1950,nfl-books,nfl-books/text_all/rams-1950.txt,Los Angeles Rams 1950 Media Guide,1950,1,ocr-text,unread,unread,unread,,103777,17432,1880,1987,1949,93,1,0,0,18,2,112,0,2,0,0,35,,,,0
redskins-1950-media-guide-washington-cbd,nfl-books,nfl-books/text_all/redskins-1950-media-guide-washington-cbd.txt,Washington Redskins 1950 Media Guide,1950,1,ocr-text,unread,unread,unread,,115029,18530,1880,1988,1949,149,0,0,0,12,1,87,0,3,2,0,30,,,,0
